"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.796305594119119,1.74751583185309e-18,"ACC"
"ODC1",0.550355711963396,1.48541268318165e-07,"ACC"
"TAF12",0.532204948348929,4.46767473149244e-07,"ACC"
"SULF1",0.526372144819544,6.2792921395709e-07,"ACC"
"PRSS23",0.524645327985187,6.93661885870785e-07,"ACC"
"ITGB3",0.520846330949601,8.61851846360287e-07,"ACC"
"PTP4A2",0.520552132525969,8.76367928269375e-07,"ACC"
"CLIC4",0.516676388075523,1.09047320252681e-06,"ACC"
"PDIA4",0.514923988769545,1.20268784791553e-06,"ACC"
"TDO2",0.509806542527864,1.59597222281593e-06,"ACC"
"ENPEP",0.508643491986809,1.70087822018734e-06,"ACC"
"COL3A1",0.508003930196306,1.76130014942038e-06,"ACC"
"MAP7D1",0.50652014684234,1.90935513132671e-06,"ACC"
"COL1A1",0.504422384169491,2.13877169387971e-06,"ACC"
"TAF13",0.501198992745357,2.5424290176491e-06,"ACC"
"COL5A2",0.500354771181894,2.65942416491944e-06,"ACC"
"CSRP1",0.497374413238151,3.11422549395635e-06,"ACC"
"RRAGC",0.497041841107089,3.16928176433903e-06,"ACC"
"SH3GLB1",0.495749926290274,3.3919558300146e-06,"ACC"
"KIAA2013",0.49484174854776,3.55720161634297e-06,"ACC"
"SELENOF",0.493332382722174,3.84867614414103e-06,"ACC"
"STK40",0.492718403403291,3.97354291459302e-06,"ACC"
"CHSY3",0.491477653529716,4.23758203373162e-06,"ACC"
"ARPC1B",0.483726164628823,6.29830485400379e-06,"ACC"
"COL1A2",0.482677283292399,6.64035600645692e-06,"ACC"
"TMX3",0.481283038589103,7.12204445911797e-06,"ACC"
"SEC13",0.48061789432698,7.36320587023327e-06,"ACC"
"CRELD2",0.480234157252678,7.50579728116747e-06,"ACC"
"PAMR1",0.479159693444634,7.91894295888759e-06,"ACC"
"ZCCHC17",0.478596879068991,8.14376414109831e-06,"ACC"
"CCDC102B",0.477624745147427,8.54623488634193e-06,"ACC"
"GNB1",0.477228216837315,8.71568942175707e-06,"ACC"
"PKIA",0.477193302030171,8.73075988055213e-06,"ACC"
"PLPP3",0.476140961793461,9.19660831143859e-06,"ACC"
"LRRC7",0.475770015954969,9.3662938092249e-06,"ACC"
"TMEM184B",0.474030407884802,1.02019012387301e-05,"ACC"
"PLA2G4A",0.472380338465305,1.10585381982913e-05,"ACC"
"ADAMTS2",0.471766359146422,1.13941260027817e-05,"ACC"
"SEC24D",0.470282575792456,1.22448771084028e-05,"ACC"
"ZNHIT6",0.467327800320333,1.41188909331067e-05,"ACC"
"VGLL3",0.466944063246032,1.43810523309237e-05,"ACC"
"PDE1C",0.46657311740754,1.4638793976076e-05,"ACC"
"PPP1R8",0.46650916122849,1.46836661841072e-05,"ACC"
"ADAMDEC1",0.465960381780378,1.50740129361527e-05,"ACC"
"ALG12",0.465895181909607,1.51210286885225e-05,"ACC"
"ACTG2",0.465728895844077,1.52415590513171e-05,"ACC"
"CAV1",0.465498653599496,1.54099299113034e-05,"ACC"
"CALU",0.465319576298155,1.55420848675004e-05,"ACC"
"SKI",0.464807926865753,1.59255291348954e-05,"ACC"
"EMP1",0.46412999136782,1.64472157605021e-05,"ACC"
"EPAS1",0.463771836765138,1.67292263944282e-05,"ACC"
"OLFML2B",0.463490429577317,1.69539678655079e-05,"ACC"
"CD276",0.460906599943686,1.91534418315298e-05,"ACC"
"F5",0.459847027411057,2.01301718815582e-05,"ACC"
"SDF4",0.459154200637709,2.07937562526946e-05,"ACC"
"MEAF6",0.458655342441117,2.12841385317758e-05,"ACC"
"BMP2",0.458501847611396,2.14371827994738e-05,"ACC"
"WLS",0.458450682668156,2.14884253022702e-05,"ACC"
"EMC1",0.45701806425743,2.29704766339979e-05,"ACC"
"STARD3NL",0.456097095279106,2.39729934556051e-05,"ACC"
"PCDH9",0.454116508204779,2.62687473758591e-05,"ACC"
"CYFIP1",0.453462100702235,2.70712554531981e-05,"ACC"
"EPYC",0.4504955419958,3.10040885943377e-05,"ACC"
"PCDH7",0.450050456451123,3.16381129733037e-05,"ACC"
"GBP6",0.449851544161169,3.19253494936561e-05,"ACC"
"POSTN",0.449177036705866,3.29175429316226e-05,"ACC"
"PDE3A",0.448051407954582,3.46375073374461e-05,"ACC"
"SLC16A4",0.44771883582352,3.51614670164721e-05,"ACC"
"SLC4A2",0.447271142570168,3.5878452267685e-05,"ACC"
"MKRN3",0.44720228822679,3.59899228878094e-05,"ACC"
"NOTCH3",0.445838524159442,3.82652848969311e-05,"ACC"
"COL12A1",0.445800150452012,3.83312040460986e-05,"ACC"
"RALA",0.445723403037152,3.84633594138933e-05,"ACC"
"ATAD3C",0.445454787085141,3.89292488176609e-05,"ACC"
"CHCHD3",0.445135006189889,3.94907226650569e-05,"ACC"
"SLC9A1",0.444073333617655,4.1409297997564e-05,"ACC"
"RTCA",0.443868673844694,4.17889675919574e-05,"ACC"
"LAMP1",0.443190738346761,4.30698700371081e-05,"ACC"
"DRAM2",0.442218604425197,4.49704442488617e-05,"ACC"
"TXLNA",0.441642998813744,4.61322338432085e-05,"ACC"
"PDAP1",0.44064528242056,4.82123209566802e-05,"ACC"
"TNFAIP6",0.440489719214832,4.8544392698634e-05,"ACC"
"PRR5L",0.440082468044918,4.94238197258355e-05,"ACC"
"COL6A2",0.439404532546985,5.09206676652061e-05,"ACC"
"OS9",0.439199872774024,5.1380755303854e-05,"ACC"
"SNRNP40",0.438905674350393,5.20488997612986e-05,"ACC"
"PLEKHM2",0.43836844244637,5.3289857546578e-05,"ACC"
"BCHE",0.437447473468047,5.54813415821541e-05,"ACC"
"SLC30A7",0.436948615271454,5.67030495137603e-05,"ACC"
"RAP1B",0.436897450328214,5.68297550447932e-05,"ACC"
"RASSF9",0.436623428628158,5.75128312028622e-05,"ACC"
"MAP2K3",0.436129976179611,5.87621568646917e-05,"ACC"
"NTS",0.435820815191807,5.95576784975343e-05,"ACC"
"YKT6",0.435324128323578,6.08566924746929e-05,"ACC"
"NDUFB4",-0.435170633493857,6.12634240867038e-05,"ACC"
"COL6A3",0.434697357768885,6.25334485416322e-05,"ACC"
"ANGPT1",0.434339203166203,6.35107398104638e-05,"ACC"
"TRAPPC3",0.434134543393242,6.40755351849826e-05,"ACC"
"EFNB2",0.433904301148662,6.47164980943632e-05,"ACC"
"FAM76A",0.43352056407436,6.57980030875437e-05,"ACC"
"MOBP",0.432666154392129,6.82665248361324e-05,"ACC"
"TNFRSF21",0.431653043646092,7.13047737325446e-05,"ACC"
"DNTTIP2",0.431525131287991,7.1697163647854e-05,"ACC"
"GLIPR2",0.430719283431958,7.42156188649665e-05,"ACC"
"GPATCH3",0.430463458715757,7.50321191176234e-05,"ACC"
"AGRN",0.429056422776651,7.96736752207944e-05,"ACC"
"B4GALT1",0.42885176300369,8.03705547799754e-05,"ACC"
"CTNS",0.428685476938159,8.09409232268787e-05,"ACC"
"TKTL1",0.428563806565758,8.13606312409008e-05,"ACC"
"TRPC4",0.428365696042908,8.20483399578676e-05,"ACC"
"LRCH1",0.427674969309165,8.44884290949551e-05,"ACC"
"COA7",0.427342397178104,8.56871040494517e-05,"ACC"
"CALCRL",0.42656213179369,8.85614722759375e-05,"ACC"
"MYO1E",0.426344680784919,8.93782880381323e-05,"ACC"
"KDELR2",0.425999317418048,9.06899329151121e-05,"ACC"
