"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.930728907443463,2.12508158146559e-190,"BLCA"
"ITGA5",0.755620548710166,3.22211649297376e-81,"BLCA"
"TNFAIP6",0.74894604659477,4.75703783005797e-79,"BLCA"
"TGFBI",0.7422859266497,5.95072321274678e-77,"BLCA"
"ARSI",0.723553480812755,2.19182071801772e-71,"BLCA"
"ACTN1",0.71854688931049,5.64082835926941e-70,"BLCA"
"PALLD",0.71455698725762,7.13888668769491e-69,"BLCA"
"NRP2",0.711555946812087,4.68082559077217e-68,"BLCA"
"CALD1",0.711416349779437,5.10571808097784e-68,"BLCA"
"COL6A1",0.711000959880379,6.61009235130351e-68,"BLCA"
"ADAM19",0.710677254473102,8.08102816553268e-68,"BLCA"
"GFPT2",0.709870430945417,1.33178177592504e-67,"BLCA"
"ZNF469",0.709568611513598,1.60474194024142e-67,"BLCA"
"COL5A2",0.709177769397823,2.04223620168183e-67,"BLCA"
"FLNA",0.708258558428599,3.59471621897285e-67,"BLCA"
"COL6A2",0.706634707776564,9.70800236370485e-67,"BLCA"
"COL5A3",0.704672807530634,3.19509903860941e-66,"BLCA"
"CLIC4",0.699443538178365,7.29165962137887e-65,"BLCA"
"GNB4",0.698824667858834,1.05106929073038e-64,"BLCA"
"APCDD1L",0.698626802057544,1.18118689476622e-64,"BLCA"
"GPR176",0.695909101020156,5.81201795988195e-64,"BLCA"
"CD109",0.695905404064842,5.82455864793278e-64,"BLCA"
"FN1",0.695527279475346,7.25988060386986e-64,"BLCA"
"PPP1R18",0.695512935288728,7.32075141030983e-64,"BLCA"
"LOX",0.69312987789345,2.91090762348725e-63,"BLCA"
"CHST15",0.692290225402579,4.71906564455952e-63,"BLCA"
"KLHL5",0.688343503787775,4.47259821282339e-62,"BLCA"
"ADAMTS12",0.688334335338597,4.49583766397902e-62,"BLCA"
"COL5A1",0.687403589868793,7.60084664585716e-62,"BLCA"
"SLC39A14",0.687342811923434,7.86545612278966e-62,"BLCA"
"CHSY3",0.686563197986859,1.21909664720861e-61,"BLCA"
"ANXA5",0.685349709374657,2.40479077367825e-61,"BLCA"
"FAP",0.684125129896512,4.75722861500248e-61,"BLCA"
"OSMR",0.683666263802963,6.13758544382196e-61,"BLCA"
"LOXL2",0.683655468693446,6.17444681705549e-61,"BLCA"
"COL6A3",0.682908979476483,9.33580155602002e-61,"BLCA"
"MSN",0.682269258328982,1.32922074501937e-60,"BLCA"
"CLMP",0.68194229960103,1.59173497661749e-60,"BLCA"
"PRR16",0.681530310900859,1.99689308222603e-60,"BLCA"
