"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.794011141888834,3.74299187466213e-268,"BRCA"
"MMP14",0.522568970180076,2.83600107802235e-87,"BRCA"
"FN1",0.521547259136449,7.00213235420608e-87,"BRCA"
"CSMD2",0.516767100726028,4.61327762362649e-85,"BRCA"
"ADAM19",0.500176715267402,5.70757869929298e-79,"BRCA"
"ADAM12",0.493439684340712,1.36826491648815e-76,"BRCA"
"MXRA5",0.49261944314072,2.64415770503968e-76,"BRCA"
"COL5A1",0.489000314464969,4.73652999966676e-75,"BRCA"
"SEMA7A",0.48164476245502,1.50153518576823e-72,"BRCA"
"COL6A3",0.481073754756767,2.33427962607062e-72,"BRCA"
"ARSB",0.480873568364915,2.72423823733531e-72,"BRCA"
"BEND6",0.479312762651619,9.0536238285042e-72,"BRCA"
"CHSY3",0.473046136055172,1.05677154076017e-69,"BRCA"
"LOXL2",0.471967375579791,2.3741837603527e-69,"BRCA"
"COL3A1",0.470162996387119,9.13477861421066e-69,"BRCA"
"CHST11",0.470111093597015,9.49465060453392e-69,"BRCA"
"TGFBI",0.469748094929231,1.24383052022426e-68,"BRCA"
"TTYH3",0.463880840024098,9.35309457159095e-67,"BRCA"
"BMP1",0.463151781656029,1.59054486868053e-66,"BRCA"
"SH3PXD2B",0.460032942485288,1.51952411675964e-65,"BRCA"
"COL5A2",0.459541168682858,2.16437611715269e-65,"BRCA"
"POSTN",0.45897876652881,3.24125977742589e-65,"BRCA"
"ADAMTS2",0.45829773492646,5.28019687298794e-65,"BRCA"
"PTK7",0.456409437238957,2.03133522740844e-64,"BRCA"
"CDH2",0.45515233472107,4.95780907136522e-64,"BRCA"
"ITGA5",0.454825599983415,6.24801795842282e-64,"BRCA"
"CDH11",0.453192856797683,1.97735483140829e-63,"BRCA"
"FKBP14",0.452182234777461,4.02181595353763e-63,"BRCA"
"VCAN",0.452090115025736,4.29018536606067e-63,"BRCA"
"ARSI",0.452032917997027,4.46570810089016e-63,"BRCA"
"SULF1",0.448898651735855,3.97279767653791e-62,"BRCA"
"PLAU",0.448714701009058,4.51334004914827e-62,"BRCA"
"PTPRN",0.448571207434368,4.98530046628215e-62,"BRCA"
"GLIS3",0.447726083769655,8.94673822431328e-62,"BRCA"
"THBS2",0.44713202527738,1.34822054377647e-61,"BRCA"
"ADAMTS14",0.446405655740796,2.22353675849763e-61,"BRCA"
"COL1A2",0.445741931485739,3.5085545099703e-61,"BRCA"
"CAP1",0.445533537419735,4.04791635824437e-61,"BRCA"
"OSMR",0.443056847679579,2.1979007594273e-60,"BRCA"
"LOX",0.441925273163327,4.7391674401215e-60,"BRCA"
"P3H1",0.441254412916358,7.46344387612333e-60,"BRCA"
"OLFML2B",0.440141422781924,1.58194424644658e-59,"BRCA"
"ADAMTS7",0.439933907880391,1.81922328834102e-59,"BRCA"
"CALU",0.439300344742235,2.78568961783362e-59,"BRCA"
