"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.860128626294804,9.27224208905834e-92,"CESC"
"ITGB1",0.579263849405641,4.37224899874274e-29,"CESC"
"LIMS3",0.562948591636615,3.13922636119908e-27,"CESC"
"ITGB3",0.546789730282841,1.72453968917693e-25,"CESC"
"COL4A1",0.545094791759156,2.59270520300816e-25,"CESC"
"NDUFA2",-0.529146018177757,1.07610169891994e-23,"CESC"
"LIMS4",0.523171179196826,4.13324473869024e-23,"CESC"
"ACTN1",0.522364840448548,4.94632383210359e-23,"CESC"
"MYH9",0.521101669921717,6.54700547936024e-23,"CESC"
"ADAMTS12",0.518731318530602,1.10448358071602e-22,"CESC"
"ANTXR2",0.516093120482937,1.96724214051604e-22,"CESC"
"MACF1",0.515823036686506,2.08641146924342e-22,"CESC"
"COL5A1",0.51493509553047,2.53054104235515e-22,"CESC"
"LOXL2",0.512407737595044,4.36951927145996e-22,"CESC"
"COX6C",-0.507834210174762,1.16070066610441e-21,"CESC"
"P4HA3",0.507433965512582,1.2634204221037e-21,"CESC"
"FKBP14",0.507414848135425,1.26854455062629e-21,"CESC"
"CALD1",0.504736991698977,2.23071496898946e-21,"CESC"
"COX6A1",-0.503595033478375,2.83352706853907e-21,"CESC"
"COL4A2",0.50292511177247,3.25903135745247e-21,"CESC"
"LIMS1",0.502620047243369,3.47306783816042e-21,"CESC"
"MSRB3",0.502001783131057,3.95015851746359e-21,"CESC"
"COL12A1",0.498936901495356,7.44835134911331e-21,"CESC"
"FN1",0.497813043770148,9.38361956543948e-21,"CESC"
"MCAM",0.495497197241566,1.50629076984463e-20,"CESC"
"NDUFA3",-0.49515979587238,1.61333320235101e-20,"CESC"
"SEC23A",0.494924286055914,1.69245018607884e-20,"CESC"
"COX5B",-0.493523429738283,2.24832018165714e-20,"CESC"
"MICAL2",0.492921842486896,2.53894254475448e-20,"CESC"
"CALU",0.491970651285159,3.07550364207047e-20,"CESC"
"THBS1",0.490960684317482,3.76739199621399e-20,"CESC"
"ITGAV",0.489910855584669,4.64873445005185e-20,"CESC"
"PHLDA1",0.489501662362968,5.04467848832334e-20,"CESC"
"TNFAIP6",0.487824417581971,7.04438458342689e-20,"CESC"
"INHBA",0.486386953520847,9.36459898092821e-20,"CESC"
"MCMDC2",-0.483935048212286,1.51724296030112e-19,"CESC"
"HIGD2A",-0.481572628498928,2.40650428184197e-19,"CESC"
"FNDC3B",0.480216108226193,3.13126563655519e-19,"CESC"
"ADAM12",0.479445311849331,3.63462769671616e-19,"CESC"
"CAP1",0.479013747228829,3.95035573024122e-19,"CESC"
"LAMC1",0.478598045963841,4.27990774523538e-19,"CESC"
"PAPPA",0.478038964370175,4.76606856336548e-19,"CESC"
"MMP14",0.47723440751876,5.56227006637216e-19,"CESC"
"VCL",0.47558156790009,7.63007108641282e-19,"CESC"
"NAV3",0.475350271006854,7.97406441356538e-19,"CESC"
"RPS7",-0.475314738125303,8.02824360438646e-19,"CESC"
"SNRNP35",-0.474702778679927,9.02016308333613e-19,"CESC"
"RPS24",-0.474378190020963,9.59419822148354e-19,"CESC"
"LUZP1",0.472585224095261,1.34742065296798e-18,"CESC"
"ITGA5",0.472016380436664,1.50008970901854e-18,"CESC"
"ENTPD7",0.470838017848923,1.87241720743171e-18,"CESC"
"NID2",0.469974075102509,2.20171292114828e-18,"CESC"
"EIF4EBP3",-0.469815441547376,2.26807768975348e-18,"CESC"
"TGFBR2",0.466117652701967,4.51237211365569e-18,"CESC"
"LAMA4",0.465082670442904,5.46230235926063e-18,"CESC"
"MEDAG",0.461622221801135,1.0298012178786e-17,"CESC"
"FSTL1",0.459859965704695,1.41839021279711e-17,"CESC"
"LPAR1",0.459541681712666,1.50252903133473e-17,"CESC"
"ADAMTS5",0.458908571126605,1.68472002372359e-17,"CESC"
"BLOC1S1",-0.458578084553413,1.78826940661114e-17,"CESC"
"CLIC4",0.458209973354964,1.910972065326e-17,"CESC"
