"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.750925252595898,2.82647698727377e-09,"CHOL"
"ZNF365",0.738350922296487,7.08944394442045e-09,"CHOL"
"YEATS4",0.727825952331479,1.47200508279574e-08,"CHOL"
"BICD1",0.725846012308814,1.68257367571174e-08,"CHOL"
"SV2A",0.718586232225711,2.72070022976828e-08,"CHOL"
"RPAP3",0.715550324190959,3.31174942944701e-08,"CHOL"
"OXCT1",0.708818528113899,5.07606113219161e-08,"CHOL"
"RPGR",0.700502780018708,8.46468764926057e-08,"CHOL"
"TCP11L2",0.697598867985467,1.00787377905554e-07,"CHOL"
"SH3GLB1",0.696014915967335,1.10758220938851e-07,"CHOL"
"HS2ST1",0.695618927962802,1.13390772665059e-07,"CHOL"
"WDR47",0.693638987940138,1.27451281502261e-07,"CHOL"
"SELENOF",0.692715015929561,1.34554442549238e-07,"CHOL"
"IKZF4",0.690867071908407,1.4988093999075e-07,"CHOL"
"RAB42",0.690603079905385,1.52198715848199e-07,"CHOL"
"SMURF2",0.68981110389632,1.59353981089918e-07,"CHOL"
"EPB41L2",0.686511203858545,1.92675717211829e-07,"CHOL"
"KIAA0408",0.684795255838903,2.12464797211118e-07,"CHOL"
"MOSPD2",0.684135275831348,2.20567686602281e-07,"CHOL"
"RLF",0.682815315816238,2.37643649347419e-07,"CHOL"
"UBE2D1",0.679383419776953,2.87972490240345e-07,"CHOL"
"TBC1D15",0.67898743177242,2.94378238434565e-07,"CHOL"
"ANKRD40",0.678591443767887,3.00916352448089e-07,"CHOL"
"POC1B",0.678459447766376,3.03125572653249e-07,"CHOL"
"RNF41",0.678195455763354,3.07589351919597e-07,"CHOL"
"C8orf88",0.674103579716514,3.8508462375458e-07,"CHOL"
"LTBP1",0.671991643692339,4.31844388013351e-07,"CHOL"
"CACHD1",0.671727651689317,4.38046821171139e-07,"CHOL"
"DOCK7",0.668295755650032,5.26587219320516e-07,"CHOL"
"NUP107",0.664599867607725,6.40351540545248e-07,"CHOL"
"PRKD1",0.663411903594126,6.81512205252766e-07,"CHOL"
"LAMC2",0.662751923586571,7.05427498056446e-07,"CHOL"
"KCNQ3",0.66237775339042,7.19329815416852e-07,"CHOL"
"CSGALNACT2",0.661431963571462,7.55612817277374e-07,"CHOL"
"RNF145",0.661431963571462,7.55612817277374e-07,"CHOL"
"MFSD14A",0.660243999557863,8.03593232349052e-07,"CHOL"
"CLEC5A",0.658132063533687,8.95938345396081e-07,"CHOL"
"PLA2R1",0.658000067532176,9.02024790204876e-07,"CHOL"
"DR1",0.657472083526133,9.26756226337467e-07,"CHOL"
"SENP1",0.657208091523111,9.39356474342475e-07,"CHOL"
"EFCAB7",0.656944099520089,9.52115493113299e-07,"CHOL"
"SLC25A24",0.656020127509512,9.98049073563826e-07,"CHOL"
"NMNAT2",0.655624139504979,1.01835711906375e-06,"CHOL"
"TGFB2",0.655624139504979,1.01835711906375e-06,"CHOL"
"NECAB1",0.655228151500446,1.03904786051293e-06,"CHOL"
"AKT3",0.654568171492891,1.07440088203305e-06,"CHOL"
"DACT1",0.654568171492891,1.07440088203305e-06,"CHOL"
"MSL3",0.653512203480803,1.13329352900326e-06,"CHOL"
"CDC42BPA",0.652060247464183,1.21916692541127e-06,"CHOL"
"DDX47",0.651928251462672,1.22726547896673e-06,"CHOL"
"ELK3",0.651532263458139,1.25186133959648e-06,"CHOL"
"SYT11",0.651268271455117,1.26851158027188e-06,"CHOL"
"KRR1",0.651268271455117,1.26851158027188e-06,"CHOL"
"SERINC3",0.650608291447562,1.31103944596611e-06,"CHOL"
"KTN1",0.650476295446051,1.31970202427138e-06,"CHOL"
"STAMBPL1",0.650212303443029,1.33718654718432e-06,"CHOL"
"IRAK4",0.649024339429431,1.41855615792464e-06,"CHOL"
"CDK17",0.648364359421876,1.46572051481738e-06,"CHOL"
"COL12A1",0.647968371417343,1.49471225514535e-06,"CHOL"
"PMP22",0.647704379414321,1.51433427214404e-06,"CHOL"
"ENO2",0.647176395408277,1.5542962057895e-06,"CHOL"
"B3GALNT1",0.646912403405255,1.574641459236e-06,"CHOL"
"FMNL3",0.646384419399211,1.61607408335564e-06,"CHOL"
"UBLCP1",0.645724439391656,1.66928479641758e-06,"CHOL"
"PXN",0.64480046738108,1.7465093741989e-06,"CHOL"
"SMARCC2",0.644404479376547,1.78060756765667e-06,"CHOL"
"FRMD6",0.644008491372014,1.81532133617254e-06,"CHOL"
"PHTF1",0.643876495370503,1.82703114084062e-06,"CHOL"
"ADAMTS6",0.643612503367481,1.8506608533079e-06,"CHOL"
"FAM219A",0.643348511364459,1.87457326217044e-06,"CHOL"
"FAM171B",0.643084519361437,1.89877146470458e-06,"CHOL"
"ATF1",0.642952523359926,1.91097871487184e-06,"CHOL"
"SPATA6",0.642556535355393,1.94803779342906e-06,"CHOL"
"NCOR2",0.642556535355393,1.94803779342906e-06,"CHOL"
"LANCL3",0.642504206743634,1.95298450165406e-06,"CHOL"
"SLC35E4",0.642424539353882,1.96053792155658e-06,"CHOL"
"ROBO1",0.641896555347838,2.01128466905467e-06,"CHOL"
"PPP1R9B",0.641632563344816,2.03711148399992e-06,"CHOL"
"MMP10",0.640661009459119,2.13482734978124e-06,"CHOL"
"PKN2",0.640180607328196,2.18473112392437e-06,"CHOL"
"SAMD9L",0.639916615325174,2.21261186888746e-06,"CHOL"
"ITGA2",0.639784619323663,2.2266753755302e-06,"CHOL"
"SYDE1",0.639256635317619,2.28376065541612e-06,"CHOL"
"SSBP2",0.637276695294954,2.51010900714813e-06,"CHOL"
"LRP10",0.636484719285889,2.60632380721771e-06,"CHOL"
"FAR2",0.636220727282867,2.63914591247373e-06,"CHOL"
"MAP9",0.636088731281356,2.65569993561069e-06,"CHOL"
"STAT2",0.635428751273801,2.73992010063698e-06,"CHOL"
"F2R",0.63529675527229,2.75705774218814e-06,"CHOL"
"MNAT1",0.634900767267757,2.80906724860187e-06,"CHOL"
"VCL",0.634504779263224,2.86198271010644e-06,"CHOL"
"ARSB",0.634108791258691,2.91581854591684e-06,"CHOL"
"CEP41",0.63397679525718,2.93397087406979e-06,"CHOL"
"CAPRIN2",0.633712803254158,2.97058938190885e-06,"CHOL"
"LOXL2",0.633712803254158,2.97058938190885e-06,"CHOL"
"NEDD1",0.633580807252647,2.98905666307821e-06,"CHOL"
"CD47",0.633316815249625,3.02631005322908e-06,"CHOL"
"DNMT1",0.632920827245092,3.08299560693287e-06,"CHOL"
"NRP1",0.631732863231494,3.25899526772505e-06,"CHOL"
"RBMXL1",0.630808891220917,3.40225421057746e-06,"CHOL"
"HNRNPH2",0.630412903216384,3.46541418746161e-06,"CHOL"
"AGK",0.630280907214873,3.486707118037e-06,"CHOL"
"NFE2L3",0.630148911213362,3.5081208882021e-06,"CHOL"
"RAP1A",0.62988491921034,3.55131345675649e-06,"CHOL"
"PPT1",0.629224939202785,3.66145379509731e-06,"CHOL"
"YAF2",0.628960947199763,3.70638696649168e-06,"CHOL"
"ANKRD44",0.62711300317861,4.03546823435161e-06,"CHOL"
"CNN3",0.626453023171055,4.15939335955625e-06,"CHOL"
"DOCK10",0.625925039165011,4.26105367031697e-06,"CHOL"
"SLC45A1",0.6257930431635,4.28682476196789e-06,"CHOL"
"DLG4",0.625661047161989,4.31273971370965e-06,"CHOL"
"SCIN",0.625661047161989,4.31273971370965e-06,"CHOL"
"ABHD14B",-0.625397055158967,4.36500413319403e-06,"CHOL"
"DENR",0.625265059157456,4.39135507720993e-06,"CHOL"
"GTF2H3",0.625001067154434,4.44449814984204e-06,"CHOL"
"SEC14L1",0.624737075151412,4.49823446306272e-06,"CHOL"
"ITGAM",0.624605079149901,4.52532697066286e-06,"CHOL"
"GLIPR1",0.62434108714688,4.57996448955354e-06,"CHOL"
"ARMCX1",0.624209091145369,4.6075110319396e-06,"CHOL"
"UPF3B",0.623945099142347,4.66306353652693e-06,"CHOL"
"EML1",0.623417115136303,4.77602802879398e-06,"CHOL"
"DCLRE1B",0.623285119134792,4.80466112803971e-06,"CHOL"
"HIPK1",0.623285119134792,4.80466112803971e-06,"CHOL"
"NAA25",0.622493143125726,4.97981372853195e-06,"CHOL"
"ERGIC2",0.622229151122704,5.03949506742021e-06,"CHOL"
"CAPZA1",0.621833163118171,5.13025570172209e-06,"CHOL"
"MFSD1",0.62170116711666,5.16084287256457e-06,"CHOL"
"ANKRD22",0.621305179112127,5.25361702212561e-06,"CHOL"
"M6PR",0.621305179112127,5.25361702212561e-06,"CHOL"
"DEGS1",0.621173183110616,5.28488210930725e-06,"CHOL"
"TRIM3",0.621173183110616,5.28488210930725e-06,"CHOL"
"PUS7L",0.621041187109105,5.31631880385394e-06,"CHOL"
"FKBP1C",0.620645199104572,5.41166714077332e-06,"CHOL"
"TMTC2",0.620117215098528,5.54125331422449e-06,"CHOL"
"EP400",0.620117215098528,5.54125331422449e-06,"CHOL"
"BBS12",0.619985219097018,5.57409411699322e-06,"CHOL"
"MFSD11",0.619457235090974,5.70726107452521e-06,"CHOL"
"PHACTR1",0.61892925108493,5.84335738468661e-06,"CHOL"
"DCBLD2",0.618665259081908,5.91252233561181e-06,"CHOL"
"EFNB1",0.618665259081908,5.91252233561181e-06,"CHOL"
"SGIP1",0.618269271077375,6.01768663076263e-06,"CHOL"
"PPP1R12A",0.618137275075864,6.05312297978284e-06,"CHOL"
"TMEM200A",0.618005279074353,6.08875169641734e-06,"CHOL"
"PRSS2",0.617314409592838,6.27840904273002e-06,"CHOL"
"POLA1",0.617213303065287,6.30661730640432e-06,"CHOL"
"BTBD19",0.616421327056221,6.53165163880503e-06,"CHOL"
"MED13L",0.616421327056221,6.53165163880503e-06,"CHOL"
"FTSJ1",0.616025339051688,6.64692384885528e-06,"CHOL"
"SPRY4",0.615893343050178,6.68576278530079e-06,"CHOL"
"SEMA7A",0.615629351047156,6.76406907846477e-06,"CHOL"
"SVIL",0.615497355045645,6.80353849110908e-06,"CHOL"
"RAD21L1",0.615016924642409,6.94899635097208e-06,"CHOL"
"TLR2",0.614969371039601,6.96354877922685e-06,"CHOL"
"GLI3",0.61483737503809,7.00408974133624e-06,"CHOL"
"SLC9A6",0.614441387033557,7.12702166761349e-06,"CHOL"
"KIF5A",0.614126316918158,7.22625047437568e-06,"CHOL"
"ST18",0.613933625153217,7.28756308942463e-06,"CHOL"
"PDPN",0.613913403027513,7.29402529143492e-06,"CHOL"
"CCDC91",0.613913403027513,7.29402529143492e-06,"CHOL"
"LIMS1",0.61351741502298,7.42163671761912e-06,"CHOL"
"DNAH17",0.613121427018447,7.55130285675466e-06,"CHOL"
"COL6A3",0.612857435015425,7.63890329900034e-06,"CHOL"
"MBOAT2",0.612725439013914,7.68305379722124e-06,"CHOL"
"ANKRD34A",0.612593443012403,7.72743932368793e-06,"CHOL"
