"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.852782682174806,2.24497388456339e-149,"COAD"
"ITGA5",0.778134156736547,1.66590988223416e-107,"COAD"
"COL15A1",0.771687852047649,1.14823107314512e-104,"COAD"
"ANGPTL2",0.769642961349988,8.72936188802962e-104,"COAD"
"RAB31",0.768414124086403,2.92412495184952e-103,"COAD"
"COL6A3",0.75060432957577,5.33235211202865e-96,"COAD"
"SPOCK1",0.750120856724103,8.23027791506863e-96,"COAD"
"COL5A2",0.738087865915647,2.9609866220502e-91,"COAD"
"TNFAIP6",0.732682841657424,2.73496165676199e-89,"COAD"
"COL3A1",0.73251828870936,3.13355124155617e-89,"COAD"
"LOX",0.731752393601514,5.89478189245648e-89,"COAD"
"BCAT1",0.728596675412796,7.78550142871701e-88,"COAD"
"PRR16",0.727288135650792,2.24604237688213e-87,"COAD"
"POSTN",0.724628325572657,1.89885890454278e-86,"COAD"
"COL1A2",0.721940390110263,1.60088141458773e-85,"COAD"
"GPR176",0.720884227683567,3.67428694469518e-85,"COAD"
"ADAMTS2",0.716987818737289,7.62055360414508e-84,"COAD"
"GFPT2",0.716118602484896,1.48837714810132e-83,"COAD"
"ADAM12",0.715528553622253,2.34123112522883e-83,"COAD"
"MRAS",0.715498925991951,2.39502125673689e-83,"COAD"
"GREM1",0.714385427841261,5.61250517291992e-83,"COAD"
"PRRX1",0.710611034656961,9.76631631512803e-82,"COAD"
"SULF1",0.706448394328528,2.16245480849404e-80,"COAD"
"ARSI",0.70550983909445,4.31510358737442e-80,"COAD"
"COL12A1",0.703910683470484,1.39153925940927e-79,"COAD"
"COL24A1",0.702265485435295,4.60350045125768e-79,"COAD"
"OSMR",0.693437357887638,2.46185806707878e-76,"COAD"
"COL6A1",0.692948794091045,3.46227348408787e-76,"COAD"
"SPARC",0.692298571928549,5.44507609053323e-76,"COAD"
"TREM1",0.692022909779566,6.59497074930635e-76,"COAD"
"COL5A1",0.689760193405597,3.1527369738973e-75,"COAD"
"MMP2",0.688307938772098,8.54084012021055e-75,"COAD"
"FRMD6",0.68810597013736,9.80598050508461e-75,"COAD"
"LAYN",0.687956580114145,1.08600671272485e-74,"COAD"
"ST6GALNAC5",0.687532920615038,1.45022658414497e-74,"COAD"
"PDPN",0.687435050362709,1.55031892663451e-74,"COAD"
"ANTXR1",0.686784661283986,2.41406176629282e-74,"COAD"
"FBN1",0.686047475767194,3.98227858056495e-74,"COAD"
"PXDN",0.684428054532298,1.18961453321939e-73,"COAD"
"FSTL1",0.684350855777285,1.25309945142691e-73,"COAD"
"CD300E",0.68276396892098,3.63557494303081e-73,"COAD"
"ZNF469",0.681681948764775,7.48693937536962e-73,"COAD"
"CLEC5A",0.681067171394314,1.1270787008976e-72,"COAD"
"FAP",0.680164847177064,2.05072015472057e-72,"COAD"
"NTM",0.679007032768091,4.40651787027011e-72,"COAD"
"CALD1",0.674557713819691,8.0636438550562e-71,"COAD"
"COL8A1",0.674195839439434,1.0191417022315e-70,"COAD"
"COL1A1",0.673788063096736,1.3263697288475e-70,"COAD"
"ADAMTS12",0.672413424508818,3.21413634579696e-70,"COAD"
"CLMP",0.672045040395705,4.07122941821254e-70,"COAD"
"TIMP2",0.670438388252179,1.13693750900848e-69,"COAD"
"THBS2",0.669980787415706,1.52144072883132e-69,"COAD"
"KCNE4",0.669556235992189,1.99266169501886e-69,"COAD"
"GAS1",0.669087201394162,2.68326683371112e-69,"COAD"
"PLPP4",0.668723936724289,3.37745423885592e-69,"COAD"
"ALPK2",0.667646046689762,6.67205826940465e-69,"COAD"
"KCNJ15",0.667344206616067,8.06925975885076e-69,"COAD"
"TGFB3",0.666876813257375,1.08269579447723e-68,"COAD"
"VEGFC",0.665294614341112,2.91730167874567e-68,"COAD"
"AQP9",0.664885168836144,3.76661260401966e-68,"COAD"
"GLI3",0.662422403364049,1.7366933903926e-67,"COAD"
"NRP1",0.661468727500765,3.12658586917667e-67,"COAD"
"LOXL2",0.661159682106371,3.78108440913396e-67,"COAD"
"HS3ST3A1",0.661084069055515,3.96093456744691e-67,"COAD"
"LUM",0.659215942642306,1.24321607468186e-66,"COAD"
"PDGFRB",0.6590703082342,1.35869635485673e-66,"COAD"
"CD109",0.65886166295038,1.54294720248585e-66,"COAD"
"MEDAG",0.657380281435259,3.79496624623319e-66,"COAD"
"P4HA3",0.655250180003686,1.37202668176687e-65,"COAD"
"SLC2A3",0.653919523841596,3.04610343307721e-65,"COAD"
"VCAN",0.653654460873032,3.56889586894774e-65,"COAD"
"FNDC1",0.653499562614324,3.91472326851526e-65,"COAD"
"KCND2",0.652093262371635,9.0426388137535e-65,"COAD"
"PAPPA",0.651440567495476,1.33164911068231e-64,"COAD"
"VGLL3",0.65112885144145,1.60148372820632e-64,"COAD"
"NRP2",0.650669247610251,2.1013601371698e-64,"COAD"
"DGKI",0.65052170938935,2.29260562099777e-64,"COAD"
"CD93",0.650283504209525,2.6385222847716e-64,"COAD"
"MRC2",0.647648731565449,1.23816821912328e-63,"COAD"
"NID2",0.647625363293661,1.25517657605762e-63,"COAD"
"TENM3",0.646584974450422,2.30131076943737e-63,"COAD"
"CERCAM",0.646182455968876,2.90774880556988e-63,"COAD"
"MSN",0.646034401275478,3.16870740068288e-63,"COAD"
"IGFBP5",0.644635810208977,7.1195551160113e-63,"COAD"
"EVC",0.644067293539625,9.88184746365041e-63,"COAD"
"ELK3",0.642985592930189,1.84041724124791e-62,"COAD"
"COL5A3",0.641018652110563,5.66546600394169e-62,"COAD"
"TSHZ3",0.64079573548933,6.43209226126361e-62,"COAD"
"DKK3",0.640674971599055,6.88957318099782e-62,"COAD"
"FN1",0.639885374386967,1.07886541896494e-61,"COAD"
"CDH2",0.638960332699727,1.8214932045075e-61,"COAD"
"NOX4",0.638811488661782,1.98131813957972e-61,"COAD"
"NXN",0.638166304164519,2.85135330044746e-61,"COAD"
"AVPR1A",0.637092274487133,5.21670007252073e-61,"COAD"
"CSGALNACT2",0.636979613248265,5.55717863649687e-61,"COAD"
"FGF5",0.636915304422732,5.76133289476711e-61,"COAD"
"DDR2",0.636519508668386,7.19242217955683e-61,"COAD"
"C3orf80",0.634825392421883,1.85225659988411e-60,"COAD"
"OLFML2B",0.634531953694718,2.18072026909128e-60,"COAD"
"FERMT2",0.634514344032764,2.20217717349639e-60,"COAD"
"DZIP1L",0.634210222667068,2.60763321458998e-60,"COAD"
"HTRA1",0.63404964925664,2.85078761645862e-60,"COAD"
"CEP295NL",0.633705050705884,3.45127164549313e-60,"COAD"
"SNAI2",0.633595386744708,3.66754341809319e-60,"COAD"
"CHN1",0.632426138574182,7.00087469199366e-60,"COAD"
"HEG1",0.631855702368218,9.58730434109421e-60,"COAD"
"KLHL5",0.631768655555809,1.00579066216927e-59,"COAD"
"GNB4",0.630046080092592,2.58806869833795e-59,"COAD"
"MITF",0.629842776128038,2.89234354116028e-59,"COAD"
"VIM",0.629395857930096,3.69184462080127e-59,"COAD"
"INHBA",0.62876716796089,5.20060544662118e-59,"COAD"
"SLC11A1",0.628322503132013,6.6236821631137e-59,"COAD"
"PPP1R18",0.627408887163223,1.08741012665511e-58,"COAD"
"AEBP1",0.627335110190865,1.13174252731869e-58,"COAD"
"CTHRC1",0.626948532209003,1.39509740767764e-58,"COAD"
"SPRED3",0.625404724024964,3.20752665731027e-58,"COAD"
"LATS2",0.624655019791142,4.79758235847667e-58,"COAD"
"PCDH17",0.624511471835874,5.18140509161506e-58,"COAD"
"FILIP1L",0.623010477664074,1.15587832092505e-57,"COAD"
"RGS4",0.622645316890638,1.40410551389576e-57,"COAD"
"GJA1",0.622475678072588,1.53677833511817e-57,"COAD"
"GPC6",0.621653699112451,2.37830882216691e-57,"COAD"
"ITGAX",0.62148903625446,2.59533522350242e-57,"COAD"
"CHST11",0.621400487196007,2.72006181017111e-57,"COAD"
"ENTPD1",0.620995131138602,3.37143234848288e-57,"COAD"
"CHSY3",0.62068864125578,3.96478188837209e-57,"COAD"
"SYT11",0.620500558357836,4.37911013531148e-57,"COAD"
"EHD2",0.620416265663172,4.57848939733167e-57,"COAD"
"FNDC4",0.6202794778151,4.92139435533569e-57,"COAD"
"THBD",0.619259202377221,8.42467010874326e-57,"COAD"
"NNMT",0.618585945775391,1.19988860204791e-56,"COAD"
"MEIS3",0.617965518159425,1.66091568858751e-56,"COAD"
"NCF2",0.617606648271255,2.00392232790298e-56,"COAD"
"SDC2",0.617471028836772,2.15112410905121e-56,"COAD"
"ADAMTS3",0.617264890815722,2.39567811587226e-56,"COAD"
"ADGRF5",0.616187693425053,4.19981851110037e-56,"COAD"
"AFAP1L1",0.615763308917763,5.23627613292998e-56,"COAD"
"CSMD2",0.615613334687754,5.66030456872386e-56,"COAD"
"EBF2",0.615585530759224,5.74258229253794e-56,"COAD"
"COL10A1",0.615223797036636,6.92772280545181e-56,"COAD"
"SLC1A3",0.615025706110404,7.67656939890558e-56,"COAD"
"AKT3",0.615017193382824,7.71049218678809e-56,"COAD"
"COL6A2",0.614902521934836,8.1822268050619e-56,"COAD"
