"gene","spearman_correlation","p_value","cancer_type"
"ITGA2",0.838275348983948,1.05769347497104e-13,"DLBC"
"CKAP5",0.827196820142751,4.27820047204459e-13,"DLBC"
"COMMD6",-0.81448909588373,1.89096161557632e-12,"DLBC"
"CALU",0.811013478992374,2.78412436151851e-12,"DLBC"
"NUP98",0.804931149432501,5.37735540170613e-12,"DLBC"
"ADAM9",0.804713923376791,5.50292681069079e-12,"DLBC"
"NOMO3",0.802324436763984,7.08029178518998e-12,"DLBC"
"INCENP",0.798957432900482,1.00413669466724e-11,"DLBC"
"COPB1",0.796350720231966,1.3101511481025e-11,"DLBC"
"KDR",0.794069846647013,1.64835515600834e-11,"DLBC"
"ENTPD7",0.793852620591303,1.68454959513943e-11,"DLBC"
"ARSJ",0.79287510334061,1.85692324664401e-11,"DLBC"
"ITGB1",0.789725325532818,2.53283671965531e-11,"DLBC"
"RPGR",0.788856421309979,2.75673681904888e-11,"DLBC"
"CLSPN",0.787335838920011,3.19421150173459e-11,"DLBC"
"COL4A1",0.786901386808591,3.33077383542154e-11,"DLBC"
"NID2",0.786466934697172,3.47283876755702e-11,"DLBC"
"WWC2",0.785489417446478,3.81369323503204e-11,"DLBC"
"TNC",0.782991317805815,4.83402055342049e-11,"DLBC"
"SETSIP",0.782774091750106,4.93398725592693e-11,"DLBC"
"DHX29",0.782122413582977,5.24573127054618e-11,"DLBC"
"POLR2B",0.781687961471557,5.46379546259221e-11,"DLBC"
"NID1",0.781362122387992,5.63293115000931e-11,"DLBC"
"FKBP1C",0.776040084023103,9.20144244749192e-11,"DLBC"
"ANO6",0.775279792828119,9.85891381705338e-11,"DLBC"
"PANK3",0.773867823466006,1.11991946407811e-10,"DLBC"
"PGM2",0.773324758326731,1.17590677603911e-10,"DLBC"
"YME1L1",0.771912788964618,1.33409130887235e-10,"DLBC"
"CDH5",0.771912788964618,1.33409130887235e-10,"DLBC"
"CAND1",0.771586949881053,1.3733440991218e-10,"DLBC"
"RSC1A1",0.769849141435375,1.60176879134868e-10,"DLBC"
"SHROOM4",0.768871624184681,1.7455491504768e-10,"DLBC"
"TM9SF3",0.768219946017552,1.84807470010486e-10,"DLBC"
"CANX",0.767568267850423,1.95626145241594e-10,"DLBC"
"LMAN1",0.7659390724326,2.25345009973418e-10,"DLBC"
"GNL3L",0.765396007293325,2.36163196546012e-10,"DLBC"
"PALB2",0.762897907652663,2.9254482361048e-10,"DLBC"
"C11orf58",0.761703164346259,3.23788971503377e-10,"DLBC"
"NCAPD3",0.761703164346259,3.23788971503377e-10,"DLBC"
"UPF2",0.760942873151275,3.45281680967073e-10,"DLBC"
"DOCK1",0.759748129844872,3.817926048269e-10,"DLBC"
"SRFBP1",0.758336160482758,4.2963087887706e-10,"DLBC"
"ZFP91-CNTF",0.758227547454903,4.33535622205169e-10,"DLBC"
"LAMC1",0.757467256259919,4.61819940468275e-10,"DLBC"
"LAMB1",0.757358643232064,4.65999722183461e-10,"DLBC"
"IPO7",0.756924191120645,4.83078000197591e-10,"DLBC"
"ALDH1L2",0.756055286897806,5.19019134051545e-10,"DLBC"
"FLT1",0.755403608730676,5.47612607265699e-10,"DLBC"
"FNDC3B",0.753883026340708,6.20208210146753e-10,"DLBC"
"ITGB3",0.753665800284998,6.31290449792476e-10,"DLBC"
"RELL1",0.753448574229289,6.42559037481247e-10,"DLBC"
"PCDH18",0.752796896062159,6.77512441545276e-10,"DLBC"
"SPTLC1",0.752688283034305,6.83509330289729e-10,"DLBC"
"SDAD1",0.750950474588627,7.86527879760628e-10,"DLBC"
"CSNK2A3",0.750516022477207,8.1447740593714e-10,"DLBC"
"KIF23",0.750516022477207,8.1447740593714e-10,"DLBC"
"SRRM1",0.750407409449352,8.21609508105494e-10,"DLBC"
"EIF4G2",0.750407409449352,8.21609508105494e-10,"DLBC"
"THSD7A",0.750298796421497,8.28800394655885e-10,"DLBC"
"COL4A2",0.749972957337933,8.50730314000401e-10,"DLBC"
"PKD2",0.749864344310078,8.58160907859374e-10,"DLBC"
"PP2D1",0.749755731282223,8.65652587445956e-10,"DLBC"
"NEDD1",0.749538505226513,8.80821088045008e-10,"DLBC"
"DYNC1I2",0.749538505226513,8.80821088045008e-10,"DLBC"
"COL6A3",0.749212666142948,9.04043847295167e-10,"DLBC"
"CEP104",0.7481265358644,9.85685972366135e-10,"DLBC"
"HIF1A",0.74769208375298,1.02024679610749e-09,"DLBC"
"KIF4B",0.747583470725125,1.02906355152202e-09,"DLBC"
"DIP2B",0.74747485769727,1.03795200494923e-09,"DLBC"
"FAT4",0.747149018613706,1.06505303069216e-09,"DLBC"
"LARP1",0.747149018613706,1.06505303069216e-09,"DLBC"
"ARHGAP19-SLIT1",0.745845662279447,1.18026307050957e-09,"DLBC"
"ADAMTS1",0.745411210168028,1.22120481372052e-09,"DLBC"
"RAB5A",0.744542305945189,1.30713132494407e-09,"DLBC"
"CDC42BPA",0.744433692917334,1.31826365864026e-09,"DLBC"
"PRRG1",0.744325079889479,1.32948518366327e-09,"DLBC"
"RECQL",0.744216466861624,1.34079656871436e-09,"DLBC"
"NFXL1",0.744216466861624,1.34079656871436e-09,"DLBC"
"SLMAP",0.743999240805914,1.36369161704161e-09,"DLBC"
"CTR9",0.743890627778059,1.37527664114594e-09,"DLBC"
"PHRF1",0.74323894961093,1.44675540229508e-09,"DLBC"
"MLLT10",0.743130336583075,1.45900320661312e-09,"DLBC"
"GTF2H2C",0.742804497499511,1.49633471153019e-09,"DLBC"
"E2F8",0.742478658415946,1.5345637732595e-09,"DLBC"
"PICALM",0.741066689053833,1.71109546859353e-09,"DLBC"
"TNFRSF10A",0.740197784830994,1.82904706017368e-09,"DLBC"
"PRKDC",0.738459976385316,2.08826539365013e-09,"DLBC"
"UBA52",-0.737916911246041,2.17611118782062e-09,"DLBC"
"USP25",0.737699685190331,2.21221330227383e-09,"DLBC"
"TTLL5",0.737482459134622,2.24887823247076e-09,"DLBC"
"SMC2",0.736396328856073,2.44093602536778e-09,"DLBC"
"TXNRD1",0.736287715828218,2.46096773540125e-09,"DLBC"
"SEC24A",0.736070489772508,2.50149586527232e-09,"DLBC"
"NAA15",0.734984359493959,2.71372587146327e-09,"DLBC"
"USO1",0.734875746466105,2.73585559175445e-09,"DLBC"
"C19orf53",-0.734658520410395,2.78062509400221e-09,"DLBC"
"HIVEP1",0.734658520410395,2.78062509400221e-09,"DLBC"
"ANKUB1",0.73454990738254,2.80326731437414e-09,"DLBC"
"NRP1",0.734441294354685,2.826082820041e-09,"DLBC"
"B3GNT2",0.734441294354685,2.826082820041e-09,"DLBC"
"FCAR",0.734369085699829,2.84134764488518e-09,"DLBC"
"THOC2",0.734224068298975,2.8722386537353e-09,"DLBC"
"HUWE1",0.734006842243266,2.91910261065069e-09,"DLBC"
"APOOL",0.733898229215411,2.94280330158926e-09,"DLBC"
"KIF20B",0.733572390131846,3.01499562461246e-09,"DLBC"
"PMEL",0.733463777103991,3.0394274765593e-09,"DLBC"
"DDX46",0.733246551048281,3.08885067683414e-09,"DLBC"
"PNPLA3",0.733137938020426,3.11384468224889e-09,"DLBC"
"RPL34",-0.732486259853297,3.26784747794667e-09,"DLBC"
"ARL13B",0.731834581686168,3.42898983326069e-09,"DLBC"
"PPIG",0.731182903519039,3.59758025481234e-09,"DLBC"
"MAPK6",0.730965677463329,3.65548727843801e-09,"DLBC"
"EIF4G1",0.730422612324055,3.80411135534651e-09,"DLBC"
"EAF1",0.7303139992962,3.8345097441557e-09,"DLBC"
"DNMT1",0.729988160212635,3.92708058873251e-09,"DLBC"
