"gene","spearman_correlation","p_value","cancer_type"
"TNFRSF18",0.584635993380222,0,"ESCA"
"PLCH2",0.47834078869969,0,"ESCA"
"TNFRSF14",-0.48941909980606,0,"ESCA"
"MMEL1",-0.533198989873224,0,"ESCA"
"TP73",0.563997498645357,0,"ESCA"
"GPR153",0.553270119247213,0,"ESCA"
"HES2",0.528779105495173,0,"ESCA"
"KLHL21",0.519339506330298,0,"ESCA"
"ENO1",0.519225105685326,0,"ESCA"
"SPSB1",0.610822919396243,0,"ESCA"
"PIK3CD",0.641159187724502,0,"ESCA"
"CLSTN1",0.592515724291354,0,"ESCA"
"AGTRAP",0.489927718889788,0,"ESCA"
"PDPN",0.786117172541681,0,"ESCA"
"PLEKHM2",0.606307185829161,0,"ESCA"
"ARHGEF19",0.487567046121238,0,"ESCA"
"MFAP2",0.638048726944985,0,"ESCA"
"ARHGEF10L",-0.487259401143543,0,"ESCA"
"IFFO2",0.600208394688409,0,"ESCA"
"AKR7A3",-0.645433752364344,0,"ESCA"
"KIF17",0.476844304587079,0,"ESCA"
"ZNF436",0.512130719742382,0,"ESCA"
"GALE",-0.505294508227957,0,"ESCA"
"FUCA1",-0.577980658561226,0,"ESCA"
"CLIC4",0.610717794479241,0,"ESCA"
"PAFAH2",-0.61095896340648,0,"ESCA"
"ZDHHC18",0.564524669185027,0,"ESCA"
"SFN",0.550289518659286,0,"ESCA"
"MAP3K6",0.53719064480996,0,"ESCA"
"AHDC1",0.519919239328468,0,"ESCA"
"SMPDL3B",-0.635072764221044,0,"ESCA"
"EPB41",-0.526069046973059,0,"ESCA"
"COL16A1",0.515734340059009,0,"ESCA"
"SPOCD1",0.550921814115957,0,"ESCA"
"PTP4A2",-0.521740373920054,0,"ESCA"
"GJB3",0.484932739377552,0,"ESCA"
"COL8A2",0.612444625836458,0,"ESCA"
"MAP7D1",0.669797997834118,0,"ESCA"
"FHL3",0.496988093830172,0,"ESCA"
"MACF1",0.570128754834007,0,"ESCA"
"ZMYND12",-0.490969692331833,0,"ESCA"
"P3H1",0.516055898628661,0,"ESCA"
"SLC2A1",0.584666912473458,0,"ESCA"
"TMEM125",-0.661278241693006,0,"ESCA"
"ST3GAL3",0.568689471043883,0,"ESCA"
"ARTN",0.66022699252299,0,"ESCA"
"B4GALT2",0.546757012257102,0,"ESCA"
"MKNK1",0.480523676682134,0,"ESCA"
"MOB3C",0.496487204519753,0,"ESCA"
"CMPK1",-0.488978502727451,0,"ESCA"
"TTC39A",-0.545764509364234,0,"ESCA"
"GLIS1",0.561850167620134,0,"ESCA"
"IL12RB2",0.480950360168787,0,"ESCA"
"CTH",-0.517843022217688,0,"ESCA"
"AK5",0.483512007043369,0,"ESCA"
"DNAJB4",0.552439941593833,0,"ESCA"
"GIPC2",-0.557298877095831,0,"ESCA"
"SAMD13",-0.576776359879694,0,"ESCA"
"DDAH1",-0.644577293481714,0,"ESCA"
"COL24A1",0.503386800175311,0,"ESCA"
"LRRC8C",0.641046333034191,0,"ESCA"
"ABCD3",-0.539234396872843,0,"ESCA"
"SLC44A3",-0.627126557259455,0,"ESCA"
"PALMD",0.518555707316772,0,"ESCA"
"SLC35A3",-0.478442821707368,0,"ESCA"
"WDR47",0.621729629535155,0,"ESCA"
"CELSR2",0.542323214287095,0,"ESCA"
"DENND2D",-0.528729634945996,0,"ESCA"
"BCL2L15",-0.672930101978899,0,"ESCA"
"DENND2C",0.511560262472183,0,"ESCA"
"IGSF3",0.621539477111755,0,"ESCA"
"PTGFRN",0.650926529277676,0,"ESCA"
"PDZK1",-0.536876816013617,0,"ESCA"
"FMO5",-0.683391577175216,0,"ESCA"
"ACP6",-0.556924756067679,0,"ESCA"
"GOLPH3L",-0.556759338918868,0,"ESCA"
"ANXA9",-0.539044244449443,0,"ESCA"
"MINDY1",-0.478549492579031,0,"ESCA"
"MLLT11",0.490230726003499,0,"ESCA"
"SELENBP1",-0.66043415044767,0,"ESCA"
"CGN",-0.663679109282762,0,"ESCA"
"RORC",-0.64610469668756,0,"ESCA"
"FLG",0.483233735204248,0,"ESCA"
"S100A3",0.612582215801357,0,"ESCA"
"S100A2",0.619593120192564,0,"ESCA"
"ATP8B2",0.481191529096026,0,"ESCA"
"MUC1",-0.609049709399173,0,"ESCA"
"IFI16",0.663706936466674,0,"ESCA"
"VANGL2",0.48631482284519,0,"ESCA"
"OLFML2B",0.479920754364037,0,"ESCA"
"RGS4",0.523730017569775,0,"ESCA"
"MPC2",-0.484011350399127,0,"ESCA"
"GPR161",0.575991014911506,0,"ESCA"
"F5",-0.511594273474742,0,"ESCA"
"PRRX1",0.683725503382162,0,"ESCA"
"FMO1",0.516218223868149,0,"ESCA"
"LAMC2",0.581627565608383,0,"ESCA"
"NCF2",0.559896080927635,0,"ESCA"
"NR5A2",-0.496678902897815,0,"ESCA"
"CAMSAP2",0.640463508126697,0,"ESCA"
"PKP1",0.652144741551165,0,"ESCA"
"PHLDA3",0.613270165625853,0,"ESCA"
"NAV1",0.636646546066744,0,"ESCA"
"ELF3",-0.566723016714089,0,"ESCA"
"PPFIA4",0.537400894643963,0,"ESCA"
"ATP2B4",0.587553209827016,0,"ESCA"
"ETNK2",0.545218787368623,0,"ESCA"
"PLEKHA6",-0.708635470847547,0,"ESCA"
"PIK3C2B",-0.515313840391003,0,"ESCA"
"TMCC2",0.677535500916365,0,"ESCA"
"MFSD4A",-0.517036033884234,0,"ESCA"
"RAB7B",0.525309983234122,0,"ESCA"
"LAMB3",0.546831218080867,0,"ESCA"
"IRF6",0.535593673644333,0,"ESCA"
"PTPN14",0.587890227943285,0,"ESCA"
"MARK1",0.599681224148739,0,"ESCA"
"C1orf115",-0.530977453024235,0,"ESCA"
"DISP1",-0.500645822559962,0,"ESCA"
"ENAH",0.521978450937969,0,"ESCA"
"TMEM63A",-0.606562268348356,0,"ESCA"
"ITPKB",0.477544622048869,0,"ESCA"
"COQ8A",-0.570408572627791,0,"ESCA"
"WNT9A",0.633591739655051,0,"ESCA"
"RHOU",-0.596695985696828,0,"ESCA"
"PGBD5",0.481522363393649,0,"ESCA"
"AGT",-0.486630197596195,0,"ESCA"
"EDARADD",0.551026939032959,0,"ESCA"
"ZBTB18",-0.500639638741315,0,"ESCA"
"BEND7",-0.537584863248716,0,"ESCA"
"FAM171A1",-0.477558535640825,0,"ESCA"
"VIM",0.504813716328141,0,"ESCA"
"SVIL",0.513254628781502,0,"ESCA"
"ARHGAP12",-0.576334216846423,0,"ESCA"
"ZNF33A",-0.532920718034102,0,"ESCA"
"ZNF33B",-0.496864417457229,0,"ESCA"
"ZNF239",-0.489858150930008,0,"ESCA"
"ANXA8L1",0.565427506707511,0,"ESCA"
"ANXA8",0.560737080263647,0,"ESCA"
