"gene","spearman_correlation","p_value","cancer_type"
"ZNF436",0.501945812807882,0,"GBM"
"MAN1C1",0.533600537393641,0,"GBM"
"SELENON",0.58730631437528,0,"GBM"
"CSF1",0.511878638602777,0,"GBM"
"CACYBP",-0.503640841916704,0,"GBM"
"GALNT2",0.589666368114644,0,"GBM"
"VIM",0.528683385579937,0,"GBM"
"VCL",0.508853560232871,0,"GBM"
"MYOF",0.565277653381102,0,"GBM"
"NDUFB8",-0.511036721898791,0,"GBM"
"ADAM12",0.524256605463502,0,"GBM"
"CD44",0.605606806986117,0,"GBM"
"OTUB1",-0.494120017913121,0,"GBM"
"C1RL",0.531630094043887,0,"GBM"
"GPRC5A",0.517756381549485,0,"GBM"
"ETFBKMT",-0.50013210927004,0,"GBM"
"AMN1",-0.509238692342141,0,"GBM"
"ANO6",0.500194805194805,0,"GBM"
"FAM216A",-0.499527541424093,0,"GBM"
"SERP2",-0.526813703537842,0,"GBM"
"MMP14",0.517857142857143,0,"GBM"
"ACTN1",0.616757725033587,0,"GBM"
"CA12",0.530015673981191,0,"GBM"
"C15orf61",-0.554265562024183,0,"GBM"
"IQGAP1",0.49397671294223,0,"GBM"
"MVP",0.522991491267353,0,"GBM"
"STAT3",0.560976265114196,0,"GBM"
"ITGB3",0.50474921630094,0,"GBM"
"MRC2",0.525913569189431,0,"GBM"
"SBNO2",0.497505597850425,0,"GBM"
"EHD2",0.503519928347515,0,"GBM"
"FOSL2",0.573251231527094,0,"GBM"
"MDH1",-0.500566502463054,0,"GBM"
"ANKRD39",-0.548416927899687,0,"GBM"
"INPP1",-0.517969099865652,0,"GBM"
"ARL4C",0.529570085087327,0,"GBM"
"BHLHE40",0.507113748320645,0,"GBM"
"HRH1",0.523316166592029,0,"GBM"
"PROS1",0.515454545454545,0,"GBM"
"ARL13B",0.500503806538289,0,"GBM"
"WWTR1",0.507619793999104,0,"GBM"
"FNDC3B",0.542077922077922,0,"GBM"
"LPP",0.532008508732647,0,"GBM"
"PCYT1A",0.515467980295567,0,"GBM"
"WDR1",0.513936408419167,0,"GBM"
"NFKB1",0.516639050604568,0,"GBM"
"PALLD",0.522783251231527,0,"GBM"
"CTNNA1",0.57653381101657,0,"GBM"
"PPP1R18",0.500613524406628,0,"GBM"
"TRAM2",0.497091356918943,0,"GBM"
"PLEKHG1",0.496527093596059,0,"GBM"
"FAM20C",0.548340797133901,0,"GBM"
"SERPINE1",0.527355575459024,0,"GBM"
"ADAM9",0.54705329153605,0,"GBM"
"POLB",-0.521206896551724,0,"GBM"
"ANKRD46",-0.534473802060009,0,"GBM"
"NDUFB9",-0.511195700850873,0,"GBM"
"GLIS3",0.59422749664129,0,"GBM"
"TLN1",0.543273622928795,0,"GBM"
"PCSK5",0.506733094491715,0,"GBM"
"FAM120A",0.508179579041648,0,"GBM"
"TRIM14",0.500667263770712,0,"GBM"
"TNC",0.863378862516794,0,"GBM"
"MSN",0.634196148678907,0,"GBM"
"FLNA",0.598446036721899,0,"GBM"
"LRRC15",0.535053012270572,2.38769593033605e-14,"GBM"
"NEK6",0.493414688759516,1.2232381072141e-13,"GBM"
"C1R",0.493392297357815,1.33418668547727e-13,"GBM"
"HSPA5",0.49320644872369,2.27003686649287e-13,"GBM"
"LIF",0.492115987460815,8.32779388958335e-13,"GBM"
"RERGL",-0.490656068069861,1.81241319270035e-12,"GBM"
"SMAD1",0.490523958799821,1.91159985039145e-12,"GBM"
"DAG1",0.490360501567398,2.03690701673905e-12,"GBM"
"CDCP1",0.489899238692342,2.40637557251026e-12,"GBM"
"LMNA",0.489682042095835,2.58872000071998e-12,"GBM"
"MFSD14B",0.488790864308106,3.39640404634046e-12,"GBM"
"MBD2",0.487588446036722,4.6514942143074e-12,"GBM"
"FCGBP",0.486045678459472,6.57988107820359e-12,"GBM"
"UQCRC2",-0.485221674876847,7.77645854221341e-12,"GBM"
"IFNAR1",0.483725929243171,1.02889567380215e-11,"GBM"
"ABCA1",0.482870577698164,1.19466182105262e-11,"GBM"
"LAMC1",0.482442901925661,1.28418582621011e-11,"GBM"
"MRPL43",-0.48231303179579,1.31229167478438e-11,"GBM"
"COL6A1",0.48204881325571,1.37083483195768e-11,"GBM"
"CAV1",0.481813703537841,1.42449836064203e-11,"GBM"
"ADPRH",0.480879982086879,1.65296535636949e-11,"GBM"
"LAMB2",0.480474697716077,1.76019155815968e-11,"GBM"
"DPYD",0.479982086878639,1.89751803590948e-11,"GBM"
"FEM1C",0.479711150918048,1.97645396567359e-11,"GBM"
"LATS2",0.479449171518137,2.05516153681564e-11,"GBM"
"MAPKAPK2",0.479158083296014,2.14543872826447e-11,"GBM"
"STK40",0.478931930138827,2.21768471807122e-11,"GBM"
"SPOCD1",0.477964621585311,2.54858347907392e-11,"GBM"
"TRIM56",0.477789968652038,2.61229024480151e-11,"GBM"
"PTPN12",0.477592924317062,2.68568631212706e-11,"GBM"
"F3",0.47704881325571,2.89700300358737e-11,"GBM"
"PLOD2",0.476088222122705,3.30289046583849e-11,"GBM"
