"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.910098630692984,4.78988999395007e-211,"HNSC"
"ACTN1",0.729072054938403,5.7775145623331e-92,"HNSC"
"INHBA",0.6946154629473,3.8924701667648e-80,"HNSC"
"LAMC2",0.680146023345998,1.17813379451733e-75,"HNSC"
"COL12A1",0.679305230058023,2.10685308109491e-75,"HNSC"
"MICAL2",0.678420393654317,3.87601942469609e-75,"HNSC"
"PTK7",0.674154737684792,7.10807688109585e-74,"HNSC"
"LAMA3",0.666532434819755,1.14059001694892e-71,"HNSC"
"SERPINE1",0.665510765789113,2.22728743985958e-71,"HNSC"
"GNA12",0.657023970939721,5.22751228433096e-69,"HNSC"
"ITGB1",0.651451350094691,1.71184012107143e-67,"HNSC"
"MSN",0.65086621105134,2.45871423355074e-67,"HNSC"
"ITGA5",0.647929687353318,1.49491103679213e-66,"HNSC"
"LRRC8C",0.646362109736715,3.88638092159714e-66,"HNSC"
"MYH9",0.643415413829017,2.30646830494447e-65,"HNSC"
"SNAI2",0.642854082860643,3.23081730576359e-65,"HNSC"
"ITGA6",0.637372282712041,8.369558188029e-64,"HNSC"
"COL4A1",0.636709193187372,1.23517325679278e-63,"HNSC"
"TGFBI",0.636668394970068,1.26506851470161e-63,"HNSC"
"LOXL2",0.636170904643785,1.69291918058685e-63,"HNSC"
"APBB2",0.63346104986174,8.19868340279428e-63,"HNSC"
"RMND5B",-0.632414004996206,1.50187118916476e-62,"HNSC"
"COL4A2",0.632376597515461,1.5346386149153e-62,"HNSC"
"LTBP1",0.631909259222878,2.00910022607e-62,"HNSC"
"KLF7",0.627244334908675,2.88350982439723e-61,"HNSC"
"EIF4EBP3",-0.627213125548521,2.93491299122361e-61,"HNSC"
"DKK3",0.625742603208471,6.73257432383956e-61,"HNSC"
"PPFIBP1",0.622367070274921,4.45282226259538e-60,"HNSC"
"AMIGO2",0.621223079511434,8.40275024045595e-60,"HNSC"
"EDNRA",0.621147535359286,8.76179320373753e-60,"HNSC"
"CALU",0.620939898319477,9.82907977552834e-60,"HNSC"
"CAV1",0.620797195707746,1.06365192508341e-59,"HNSC"
"COL5A2",0.619478673160314,2.20171630874616e-59,"HNSC"
"SEMA3C",0.61499754135141,2.54351228706367e-58,"HNSC"
"SEC23A",0.614201702667488,3.91181816842066e-58,"HNSC"
"COL5A1",0.610327111647741,3.12579083432219e-57,"HNSC"
"DCBLD1",0.610299402402744,3.17226782786755e-57,"HNSC"
"APP",0.608029322506418,1.05769118512978e-56,"HNSC"
"TRIO",0.607695426104212,1.26161578378096e-56,"HNSC"
"MYO10",0.607529280012832,1.37718860968583e-56,"HNSC"
"FLRT2",0.607307132078934,1.54830096121013e-56,"HNSC"
"LIMA1",0.607256526247283,1.59014322613449e-56,"HNSC"
"MYO1B",0.606611630029525,2.23272313619088e-56,"HNSC"
"PDPN",0.605850464361382,3.32946452648364e-56,"HNSC"
"CDK6",0.602746810164592,1.67939861913759e-55,"HNSC"
"COL5A3",0.602083866478054,2.36739205483752e-55,"HNSC"
"ANO6",0.599923748532924,7.20663010370229e-55,"HNSC"
"SERPINH1",0.599892648551369,7.32261058855337e-55,"HNSC"
"LAMC1",0.599666490068853,8.22365496445834e-55,"HNSC"
"TTYH3",0.599016963490418,1.14706340910469e-54,"HNSC"
"TENM2",0.598459497232531,1.52532651972019e-54,"HNSC"
