"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.828548975464735,3.87731287655656e-24,"KICH"
"VCAN",0.824755238452468,9.40359890819453e-24,"KICH"
"ADAM19",0.807300860181746,4.28035992708568e-22,"KICH"
"TGM2",0.786801928258322,2.37424662373898e-20,"KICH"
"PLEKHG2",0.785686123254714,2.91696338547717e-20,"KICH"
"OXTR",0.775691698436684,1.74866051203459e-19,"KICH"
"FBLIM1",0.774480253004195,2.15906873077308e-19,"KICH"
"INHBA",0.771658860352215,3.51013847336532e-19,"KICH"
"ARL4C",0.771547279851855,3.57774292910033e-19,"KICH"
"SERPINE1",0.770399594705286,4.35065164182775e-19,"KICH"
"HRH1",0.768598366628034,5.90044271800475e-19,"KICH"
"FSTL1",0.767865123339949,6.67439700607013e-19,"KICH"
"HEPH",0.764804629615767,1.11104215209738e-18,"KICH"
"MYADM",0.763943865755841,1.2804826408453e-18,"KICH"
"VIM",0.763354083111077,1.41078174871035e-18,"KICH"
"THBS1",0.762078877392668,1.7379637339877e-18,"KICH"
"ITGA5",0.7608514918887,2.12173846514546e-18,"KICH"
"CALD1",0.760437050030217,2.26899509557754e-18,"KICH"
"MICAL2",0.760293589386896,2.32224139516307e-18,"KICH"
"LMCD1",0.758986503525526,2.86660476676942e-18,"KICH"
"ACTN1",0.758332960594842,3.18332465767356e-18,"KICH"
"COL12A1",0.75799821909376,3.35843403561019e-18,"KICH"
"PPP1R18",0.75522464665622,5.21664676736712e-18,"KICH"
"FLNA",0.754332002653334,6.00350610040167e-18,"KICH"
"CDH11",0.754284182438894,6.0487577981139e-18,"KICH"
"CD109",0.753598759365249,6.73486527268778e-18,"KICH"
"TIMP1",0.752275733432399,8.27883394636459e-18,"KICH"
"GLIPR2",0.751781591216516,8.93933150529733e-18,"KICH"
"MEDAG",0.751590310358754,9.20848752436891e-18,"KICH"
"PDLIM3",0.74948622092338,1.27390832240843e-17,"KICH"
"COL3A1",0.746282266555877,2.07542687985307e-17,"KICH"
"EMP1",0.746106925769596,2.13116176470098e-17,"KICH"
"ARHGAP23",0.745118641337829,2.47348874357825e-17,"KICH"
"NNMT",0.743110192331335,3.34098081716729e-17,"KICH"
"FBXL7",0.739364275533509,5.81009133467268e-17,"KICH"
"RFTN1",0.739300515247588,5.86459133313808e-17,"KICH"
"COL5A1",0.739268635104628,5.89202674287081e-17,"KICH"
"SLFN11",0.739125174461307,6.01703255841112e-17,"KICH"
"CPXM1",0.737531167313296,7.59084193283041e-17,"KICH"
"NAV1",0.737419586812935,7.71482612481029e-17,"KICH"
"MRC2",0.73673416373929,8.52060583421971e-17,"KICH"
"ADA",0.734996695947958,1.09455852853937e-16,"KICH"
"COL5A2",0.734375033160234,1.19660169554344e-16,"KICH"
"ELK3",0.734295332802833,1.21033248261142e-16,"KICH"
"SLC43A3",0.732765085940742,1.50556363220016e-16,"KICH"
"ICAM1",0.732733205797782,1.5124014788385e-16,"KICH"
"IL4R",0.732207183438939,1.62966461919915e-16,"KICH"
"AKAP12",0.731171078792731,1.8869279500281e-16,"KICH"
"HBEGF",0.731123258578291,1.89970532713286e-16,"KICH"
"ERFE",0.729035109214396,2.54720523533808e-16,"KICH"
"MFGE8",0.728572847141473,2.71708288742991e-16,"KICH"
"CTTNBP2NL",0.727935244282269,2.96950010161452e-16,"KICH"
"COL7A1",0.726134016205016,3.81143622005281e-16,"KICH"
"TPM4",0.725799274703934,3.99153803702862e-16,"KICH"
"NID2",0.725145731773249,4.36720781626758e-16,"KICH"
"DKK3",0.725129791701769,4.37678517885316e-16,"KICH"
