"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.733570175904688,9.69985705345399e-105,"KIRC"
"FBN1",0.569625695383171,4.18718087948524e-54,"KIRC"
"MICAL2",0.541918056740421,3.69943514902267e-48,"KIRC"
"COL3A1",0.538940535702292,1.4950021909789e-47,"KIRC"
"COL6A3",0.538330101120173,1.987181684462e-47,"KIRC"
"TPM4",0.534402375797063,1.22312886451227e-46,"KIRC"
"ACTN1",0.521018461499974,5.01595152261144e-44,"KIRC"
"COL5A1",0.51841692150701,1.5662231793838e-43,"KIRC"
"FLNA",0.515409358274372,5.77068069866504e-43,"KIRC"
"TRAM2",0.512641977073068,1.89407322903529e-42,"KIRC"
"FN1",0.512097407215925,2.39008034223441e-42,"KIRC"
"FBLIM1",0.511593869967847,2.96247432295406e-42,"KIRC"
"COL12A1",0.510088701589314,5.61624851327473e-42,"KIRC"
"TSHZ3",0.507154105377851,1.93678650990877e-41,"KIRC"
"COL1A2",0.505678642223569,3.59274882968358e-41,"KIRC"
"INHBA",0.503738704450306,8.05855870577275e-41,"KIRC"
"FAP",0.501001728334557,2.49697120440083e-40,"KIRC"
"SULF1",0.499935684043314,3.86827209901554e-40,"KIRC"
"ITGB1",0.499598713785669,4.44087228204842e-40,"KIRC"
"GNA12",0.499276181407525,5.06743651260167e-40,"KIRC"
"MMP2",0.489128373940124,3.00180981897247e-38,"KIRC"
"ITGA11",0.486367135965825,8.90249744213237e-38,"KIRC"
"C1orf198",0.485179834223407,1.4164523985086e-37,"KIRC"
"THBS2",0.480965891547611,7.25580143475214e-37,"KIRC"
"COL1A1",0.480306933248392,9.34849004370164e-37,"KIRC"
"RAB23",0.479787506556627,1.1411034615248e-36,"KIRC"
"LTBP1",0.478669905815963,1.75031343359555e-36,"KIRC"
"TGFB3",0.478645203303999,1.76691090271664e-36,"KIRC"
"CFH",0.476786838253876,3.58601154973554e-36,"KIRC"
"HAS2",0.47597857496437,4.87215511127867e-36,"KIRC"
"PRRX1",0.474541501744031,8.38515109136453e-36,"KIRC"
"MRC2",0.473817482264297,1.10124042849697e-35,"KIRC"
"NAV1",0.472044163323046,2.14097902508435e-35,"KIRC"
"TIMP2",0.469610823330225,5.29741705003083e-35,"KIRC"
"PXDN",0.469266310122966,6.01885741664812e-35,"KIRC"
"TGFB2",0.46770121288015,1.07306371494414e-34,"KIRC"
"MYH9",0.467257448971621,1.26354018157152e-34,"KIRC"
"RAB31",0.466166546643679,1.886238539455e-34,"KIRC"
"AFAP1",0.465934529660896,2.05364004391809e-34,"KIRC"
"ENAH",0.465403879267472,2.49388261147293e-34,"KIRC"
"EMILIN1",0.464285086170513,3.75175277378749e-34,"KIRC"
"EXT2",0.463391570651183,5.19289549507462e-34,"KIRC"
"COL14A1",0.462310984797283,7.68397208486689e-34,"KIRC"
"COL5A2",0.461976502935387,8.67238536664697e-34,"KIRC"
"VCAN",0.460612810223487,1.41839505760828e-33,"KIRC"
"RGS4",0.460285249212267,1.5957870616841e-33,"KIRC"
"ADAM12",0.45941729159094,2.1792934055433e-33,"KIRC"
"LAMC1",0.459273223845403,2.29478828943315e-33,"KIRC"
"CD276",0.458700348486617,2.81718915522356e-33,"KIRC"
"PARVA",0.458057124106351,3.54508423441034e-33,"KIRC"
"SNAI1",0.457265010713784,4.70163550911089e-33,"KIRC"
"XYLT1",0.456586015644629,5.98555681707742e-33,"KIRC"
"MSN",0.456127580569498,7.04314170180855e-33,"KIRC"
"CPXM1",0.454953711692175,1.06712428258119e-32,"KIRC"
"DCLRE1B",0.454794396626309,1.12888861831106e-32,"KIRC"
"HRH1",0.454794111497629,1.12900227360368e-32,"KIRC"
"PTX3",0.454481429019324,1.26071587126694e-32,"KIRC"
"GALNT1",0.454430650193575,1.28349745330602e-32,"KIRC"
"ANTXR1",0.454428680213608,1.28438944139324e-32,"KIRC"
"POSTN",0.454192541825366,1.39588171331837e-32,"KIRC"
"SNAI2",0.453964309277784,1.51273651895206e-32,"KIRC"
"HEPH",0.453954303853211,1.51807525881645e-32,"KIRC"
"SYNJ2",0.453415851302283,1.83466895154967e-32,"KIRC"
"EXT1",0.453285055000739,1.92096095068185e-32,"KIRC"
