"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.825998343653539,6.4621190957441e-82,"KIRP"
"UBXN10",0.571316389135303,2.22343310351921e-29,"KIRP"
"TMEM252",0.568238056961027,5.14502411298283e-29,"KIRP"
"PRICKLE1",0.557167381769096,9.78808788169492e-28,"KIRP"
"FGFBP2",0.546834845479618,1.38777516162987e-26,"KIRP"
"LAMC2",0.540721404431878,6.38457049552037e-26,"KIRP"
"MAMLD1",0.529801759839862,9.03438470939972e-25,"KIRP"
"SYT12",0.52179397298612,5.93823951050511e-24,"KIRP"
"PROM1",0.519048970109684,1.11950369272553e-23,"KIRP"
"SCARA3",0.516656730820547,1.93631757087591e-23,"KIRP"
"LAMC1",0.507474549288239,1.52428726061426e-22,"KIRP"
"NOTCH2",0.507096499265101,1.65723014878106e-22,"KIRP"
"EDAR",0.501420409137713,5.7443389438896e-22,"KIRP"
"CAMSAP1",0.500954566458669,6.35478549300373e-22,"KIRP"
"NPHP4",0.500431920760172,7.11590402991336e-22,"KIRP"
"ETV1",0.500238354874561,7.42000255383287e-22,"KIRP"
"TRRAP",0.499175790348859,9.33174798251788e-22,"KIRP"
"C4A",0.497539116885523,1.3262818552534e-21,"KIRP"
"PITPNA",0.495686796423591,1.96987038303127e-21,"KIRP"
"VCAN",0.494023768083466,2.80411055744777e-21,"KIRP"
"GPC4",0.493680442391233,3.01544260621699e-21,"KIRP"
"MYADM",0.492053919116931,4.24978218116211e-21,"KIRP"
"FUT8",0.490738668306334,5.60124438199547e-21,"KIRP"
"EPHA2",0.490481352110651,5.911325032193e-21,"KIRP"
"TMED10",0.490328030834193,6.10405556414416e-21,"KIRP"
"ARF6",0.488837555707643,8.33117724096862e-21,"KIRP"
"PPL",0.487682749113177,1.05905412389511e-20,"KIRP"
"CAMK1D",0.48706732712544,1.20307839505144e-20,"KIRP"
"DDR1",0.486725960241618,1.29110637476066e-20,"KIRP"
"SEL1L3",0.486096292374535,1.47041813129418e-20,"KIRP"
"H6PD",0.485899165019088,1.53143466520193e-20,"KIRP"
"SCEL",0.484736624880236,1.94536399409917e-20,"KIRP"
"NFKB1",0.483377110154413,2.5704353214866e-20,"KIRP"
"MET",0.482165141969073,3.29174474422641e-20,"KIRP"
"SLC34A2",0.481995437931367,3.4074804322443e-20,"KIRP"
"EREG",0.480028011323336,5.07935185121978e-20,"KIRP"
"SMURF1",0.479939935615266,5.17063227316521e-20,"KIRP"
"CLDN1",0.479709864663832,5.41675731588032e-20,"KIRP"
"WDR82",0.479676564920861,5.45332251192395e-20,"KIRP"
"TNFRSF11B",0.476716449266304,9.88824919864843e-20,"KIRP"
"GNE",0.476217665415711,1.09250565566406e-19,"KIRP"
"AGRN",0.475701252289427,1.21111124263639e-19,"KIRP"
"ATP13A4",0.474942303067282,1.40873397031366e-19,"KIRP"
"ANXA1",0.474549829091306,1.52304187604341e-19,"KIRP"
"ZHX2",0.473778414724733,1.77493441516745e-19,"KIRP"
"PKD2",0.473114200600237,2.02432934938354e-19,"KIRP"
"TES",0.471929121512162,2.55768911069766e-19,"KIRP"
"OSBPL10",0.471862522026221,2.59145654022697e-19,"KIRP"
"ADAMTS1",0.468074898855167,5.43822664042605e-19,"KIRP"
"CITED2",0.468010080104144,5.50720950386236e-19,"KIRP"
"MYO1D",0.465547501785738,8.87259141165563e-19,"KIRP"
"PBX2",0.465222339589671,9.44656646395826e-19,"KIRP"
"IQCH",0.464403735747765,1.10581239474423e-18,"KIRP"
"TFPI",0.463283831557697,1.37078854243654e-18,"KIRP"
"ITGB8",0.460894263370938,2.16213020991812e-18,"KIRP"
"SLPI",0.460755544120809,2.21984899176014e-18,"KIRP"
"FIBIN",0.460711025747853,2.23869129989507e-18,"KIRP"
"KAZN",0.460433587247594,2.35970891507374e-18,"KIRP"
"RNF144B",0.45952612473327,2.80219866629255e-18,"KIRP"
"HRH1",0.459219482180352,2.96941334592077e-18,"KIRP"
"TJP2",0.459125281303178,3.02272301525924e-18,"KIRP"
"AXIN2",0.458700932172167,3.27476326309037e-18,"KIRP"
"CYFIP1",0.457361641440173,4.21344259868975e-18,"KIRP"
"TRPM8",0.457142788952043,4.39013333600802e-18,"KIRP"
"DNAL1",0.456932128177899,4.56707832660311e-18,"KIRP"
"PTPN12",0.45692732019362,4.57119751791724e-18,"KIRP"
"KLF4",0.456695468507267,4.77422598610593e-18,"KIRP"
"BMP1",0.456541791083825,4.91365401310138e-18,"KIRP"
"FAM222B",0.456322226468409,5.11982521200678e-18,"KIRP"
"UBASH3B",0.456134180861045,5.30313866163371e-18,"KIRP"
"JAK1",0.455730666328576,5.71853634144288e-18,"KIRP"
"ARHGAP29",0.45559426203384,5.86606066847567e-18,"KIRP"
"MINK1",0.455230101743064,6.27846915987253e-18,"KIRP"
"TMEM43",0.45522671834672,6.28243132816484e-18,"KIRP"
"ODF2",0.455198760808504,6.31526549759737e-18,"KIRP"
"NRP1",0.453732859823825,8.29473251393009e-18,"KIRP"
"PLEKHA4",0.453114054439744,9.30286364782368e-18,"KIRP"
"COX7B",-0.452661391623532,1.01156144433472e-17,"KIRP"
"TTLL5",0.452022285861383,1.13830404748384e-17,"KIRP"
"C1RL",0.45146776500785,1.26081732806375e-17,"KIRP"
"TMTC2",0.450643640887698,1.4671710075318e-17,"KIRP"
"FAT1",0.450516496414537,1.5018300606352e-17,"KIRP"
"ESYT2",0.450356408345389,1.54661476126352e-17,"KIRP"
"RFX2",0.449739561769717,1.73177356814199e-17,"KIRP"
"ANTXR1",0.449672606136792,1.75313618040529e-17,"KIRP"
"SIPA1L1",0.449621320971148,1.76967385905529e-17,"KIRP"
"AK7",0.448797196850995,2.05742278098087e-17,"KIRP"
"SMURF2",0.448573714618759,2.14306876691748e-17,"KIRP"
"DCBLD2",0.447628856671151,2.54553562341391e-17,"KIRP"
"DNAH9",0.447276627304328,2.71383192776989e-17,"KIRP"
"PTGER2",0.446802773742589,2.95758023778284e-17,"KIRP"
"TPBG",0.446563442969581,3.08873549624262e-17,"KIRP"
"EPB41L2",0.446559347279269,3.09102894797828e-17,"KIRP"
"AHR",0.446104547581155,3.35638129153873e-17,"KIRP"
"PMP22",0.445019545795484,4.08306805116987e-17,"KIRP"
"SAMD13",0.444283924200767,4.66145437209492e-17,"KIRP"
"SHROOM3",0.44295887934812,5.9129706329965e-17,"KIRP"
"DDX31",0.442668263409467,6.22871414871736e-17,"KIRP"
"SPON1",0.441392722987546,7.82175931825119e-17,"KIRP"
"PER2",0.440672593786618,8.89119980250385e-17,"KIRP"
"EHMT1",0.440026365084796,9.97223528027828e-17,"KIRP"
"TMEM107",0.439447626236374,1.10491884060318e-16,"KIRP"
"NBPF26",0.439069220066253,1.18142290653431e-16,"KIRP"
"ABI3BP",0.438952047708634,1.20614918139796e-16,"KIRP"
"GALNT7",0.438375445742114,1.33541955371447e-16,"KIRP"
"PTGFRN",0.438089103567264,1.40457409102797e-16,"KIRP"
"TNFSF10",0.437332825447497,1.60456715956287e-16,"KIRP"
"TMEM71",0.437194818491335,1.64396365480126e-16,"KIRP"
"SCIN",0.436139733052289,1.97820105950848e-16,"KIRP"
"PLXNB2",0.435985165261388,2.0324608471612e-16,"KIRP"
"FAHD2B",-0.435777887716907,2.1075216856451e-16,"KIRP"
"EBP",-0.435463231856858,2.22669335061674e-16,"KIRP"
"CHST15",0.435074319350718,2.38315341335103e-16,"KIRP"
"SOX9",0.434949845979935,2.43547083953973e-16,"KIRP"
"SRRM1",0.434866685659254,2.4710501298213e-16,"KIRP"
"CFAP54",0.434245209172795,2.75358136784976e-16,"KIRP"
"MACC1",0.433662374634062,3.04721655198518e-16,"KIRP"
"AHNAK",0.433375320165245,3.20291567690213e-16,"KIRP"
"CLU",0.432265744237702,3.88157659350542e-16,"KIRP"
"PPT2",0.432186679607333,3.93499111762126e-16,"KIRP"
"COX5B",-0.431170414189505,4.68920928994475e-16,"KIRP"
"CDH2",0.431059652477592,4.77952033919665e-16,"KIRP"
"KCND3",0.429940994801966,5.79278272238224e-16,"KIRP"
"SFXN4",-0.42944292324534,6.30909152011995e-16,"KIRP"
"CTTNBP2NL",0.428906387814481,6.91578698895161e-16,"KIRP"
"ATF7",0.428294349223088,7.67788055558717e-16,"KIRP"
"OSMR",0.428275829579939,7.70218005544116e-16,"KIRP"
"CCL28",0.428044155967079,8.01260435801536e-16,"KIRP"
"ARHGAP26",0.427973816937809,8.10925761205504e-16,"KIRP"
"CPA3",0.427933216181673,8.16556677419149e-16,"KIRP"
"TGM2",0.427336135763594,9.03930744382785e-16,"KIRP"
"TLE4",0.427035725782891,9.51294178528632e-16,"KIRP"
"DNALI1",0.426955592711571,9.64333927973482e-16,"KIRP"
"SESTD1",0.426654292363408,1.01495038894716e-15,"KIRP"
"SASH1",0.426457343081453,1.04943497830324e-15,"KIRP"
"GSE1",0.426385401390757,1.06231583614633e-15,"KIRP"
"FAS",0.426292268954534,1.07922124424239e-15,"KIRP"
"EVA1C",0.426111880507318,1.11271894226567e-15,"KIRP"
"TPM1",0.425925615634873,1.14837731978126e-15,"KIRP"
"LTBP3",0.425466186025972,1.24118898260148e-15,"KIRP"
"SPEN",0.424974168968068,1.34874051271549e-15,"KIRP"
"CELSR2",0.424800903460525,1.3887490893375e-15,"KIRP"
"TINF2",0.424152003656326,1.54919025430629e-15,"KIRP"
"SVIL",0.423693286341392,1.67343251200493e-15,"KIRP"
"RHPN2",0.423656603202077,1.68377957560074e-15,"KIRP"
"GTF2I",0.422689664141484,1.98030670403058e-15,"KIRP"
"FLII",0.422666158440563,1.98811807899843e-15,"KIRP"
"SCRN1",0.422512659090612,2.03987645631992e-15,"KIRP"
"MDFIC",0.422452292176885,2.06059139790802e-15,"KIRP"
"PAPSS1",0.422222221225451,2.14144772190549e-15,"KIRP"
"BBS9",0.422109500705128,2.18218931597381e-15,"KIRP"
"PHF12",0.421847020378182,2.28002696200995e-15,"KIRP"
"ZNF860",0.420932434924184,2.6557041195522e-15,"KIRP"
"CNKSR3",0.420567562339441,2.8219533751911e-15,"KIRP"
"DSC2",0.420465348155135,2.87032682507044e-15,"KIRP"
"EMP1",0.420437568690411,2.88361345253183e-15,"KIRP"
"ACTN1",0.420297068705363,2.95174194415157e-15,"KIRP"
"ZBTB12",0.42012077594846,3.03946097877025e-15,"KIRP"
"KLF13",0.420082490147718,3.05884603751356e-15,"KIRP"
"ZNF462",0.420002357076398,3.09981242135875e-15,"KIRP"
"PDIA4",0.419799887516196,3.20573136949815e-15,"KIRP"
"KCNS1",0.419798153719028,3.20665352198053e-15,"KIRP"
"HGSNAT",0.419620033289456,3.30278840560681e-15,"KIRP"
"ZBED4",0.419056786834823,3.62574569596078e-15,"KIRP"
"CHST9",0.418729309683363,3.8275356174497e-15,"KIRP"
"KITLG",0.418551236191541,3.94184087268282e-15,"KIRP"
"ARPIN",0.418524881314751,3.95903975747035e-15,"KIRP"
"PERP",0.418508320480012,3.96988476182744e-15,"KIRP"
"NR1I3",-0.418291248893481,4.11475594706868e-15,"KIRP"
"CBFB",0.418033398477322,4.29358349208114e-15,"KIRP"
"ANKRD42",0.417482261020133,4.70172942190233e-15,"KIRP"
"DAPK1",0.417431153927981,4.74144850634701e-15,"KIRP"
"PLSCR1",0.417401415654846,4.76471141590359e-15,"KIRP"
"TM9SF1",0.41721408234145,4.91384603873019e-15,"KIRP"
"MTAP",0.4171280728449,4.98384031916843e-15,"KIRP"
"STPG1",0.417118991096817,4.99128779048959e-15,"KIRP"
"PON2",0.416483446804504,5.54045846558914e-15,"KIRP"
"ZNF474",0.41648251861288,5.54130226949206e-15,"KIRP"
"TNRC18",0.415845053336322,6.15156441244306e-15,"KIRP"
"BTBD7",0.415749427871214,6.2486145641245e-15,"KIRP"
"SIGLEC6",0.415494493432164,6.51473629920684e-15,"KIRP"
"FGFBP1",0.415247254151238,6.78341707613678e-15,"KIRP"
"LAMA3",0.415216631983682,6.81744122285475e-15,"KIRP"
"BAZ1B",0.415121362665558,6.92436714949917e-15,"KIRP"
"NECAB3",-0.415002765720004,7.05977249853446e-15,"KIRP"
"APP",0.414817925435493,7.27599721413834e-15,"KIRP"
"ZC3H18",0.414618305051161,7.51679875519894e-15,"KIRP"
"SKI",0.414539240420792,7.61431748136378e-15,"KIRP"
"TRIOBP",0.414534610510004,7.62006628867343e-15,"KIRP"
"SSPN",0.413996472417718,8.31804176723036e-15,"KIRP"
"COPG2",0.413683419219095,8.75249489373123e-15,"KIRP"
"SPP1",0.413513002887422,8.99826083395314e-15,"KIRP"
"TC2N",0.413285068817889,9.33756812242761e-15,"KIRP"
"EHBP1L1",0.413222208875276,9.43332667947602e-15,"KIRP"
"SPTLC3",0.412969344516889,9.82834243875955e-15,"KIRP"
"CDC42BPG",0.412890457960012,9.95485893619067e-15,"KIRP"
"RCBTB2",0.412705617675501,1.02575819328302e-14,"KIRP"
"GNAI1",0.412553720986977,1.05130845858072e-14,"KIRP"
"SMPDL3B",0.412343772340118,1.0876522766208e-14,"KIRP"
"CLSTN1",0.412295870570818,1.09611529793654e-14,"KIRP"
"WFDC12",0.412065144316685,1.13779065028149e-14,"KIRP"
"MDC1",0.411771087990419,1.1931599981793e-14,"KIRP"
"SNIP1",0.411738144394432,1.19952510997834e-14,"KIRP"
"CYB5R3",0.411608506892385,1.22489717089644e-14,"KIRP"
"BNIP2",0.41150629270808,1.2452719371589e-14,"KIRP"
"BICD2",0.411453226807517,1.25598028446709e-14,"KIRP"
"MAML2",0.411394462555216,1.2679437569528e-14,"KIRP"
"MAP3K1",0.411098148264824,1.32998944515288e-14,"KIRP"
"ETV6",0.411008755371929,1.34928452485221e-14,"KIRP"
"CD59",0.410986140038468,1.35420923462465e-14,"KIRP"
"HIP1",0.410890870720343,1.37514902652787e-14,"KIRP"
"BRD1",0.410585474681868,1.44443376348272e-14,"KIRP"
