"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.800381543919952,5.8030055466162e-41,"LAML"
"GHR",0.663209966290525,6.37994476717653e-24,"LAML"
"LAMA4",0.660972657240751,1.01823312506186e-23,"LAML"
"SNAI2",0.658492929570645,1.70159822217951e-23,"LAML"
"PCDH18",0.655542916338665,3.11483545558946e-23,"LAML"
"SVEP1",0.655124485029474,3.39189217720779e-23,"LAML"
"CHL1",0.653354726308651,4.8564328639112e-23,"LAML"
"C7",0.65077898842823,8.15325253004578e-23,"LAML"
"CXCL12",0.6502587035602,9.04728910968033e-23,"LAML"
"NTRK2",0.644208116751309,2.98961077872366e-22,"LAML"
"SPARCL1",0.642005847107126,4.58849349951319e-22,"LAML"
"COL1A2",0.640250321533551,6.44021531681294e-22,"LAML"
"ITIH5",0.639964560729295,6.80418331524232e-22,"LAML"
"FMO2",0.639059397977894,8.09538393464458e-22,"LAML"
"MXRA5",0.637641380554682,1.06157309942289e-21,"LAML"
"FRZB",0.632375366984454,2.86927244417385e-21,"LAML"
"VGLL3",0.631407777209568,3.43728898393197e-21,"LAML"
"CDH11",0.628776292622069,5.59968865757669e-21,"LAML"
"TENM2",0.62371310139891,1.41360666384369e-20,"LAML"
"SLC22A3",0.621703480171598,2.03201360121065e-20,"LAML"
"BMP5",0.613998081839525,7.97616696398413e-20,"LAML"
"NLGN4X",0.613662934653407,8.45777667999532e-20,"LAML"
"TJP1",0.613495791140056,8.70849696843277e-20,"LAML"
"YAP1",0.613014407256115,9.47197410989332e-20,"LAML"
"VCAM1",0.611319141174725,1.27196814487245e-19,"LAML"
"EGFR",0.611038834531169,1.33528055983422e-19,"LAML"
"PDGFRA",0.608318172467444,2.13427711501135e-19,"LAML"
"COL3A1",0.60803321658232,2.24114841142512e-19,"LAML"
"FMO3",0.606382830030886,2.97133560367969e-19,"LAML"
"TMEM132C",0.605029585071546,3.73982591684615e-19,"LAML"
"GFRA1",0.602896598383526,5.36231847758265e-19,"LAML"
"ESM1",0.602096141531031,6.13454371328208e-19,"LAML"
"DCN",0.601001733692806,7.3689316221216e-19,"LAML"
"ZFHX4",0.600072709111336,8.60509873913568e-19,"LAML"
"SEMA6D",0.599799758695795,9.00538716401892e-19,"LAML"
"EGFLAM",0.599321771467495,9.75072627730983e-19,"LAML"
"LTBP2",0.597311196460325,1.36041790828194e-18,"LAML"
"CALD1",0.595310450789108,1.89059801470912e-18,"LAML"
"C1QTNF1",0.595073292182706,1.96550999221685e-18,"LAML"
"NR2F1",0.5950359476527,1.97756789623067e-18,"LAML"
"IGFBP3",0.59406768236967,2.31675266133805e-18,"LAML"
"PAPPA",0.589847655540091,4.59017980132132e-18,"LAML"
"CCBE1",0.589843594624374,4.59317899127801e-18,"LAML"
"EPB41L4B",0.589187092099255,5.10411692490127e-18,"LAML"
"INS-IGF2",0.588577276979341,5.62830231176065e-18,"LAML"
"BGN",0.58801457783612,6.15849769620828e-18,"LAML"
"APOB",0.585132406542256,9.73980092461427e-18,"LAML"
"ABCA8",0.584868434278214,1.01551083202295e-17,"LAML"
"TRABD2B",0.582485513207326,1.4779036298509e-17,"LAML"
"LIFR",0.579168576282116,2.47901834659211e-17,"LAML"
"FABP4",0.578656263126911,2.68379135214846e-17,"LAML"
"GPX8",0.577062446096607,3.43240156998535e-17,"LAML"
"IGF2",0.576260820109057,3.88257646183015e-17,"LAML"
"ISLR",0.574564645338722,5.03370411803804e-17,"LAML"
"SIX1",0.572210059669113,7.20037371426381e-17,"LAML"
"SIX2",0.572158744271975,7.25653754765203e-17,"LAML"
"LBP",0.57204305497524,7.38473327846503e-17,"LAML"
"GPR182",0.571678147743022,7.80376397788711e-17,"LAML"
"ID4",0.570282445822889,9.63183839506678e-17,"LAML"
"CPN2",0.570118939729504,9.87163324304006e-17,"LAML"
"CADPS2",0.569691987420358,1.05256433461097e-16,"LAML"
"PLEKHS1",0.56948971339561,1.08500928556542e-16,"LAML"
"ANGPTL2",0.568930590793251,1.17986350361446e-16,"LAML"
"SLC6A1",0.568843241986685,1.1953961993583e-16,"LAML"
"SOX9",0.567987219514685,1.3585901497647e-16,"LAML"
"CDH5",0.56772089570437,1.41366515874613e-16,"LAML"
"SMOC2",0.567360200970931,1.49174725946537e-16,"LAML"
"COL1A1",0.56690512553965,1.59629404005959e-16,"LAML"
"FNDC1",0.566638910647609,1.66073751138092e-16,"LAML"
"LDB2",0.566577222400468,1.67602957857367e-16,"LAML"
"PARVA",0.566082513052735,1.80374376841151e-16,"LAML"
"LUM",0.564603908584338,2.24482048150216e-16,"LAML"
"BCAR1",0.563836908268025,2.51349795629251e-16,"LAML"
