"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.936279622983402,5.60242438972291e-243,"LGG"
"CNN3",0.722120093546433,7.23094505638369e-87,"LGG"
"SH3GLB1",0.70791351035661,4.4957709122334e-82,"LGG"
"GLIS3",0.689773985778037,2.34048757989585e-76,"LGG"
"TMED5",0.680377740259461,1.47078285607504e-73,"LGG"
"DOCK7",0.677394401623548,1.0818742167919e-72,"LGG"
"MOB1A",0.671396323303915,5.57022074083374e-71,"LGG"
"CLIC4",0.67048115012634,1.0081032980709e-70,"LGG"
"WLS",0.65067195054383,2.30197921714576e-65,"LGG"
"CCDC18",0.649151390667929,5.7136412758665e-65,"LGG"
"SELENON",0.648332413086046,9.3030008784047e-65,"LGG"
"ZMPSTE24",0.647856615483492,1.23401295131261e-64,"LGG"
"PALLD",0.646809223173146,2.29426846752217e-64,"LGG"
"REST",0.642469104238092,2.92044844817737e-63,"LGG"
"PARP9",0.641521493937528,5.06169100400317e-63,"LGG"
"CAP1",0.637323078208057,5.65513347760061e-62,"LGG"
"SAMD9L",0.635327916200966,1.75733393441323e-61,"LGG"
"ANO6",0.634863116934954,2.28585085560915e-61,"LGG"
"ELK3",0.634832194075692,2.32615253240679e-61,"LGG"
"SH3PXD2B",0.633853262425413,4.04091087362383e-61,"LGG"
"TMOD3",0.6333902165174,5.24355647887358e-61,"LGG"
"NEK6",0.633070308380607,6.27601453546272e-61,"LGG"
"GNAI3",0.632874410473224,7.00548092476007e-61,"LGG"
"IQGAP1",0.632025386711079,1.12721664078524e-60,"LGG"
"SERP2",-0.629801092692707,3.89171630889402e-60,"LGG"
"SPATA21",0.62636363433496,2.5894990659651e-59,"LGG"
"HK2",0.625357206843326,4.49004998910608e-59,"LGG"
"TGIF1",0.625202034660383,4.88683979344496e-59,"LGG"
"FYCO1",0.623998593488094,9.40912099724199e-59,"LGG"
"FPGT",0.621982231788829,2.80211556797538e-58,"LGG"
"RREB1",0.621895839058315,2.93572249071271e-58,"LGG"
"LRRC42",0.621825943832613,3.04843133609075e-58,"LGG"
"GNG12",0.618468183565746,1.84173594536207e-57,"LGG"
"SLC30A7",0.618204064092569,2.11968617050679e-57,"LGG"
"ITPRIPL2",0.61681763610362,4.42340731142227e-57,"LGG"
"GALNT2",0.616451901564571,5.36748253259046e-57,"LGG"
"CCNI2",-0.61618913695894,6.16684077137132e-57,"LGG"
"PARP14",0.615614912214149,8.3487660286174e-57,"LGG"
"SLC35D1",0.614462238725751,1.53070639253023e-56,"LGG"
"STK40",0.613709012068843,2.27164864174543e-56,"LGG"
"VCAM1",0.613157341883772,3.0312306539777e-56,"LGG"
"DCLRE1B",0.613125064156965,3.08277065779222e-56,"LGG"
"S100PBP",0.612673654170221,3.90171373650419e-56,"LGG"
"C3",0.612208775206117,4.97106939553602e-56,"LGG"
"STAT3",0.611311055910444,7.9267422631124e-56,"LGG"
