"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.594539162267291,7.01840042348614e-42,"LIHC"
"VCL",0.543506689045674,5.85289660820553e-34,"LIHC"
"CEP170",0.53870238847504,2.78527623077293e-33,"LIHC"
"CTTNBP2NL",0.536615570831227,5.44217800326903e-33,"LIHC"
"SLC4A7",0.531645944697387,2.63290683363746e-32,"LIHC"
"COL6A3",0.530686502357927,3.55889795946971e-32,"LIHC"
"MYOF",0.528040234089679,8.13092710606656e-32,"LIHC"
"NDE1",0.527113873159121,1.08394297104888e-31,"LIHC"
"PPP1R12A",0.52567646149794,1.69043557702535e-31,"LIHC"
"PGM2L1",0.523092444944966,3.73790713218954e-31,"LIHC"
"IQGAP1",0.521143575146648,6.7701763861457e-31,"LIHC"
"SLC37A3",0.519108661092664,1.25368118863983e-30,"LIHC"
"ITGB1",0.51660962953842,2.65671509776362e-30,"LIHC"
"LIMS3",0.51393476076011,5.89486609283778e-30,"LIHC"
"CSRNP2",0.51306331880039,7.63095166096144e-30,"LIHC"
"COL12A1",0.511329559641238,1.27249389181406e-29,"LIHC"
"CALU",0.511290041209422,1.28736824162857e-29,"LIHC"
"ALDH1L2",0.510955478980477,1.42038113691693e-29,"LIHC"
"PTPN12",0.5101786362404,1.78392198400486e-29,"LIHC"
"ATP7A",0.508544284270559,2.87585547645095e-29,"LIHC"
"SPICE1",0.508255351571135,3.12834644048405e-29,"LIHC"
"BAZ1A",0.506042645314628,5.94363395088737e-29,"LIHC"
"PRPF38B",0.505681275737091,6.59752529768301e-29,"LIHC"
"MED14",0.504143153185755,1.02734047375739e-28,"LIHC"
"ZNF532",0.503680257905036,1.17329148813913e-28,"LIHC"
"FLNA",0.503173362720851,1.35668880637545e-28,"LIHC"
"CSGALNACT2",0.502798141321852,1.51043538392879e-28,"LIHC"
"WDR47",0.501232885496713,2.36029710793473e-28,"LIHC"
"PRR16",0.499794573421651,3.55000124588654e-28,"LIHC"
"CBL",0.499557792875515,3.79602918757204e-28,"LIHC"
"COL4A1",0.497899811327887,6.05989828782016e-28,"LIHC"
"RUNX1",0.497550989870967,6.68438976826491e-28,"LIHC"
"SNTB2",0.496757524945136,8.35167897754983e-28,"LIHC"
"ZMIZ1",0.496197992839398,9.76834291629575e-28,"LIHC"
"PTPRE",0.495369653916006,1.23120034373566e-27,"LIHC"
"LOXL2",0.495083654543479,1.33342095340954e-27,"LIHC"
"NAV1",0.494347389492154,1.63677635614036e-27,"LIHC"
"DDX3X",0.493079703384526,2.32680938189251e-27,"LIHC"
"JAG1",0.492829718747799,2.49351369506816e-27,"LIHC"
"RALGDS",0.49272346712906,2.56789287392453e-27,"LIHC"
"TOP1",0.491855528292549,3.26350745333727e-27,"LIHC"
"SUSD6",0.491759380355346,3.35119027922779e-27,"LIHC"
"MAML2",0.491548343781316,3.55189088478534e-27,"LIHC"
"PEAK1",0.49093364883364,4.20665664594253e-27,"LIHC"
"NHS",0.490828027642373,4.33059442491496e-27,"LIHC"
