"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.888307448034336,2.94869892179664e-204,"LUAD"
"PLAU",0.590081622585809,1.45236773630691e-57,"LUAD"
"TGFBI",0.582705978694048,7.57601672318235e-56,"LUAD"
"DCBLD2",0.563954395353652,1.1315373563487e-51,"LUAD"
"SRPX2",0.546041871297964,6.30045751291773e-48,"LUAD"
"ITGB3",0.545098478216216,9.78205292079313e-48,"LUAD"
"ELK3",0.541427739679595,5.34679291435684e-47,"LUAD"
"CCDC71L",0.527201565341023,3.18211182033525e-44,"LUAD"
"KCNQ5",0.52168104080535,3.50279199821326e-43,"LUAD"
"BEND6",0.518588638172445,1.31712548367196e-42,"LUAD"
"COL1A1",0.516635796159812,3.01882493336869e-42,"LUAD"
"PLAT",0.516473517660796,3.23344828173539e-42,"LUAD"
"CMTM3",0.514414119619024,7.70558431291366e-42,"LUAD"
"FAP",0.512521444540465,1.70273521771209e-41,"LUAD"
"GNA12",0.510887548389814,3.36259237633196e-41,"LUAD"
"CDH3",0.509908488482879,5.04654038225931e-41,"LUAD"
"LOXL2",0.50777942346481,1.21464458841014e-40,"LUAD"
"COL6A3",0.506934030818619,1.71858027441241e-40,"LUAD"
"VDR",0.503688627505711,6.45464492382998e-40,"LUAD"
"PCDH7",0.50305934693113,8.32901678281999e-40,"LUAD"
"PPP1R18",0.499154274019689,4.00458889395842e-39,"LUAD"
"GADD45A",0.498276381229053,5.68408143555531e-39,"LUAD"
"DPY19L1",0.494451697563787,2.58340447055847e-38,"LUAD"
"COL1A2",0.492736245495109,5.06314671766178e-38,"LUAD"
"STK17A",0.492669911866959,5.1962166612376e-38,"LUAD"
"COL3A1",0.49166351850521,7.69697714717658e-38,"LUAD"
"ITGA2",0.490422068543208,1.24746040129957e-37,"LUAD"
"SLC16A2",0.489846121538998,1.5596404896537e-37,"LUAD"
"FRMD6",0.489322563656518,1.91002563911783e-37,"LUAD"
"OSMR",0.487403055125366,4.00338040094797e-37,"LUAD"
"FLNA",0.48661082938214,5.42598074419603e-37,"LUAD"
"CDH11",0.48629710576559,6.11893105203452e-37,"LUAD"
"IFI16",0.485904381797927,7.11116539858991e-37,"LUAD"
"ADAM12",0.485272601212235,9.05224788051605e-37,"LUAD"
"FN1",0.484170207423817,1.37761056004445e-36,"LUAD"
"NCS1",0.48404231796653,1.44624009342966e-36,"LUAD"
"COL5A1",0.48024857888324,6.06081448481201e-36,"LUAD"
"CLEC5A",0.479008017814078,9.64575390689806e-36,"LUAD"
"MMD",0.478962684279262,9.81058840508791e-36,"LUAD"
"FXYD4",-0.476482866261782,2.46924577135124e-35,"LUAD"
"VCAN",0.476425284113036,2.52251463491018e-35,"LUAD"
"SULF1",0.476222783213031,2.71905253898809e-35,"LUAD"
"LIMK1",0.476192005298463,2.7502241314e-35,"LUAD"
"COL6A2",0.476070393646855,2.87689396513087e-35,"LUAD"
"CILP",0.474668609638924,4.82805054858391e-35,"LUAD"
"PDLIM4",0.473602604901124,7.1460336939451e-35,"LUAD"
"GPR68",0.472252321122083,1.17196020048134e-34,"LUAD"
"PXDN",0.472169542976402,1.20796071260405e-34,"LUAD"
"MMP14",0.47185620825047,1.35443470709763e-34,"LUAD"
"HIF1A",0.471740485513924,1.41287106357465e-34,"LUAD"
"ADORA1",0.471347872657866,1.63037536759071e-34,"LUAD"
"ACTBL2",0.471064745837041,1.80751295500173e-34,"LUAD"
"MMP2",0.469320808093132,3.40463123979196e-34,"LUAD"
"GPR84",0.467203576460989,7.30800202770072e-34,"LUAD"
"FHOD3",0.465842737079478,1.19067614552952e-33,"LUAD"
"SPATS2L",0.465834237041701,1.19430380722334e-33,"LUAD"
"ITGAV",0.463328670350289,2.91704083040385e-33,"LUAD"
"IL1RAP",0.462412055165332,4.03665414610925e-33,"LUAD"
"ACTB",0.461862663834703,4.90202295724777e-33,"LUAD"
"POSTN",0.460763492282828,7.22243026668199e-33,"LUAD"
"ADAMTS12",0.458785872382292,1.44532405840714e-32,"LUAD"
"COL5A2",0.458136369495612,1.81336406273559e-32,"LUAD"
"THBS2",0.457393810639794,2.34888018099487e-32,"LUAD"
"ANGPTL2",0.455976026560751,3.84288225695105e-32,"LUAD"
"SLFN5",0.455855692692601,4.00642298117326e-32,"LUAD"
"IDS",0.454201907564664,7.09214513728039e-32,"LUAD"
"FBXO32",0.453130625025629,1.0249818528636e-31,"LUAD"
"CHST3",0.451854230463874,1.58685666129811e-31,"LUAD"
"MICAL2",0.451580840359918,1.74217253025352e-31,"LUAD"
"NETO1",0.451311295357597,1.91002171989553e-31,"LUAD"
"MXRA5",0.450477446567055,2.53741063522557e-31,"LUAD"
"SMIM3",0.449950277557414,3.03528793110045e-31,"LUAD"
"PRRX1",0.449049884666778,4.11890778304368e-31,"LUAD"
"SYT12",0.44838199280948,5.16265642907285e-31,"LUAD"
"ZFP36L1",0.448269492309477,5.36258813400905e-31,"LUAD"
"IL27RA",0.446294427975855,1.04248481155717e-30,"LUAD"
"PIP4K2A",0.446173038547458,1.08580439458443e-30,"LUAD"
"MDFIC",0.445930704137082,1.17768535218098e-30,"LUAD"
"GXYLT2",0.443992584412103,2.24983641761639e-30,"LUAD"
"COL6A1",0.443370748315053,2.76671679252032e-30,"LUAD"
"CCDC80",0.442845745981708,3.29342779335442e-30,"LUAD"
"MMP13",0.442777800625831,3.36847545976652e-30,"LUAD"
"CCM2",0.442346188205895,3.88634242207777e-30,"LUAD"
"ZPLD1",0.441224295178331,5.63069243789051e-30,"LUAD"
"TGM5",0.440461635283225,7.23903839937201e-30,"LUAD"
"PMAIP1",0.439865899404608,8.80490465961289e-30,"LUAD"
"ALDH1A3",0.4389076729236,1.20548668961165e-29,"LUAD"
"HTRA1",0.438456282028529,1.39728007164466e-29,"LUAD"
"EPHB2",0.43635805048083,2.76745244453527e-29,"LUAD"
"LRRC15",0.435265323402042,3.94301117599826e-29,"LUAD"
"C15orf61",-0.43443159747437,5.16128892342009e-29,"LUAD"
"GSTP1",-0.433577982569414,6.79425019372894e-29,"LUAD"
"TNFRSF9",0.433299147996815,7.43129867330443e-29,"LUAD"
"ADAM19",0.433125980560515,7.85632347671924e-29,"LUAD"
"CTHRC1",0.432491088849884,9.63073349192863e-29,"LUAD"
"CSMD2",0.432094587087654,1.09344477507525e-28,"LUAD"
"RNASE2",0.43205237358107,1.10831385763907e-28,"LUAD"
"CD109",0.431359583820972,1.38297251873463e-28,"LUAD"
"BCL10",0.430836748163924,1.6339158881185e-28,"LUAD"
"PLS3",0.430241301073047,1.97491847441825e-28,"LUAD"
"EREG",0.429969379307209,2.1532152578769e-28,"LUAD"
"SFRP2",0.42912679611969,2.81311925676543e-28,"LUAD"
"TSPAN5",0.429086573718701,2.84919565890313e-28,"LUAD"
"PDGFC",0.428825239223881,3.0950004887415e-28,"LUAD"
"SPRED3",0.428583571483135,3.34092476548963e-28,"LUAD"
"MBOAT2",0.427743234414969,4.35635529771222e-28,"LUAD"
"APCDD1L",0.42757505628556,4.59357629347358e-28,"LUAD"
"SMURF2",0.424759721154906,1.11101653253198e-27,"LUAD"
"NOTCH2",0.42472966546577,1.12149135050736e-27,"LUAD"
"COL11A1",0.424710893503314,1.12808313932027e-27,"LUAD"
"CPXM1",0.424705220912683,1.13008260447919e-27,"LUAD"
"MYH9",0.423808605816614,1.49447433917692e-27,"LUAD"
"SAMD4A",0.42341065960352,1.69138812221243e-27,"LUAD"
"PGM2L1",0.423259603376603,1.77267565314718e-27,"LUAD"
"GPX8",0.423253658905739,1.77595236648475e-27,"LUAD"
"EGFR",0.422601156005725,2.17455554927219e-27,"LUAD"
"AFAP1",0.422321376984484,2.37147216007011e-27,"LUAD"
"LOX",0.42191781963534,2.68694756825951e-27,"LUAD"
"NT5E",0.420958815373097,3.61295411106207e-27,"LUAD"
"DCBLD1",0.420946704208159,3.62646857300751e-27,"LUAD"
"PLPP4",0.419884145137115,5.02904700086263e-27,"LUAD"
"LHFPL2",0.419736976609368,5.26154852794595e-27,"LUAD"
"CDC42EP3",0.419277585678741,6.05787412080283e-27,"LUAD"
"CMTM1",0.419059806933057,6.47594094198251e-27,"LUAD"
"GFPT2",0.418024580109826,8.88759535510185e-27,"LUAD"
"ATP11C",0.417328688128082,1.09883486247855e-26,"LUAD"
"BEAN1",0.41715952070956,1.15691264562021e-26,"LUAD"
"GPR87",0.417109252546428,1.17474827755134e-26,"LUAD"
"FMO1",0.417069353642151,1.18909813552067e-26,"LUAD"
"DCLRE1B",0.416392906191273,1.46051726940905e-26,"LUAD"
"MED11",-0.416274072329788,1.51415881979727e-26,"LUAD"
"AMBP",-0.415735518206088,1.78272933249364e-26,"LUAD"
"TPBG",0.415676236339405,1.81502865159839e-26,"LUAD"
"GALNT10",0.414433675261355,2.64225764883464e-26,"LUAD"
"BICD1",0.414404175130243,2.66586958358545e-26,"LUAD"
"CPD",0.414381341695428,2.68428862576681e-26,"LUAD"
"CHSY3",0.413757005587266,3.23969719817787e-26,"LUAD"
"TSHZ3",0.413184003040587,3.84869172735956e-26,"LUAD"
"CLSTN1",0.412615833848724,4.56402757792563e-26,"LUAD"
"AIM2",0.411752496678335,5.90981598139513e-26,"LUAD"
"KLHL5",0.411672996325,6.05190118314591e-26,"LUAD"
"OVOL2",-0.411367328299808,6.63035619108174e-26,"LUAD"
"TENM4",0.411301772452893,6.76136068975861e-26,"LUAD"
"SNAI2",0.410982771035109,7.43627999349206e-26,"LUAD"
"ADAMTS2",0.410838881506711,7.76211024301981e-26,"LUAD"
"ACTN1",0.410641547296336,8.23202505445308e-26,"LUAD"
"NRIP1",0.410014711177064,9.91928966212704e-26,"LUAD"
"MCUB",0.40985721047706,1.03943987805413e-25,"LUAD"
"FNDC3B",0.409295207979271,1.2280440713769e-25,"LUAD"
"KCNK13",0.409162762946181,1.27720205965693e-25,"LUAD"
"MMP3",0.408952435213754,1.3592930097997e-25,"LUAD"
"ISLR",0.408729649910123,1.45193757646644e-25,"LUAD"
"ARF6",0.408648316215306,1.48729284533157e-25,"LUAD"
"DOK5",0.407484088818738,2.097222526464e-25,"LUAD"
"GPC6",0.407147365099966,2.31580128000333e-25,"LUAD"
"SSPN",0.406919586309838,2.47627853257742e-25,"LUAD"
"SERPINH1",0.406861752719466,2.51874398587934e-25,"LUAD"
"CLMP",0.406856308250824,2.52277857420388e-25,"LUAD"
