"gene","spearman_correlation","p_value","cancer_type"
"CLSTN1",0.492854928937435,0,"LUSC"
"PLOD1",0.430536566148089,0,"LUSC"
"PDPN",0.458973584248018,0,"LUSC"
"FBLIM1",0.410586595056771,0,"LUSC"
"IFFO2",0.399609101253618,0,"LUSC"
"COL16A1",0.365944039489516,0,"LUSC"
"P3H1",0.418766247829011,0,"LUSC"
"C1orf210",-0.364851555264403,0,"LUSC"
"COL24A1",0.361086827376423,0,"LUSC"
"COL11A1",0.367026163705738,0,"LUSC"
"PTGFRN",0.41939572480751,0,"LUSC"
"S100A2",0.374808588191917,0,"LUSC"
"LAMC2",0.531938559186731,0,"LUSC"
"LAMB3",0.497301359602153,0,"LUSC"
"COQ8A",-0.401277062684866,0,"LUSC"
"GALNT2",0.420213030166359,0,"LUSC"
"KIF26B",0.400871816035761,0,"LUSC"
"ADAMTS14",0.365484651150117,0,"LUSC"
"PCBD1",-0.365438031110113,0,"LUSC"
"CHST3",0.376363795827783,0,"LUSC"
"PLAU",0.420749621859676,0,"LUSC"
"PCGF5",-0.362739461671231,0,"LUSC"
"ENTPD7",0.371220831962643,0,"LUSC"
"C10orf95",-0.43151047794269,0,"LUSC"
"COL17A1",0.451309377397526,0,"LUSC"
"BBIP1",-0.365901109315692,0,"LUSC"
"PLPP4",0.415019046805385,0,"LUSC"
"ADAM12",0.362616631702819,0,"LUSC"
"DEPDC7",0.362288162653843,0,"LUSC"
"KIAA1549L",0.394186275230524,0,"LUSC"
"P4HA3",0.384980059111656,0,"LUSC"
"SERPINH1",0.478431880670863,0,"LUSC"
"PANX1",0.361681889256898,0,"LUSC"
"MMP10",0.424016217813368,0,"LUSC"
"MMP1",0.451307035751681,0,"LUSC"
"MMP13",0.437595138232321,0,"LUSC"
"PTHLH",0.452369007621844,0,"LUSC"
"LIMA1",0.478771348359415,0,"LUSC"
"PFDN5",-0.366913906623111,0,"LUSC"
"ITGA5",0.365841148990268,0,"LUSC"
"BLOC1S1",-0.402175828935533,0,"LUSC"
"PHLDA1",0.375098881317725,0,"LUSC"
"SYCP3",-0.39653835204332,0,"LUSC"
"CHPT1",-0.372396125299908,0,"LUSC"
"GJB2",0.372754893826939,0,"LUSC"
"POSTN",0.386280949816969,0,"LUSC"
