"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.906865693554672,1.19702952197185e-33,"MESO"
"ITGAV",0.766453423861058,5.07861501985848e-18,"MESO"
"ADAM19",0.74441832078998,1.41374784487453e-16,"MESO"
"LTBP1",0.741392822766987,2.17390790386486e-16,"MESO"
"DACT1",0.740153462131062,2.58846886433295e-16,"MESO"
"VCAN",0.738221517610355,3.39118991243068e-16,"MESO"
"CHSY1",0.723695481921647,2.40176565561147e-15,"MESO"
"CSPG4",0.716660287723602,5.9317599068155e-15,"MESO"
"COL4A1",0.715767219030068,6.64022326392533e-15,"MESO"
"ADAMTS4",0.713835274509362,8.46337806246805e-15,"MESO"
"ITGB3",0.713270271866513,9.08225058146245e-15,"MESO"
"SHROOM4",0.709278801583167,1.48813794108869e-14,"MESO"
"FBN1",0.704758780440382,2.57743188214496e-14,"MESO"
"VCL",0.698489073693938,5.42933509491533e-14,"MESO"
"NID1",0.697158583599489,6.34370058809188e-14,"MESO"
"ARHGAP42",0.696775839873689,6.63315497434707e-14,"MESO"
"PALLD",0.690688392044293,1.33628338857364e-13,"MESO"
"PRDX5",-0.688501285039719,1.7114824039554e-13,"MESO"
"SESTD1",0.687134343161861,1.99556987851966e-13,"MESO"
"PTPRG",0.681484316733379,3.7318181389327e-13,"MESO"
"MRPL53",-0.679679953454606,4.54429264394709e-13,"MESO"
"ELK3",0.679278983837101,4.74672612832228e-13,"MESO"
"MYO1B",0.678677529410843,5.0667584817391e-13,"MESO"
"ERG",0.677839138392424,5.5477592025946e-13,"MESO"
"LRCH1",0.675761386738079,6.93705406250321e-13,"MESO"
"PLAT",0.674613155560678,7.84288185345806e-13,"MESO"
"ITGA2",0.674540251993859,7.90408868421577e-13,"MESO"
"PTHLH",0.672626533364857,9.68577374293302e-13,"MESO"
"GPC6",0.668999580915606,1.41797394939069e-12,"MESO"
"FN1",0.668033608655253,1.56807423945539e-12,"MESO"
"ADAMTS6",0.667085862286604,1.73014835537905e-12,"MESO"
"RHOJ",0.666265697159889,1.88332282316967e-12,"MESO"
"CCDC142",-0.665008110632259,2.14383350915711e-12,"MESO"
"POSTN",0.662857455411096,2.67172356733379e-12,"MESO"
"ATP8B1",0.661763901908809,2.98609040200392e-12,"MESO"
"LRP12",0.661563417100056,3.04746219201869e-12,"MESO"
"RHOBTB3",0.66081615554016,3.28708634131273e-12,"MESO"
"OLFML2A",0.659376310095483,3.80093023378687e-12,"MESO"
"GEM",0.658465015510244,4.16520444102021e-12,"MESO"
"COL6A3",0.655421291595546,5.64164409724902e-12,"MESO"
"ITGA5",0.653908542584049,6.55146303566728e-12,"MESO"
"CALCRL",0.652468697139372,7.54747246359584e-12,"MESO"
"SMTN",0.652268212330619,7.69721389129042e-12,"MESO"
"EBF2",0.647711739404425,1.19822559653927e-11,"MESO"
"PLEKHG1",0.647328995678624,1.24318722934026e-11,"MESO"
"EDNRA",0.645925602017356,1.42233741092059e-11,"MESO"
"CSGALNACT2",0.645506406508146,1.4804983373694e-11,"MESO"
"THBS1",0.644394627114155,1.6460381721399e-11,"MESO"
"HAS2",0.644066561063469,1.69819354244948e-11,"MESO"
"COL15A1",0.643774946796192,1.74588451708003e-11,"MESO"
"TCF4",0.643629139662554,1.77021024104381e-11,"MESO"
"PXDN",0.643629139662554,1.77021024104381e-11,"MESO"
"TMEM219",-0.642881878102658,1.90008168534281e-11,"MESO"
"COL1A1",0.64231687545981,2.00430796019558e-11,"MESO"
"ENAH",0.642207520109581,2.02510579808876e-11,"MESO"
"ARHGAP24",0.641423806766276,2.1803454856197e-11,"MESO"
"COL5A2",0.641205096065818,2.22567013465809e-11,"MESO"
"ALDH3B1",-0.641004611257066,2.26801218159807e-11,"MESO"
"BCL6B",0.640403156830808,2.39973446316831e-11,"MESO"
"S1PR3",0.64029380148058,2.42446091640981e-11,"MESO"
"DECR2",-0.640147994346941,2.4578106501119e-11,"MESO"
"ARHGAP31",0.63781508020873,3.0552903424929e-11,"MESO"
"ECI1",-0.637796854317025,3.06046660459236e-11,"MESO"
"CDKL5",0.637250077565881,3.21973211974883e-11,"MESO"
"COL5A1",0.637231851674177,3.2251757790955e-11,"MESO"
"HECW2",0.636047168713366,3.59862530913022e-11,"MESO"
"NOTCH3",0.635664424987566,3.72791520456459e-11,"MESO"
"FOXC2",0.635463940178813,3.797407700809e-11,"MESO"
"TMEM233",0.63533635893688,3.84227633000223e-11,"MESO"
"BICD1",0.635245229478356,3.87463669506963e-11,"MESO"
"NCALD",0.634570871485279,4.12237383453246e-11,"MESO"
"COL3A1",0.633568447441516,4.5189453728419e-11,"MESO"
"NRP1",0.632165053780248,5.13618534333188e-11,"MESO"
"ZNF385D",0.630925693144323,5.74793517569977e-11,"MESO"
"NDE1",0.630688756552161,5.87259550171165e-11,"MESO"
"DST",0.630451819959999,5.9998498229615e-11,"MESO"
"ADAMTS14",0.629649880724989,6.45050016087079e-11,"MESO"
"CCDC88A",0.628611004897816,7.0827997374461e-11,"MESO"
"TUBA1A",0.628556327222702,7.11767618167416e-11,"MESO"
"HINT2",-0.628374068305654,7.23512578657299e-11,"MESO"
"LOXHD1",0.62835870546772,7.24511034905556e-11,"MESO"
"DNPH1",-0.627699710312578,7.68607928585273e-11,"MESO"
"STAC",0.62751745139553,7.81251656642478e-11,"MESO"
"PHKG2",-0.627335192478482,7.9409492959023e-11,"MESO"
"PSMB8",-0.62709825588632,8.11094464072451e-11,"MESO"
"PRRX1",0.624674212289584,1.00632563609309e-10,"MESO"
"EPHA3",0.624109209646736,1.05792433865219e-10,"MESO"
"TIE1",0.623380173978545,1.12826441763941e-10,"MESO"
"CDH13",0.623307270411726,1.13554025601034e-10,"MESO"
"KALRN",0.622632912418649,1.20501088083019e-10,"MESO"
"FLT1",0.622487105285011,1.22055885733518e-10,"MESO"
"NID2",0.621976780317277,1.27650698843113e-10,"MESO"
