"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.830647647551454,6.68094780636776e-111,"OV"
"ADAM12",0.611937806531085,1.56676475219321e-45,"OV"
"COL5A2",0.584180130818911,1.05047699674811e-40,"OV"
"COL5A1",0.576783472791073,1.70047366200171e-39,"OV"
"LOXL2",0.573397190169776,5.9423243726845e-39,"OV"
"OLFML2B",0.568859328431628,3.1068126571584e-38,"OV"
"ADAMTS12",0.567902773593053,4.3885793658036e-38,"OV"
"VCAN",0.563513217855994,2.11088247164866e-37,"OV"
"ITGA5",0.562633117968617,2.88409716565078e-37,"OV"
"COL6A3",0.559950628456812,7.42427748560204e-37,"OV"
"ADAMTS2",0.559806926357029,7.80813420090549e-37,"OV"
"FN1",0.559700432836654,8.1052183519679e-37,"OV"
"MMP2",0.55841624626743,1.27018746275548e-36,"OV"
"POSTN",0.556509778283969,2.46576617125126e-36,"OV"
"THBS2",0.556476796236907,2.49413196425835e-36,"OV"
"COL1A1",0.554437192484529,5.04704486784282e-36,"OV"
"PRRX1",0.552807335948391,8.83375767164356e-36,"OV"
"COL3A1",0.551998105951611,1.16507475980216e-35,"OV"
"CRISPLD2",0.551601113806203,1.33415335298869e-35,"OV"
"GALNT5",0.551374767904287,1.44120272655532e-35,"OV"
"ADAMTS4",0.549982427391266,2.31394927122834e-35,"OV"
"FAP",0.548897567106457,3.34122016035627e-35,"OV"
"COL4A1",0.546524897510412,7.42732358239985e-35,"OV"
"BHLHE22",0.544232533749258,1.59735043043064e-34,"OV"
"KCNE4",0.544186115646932,1.62221334562068e-34,"OV"
"PLXDC1",0.544086037398869,1.67712904123653e-34,"OV"
"LOX",0.543565343708533,1.99394818832015e-34,"OV"
"FRMD6",0.542314290133954,3.01809186218815e-34,"OV"
"PDGFRB",0.542112171319239,3.22660105019316e-34,"OV"
"ADAM19",0.540379670426113,5.70991830601217e-34,"OV"
"COL5A3",0.539182656086536,8.45394559351682e-34,"OV"
"SNAI2",0.538580148805777,1.02940387817703e-33,"OV"
"C3orf80",0.53822006334461,1.15775845436061e-33,"OV"
"COL6A2",0.536968783348655,1.73970383764946e-33,"OV"
"CD248",0.535157487816783,3.12737094319602e-33,"OV"
"CHSY3",0.534815893434632,3.49173993092048e-33,"OV"
"ETS1",0.53408002396358,4.4255066201278e-33,"OV"
"COL11A1",0.533425137871241,5.4619181530697e-33,"OV"
"LUM",0.531816866839587,9.13937734562564e-33,"OV"
"ALPK2",0.531782744254402,9.23947157288828e-33,"OV"
"KIF26B",0.529829566424997,1.71999783453255e-32,"OV"
"ITGA11",0.529247437068052,2.06835317001597e-32,"OV"
"ANGPTL2",0.528315637633222,2.77658462793606e-32,"OV"
"FBN1",0.526523436970701,4.87946518395298e-32,"OV"
"ECM1",0.525814738064735,6.09252049877425e-32,"OV"
"COL6A6",0.525565953532411,6.58555688377541e-32,"OV"
"GJB2",0.523367802257458,1.30612261334349e-31,"OV"
"TGFBI",0.521917724293632,2.04636063615502e-31,"OV"
"COL1A2",0.520325151810694,3.34244075145518e-31,"OV"
"SPARC",0.520036464556666,3.65232019604134e-31,"OV"
"EDNRA",0.519835855217789,3.88422546487811e-31,"OV"
"SPHK1",0.51795806727525,6.89763820043679e-31,"OV"
"ARSI",0.517046212431048,9.10434098600742e-31,"OV"
"GEM",0.516574632669674,1.05062830625201e-30,"OV"
"GPR4",0.516555537800323,1.05673388253385e-30,"OV"
"INHBA",0.515933029964709,1.27620240617725e-30,"OV"
"NUAK1",0.515413241959876,1.49355417534727e-30,"OV"
"MSC",0.514783564114032,1.80636247201661e-30,"OV"
