"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.86038123212257,7.1346327000506e-55,"PAAD"
"ITGA5",0.666830507434697,6.72896686567679e-25,"PAAD"
"ADAM19",0.647931509630564,3.63498531773588e-23,"PAAD"
"FLNA",0.645718695671527,5.69372774644222e-23,"PAAD"
"MCAM",0.637840686328865,2.73148061744796e-22,"PAAD"
"COL6A1",0.634637001694365,5.10184292301205e-22,"PAAD"
"RAB23",0.6261284382855,2.58895649155334e-21,"PAAD"
"LAMA4",0.624775292758337,3.336675356963e-21,"PAAD"
"IQCJ-SCHIP1",0.622869922862635,4.75951863952914e-21,"PAAD"
"NCS1",0.617858780454514,1.197390114877e-20,"PAAD"
"IGDCC4",0.615081992672288,1.98237062064931e-20,"PAAD"
"BAG2",0.614130286845658,2.3535838808636e-20,"PAAD"
"CLMP",0.613730805387566,2.52897775035551e-20,"PAAD"
"COL6A2",0.613456651445738,2.65669480638626e-20,"PAAD"
"CSRP2",0.612491237922017,3.15880533261139e-20,"PAAD"
"S1PR3",0.611310417729716,3.90058204094218e-20,"PAAD"
"FERMT2",0.607384141634256,7.81605699544785e-20,"PAAD"
"KLHL5",0.605725510286199,1.04533375037295e-19,"PAAD"
"COL6A3",0.604241162515446,1.35404004032961e-19,"PAAD"
"PXDN",0.602690234501678,1.77184085381712e-19,"PAAD"
"ANGPTL2",0.593858561089945,7.9719717849898e-19,"PAAD"
"BNC2",0.59288923108134,9.3764257186176e-19,"PAAD"
"GJA1",0.592342881440127,1.02719631692414e-18,"PAAD"
"CFL2",0.592276301197111,1.0386664499918e-18,"PAAD"
"SACS",0.59200998022505,1.08581438243715e-18,"PAAD"
"CLIC4",0.591800448283796,1.12437587903306e-18,"PAAD"
"CD248",0.591569375675684,1.16845716973077e-18,"PAAD"
"SCHIP1",0.59026322796712,1.45133247621415e-18,"PAAD"
"KCTD10",0.588132660190631,2.06272312553354e-18,"PAAD"
"GJC1",0.586824554239625,2.55637193195146e-18,"PAAD"
"NID1",0.581261187462965,6.29917462067095e-18,"PAAD"
"RFLNB",0.57973767484338,8.03974322451408e-18,"PAAD"
"CNN3",0.579136494413801,8.8491578878554e-18,"PAAD"
"CPXM1",0.577789223613962,1.09636002733908e-17,"PAAD"
"ARHGAP20",0.577538568581434,1.14082202900115e-17,"PAAD"
"RAI14",0.577062715668119,1.23013644493723e-17,"PAAD"
"FSTL1",0.575915185597326,1.47461059516481e-17,"PAAD"
"CAV1",0.574203681703345,1.9298418486358e-17,"PAAD"
"MRGPRF",0.57380028376037,2.05571441570541e-17,"PAAD"
"BICD2",0.573248059391831,2.24112861149339e-17,"PAAD"
"CNN1",0.572809413084907,2.39997706486082e-17,"PAAD"
"FILIP1L",0.571988909501866,2.72721031775006e-17,"PAAD"
"ACTN1",0.570253906698585,3.56938568724312e-17,"PAAD"
"BEND6",0.567827644313411,5.18663903514688e-17,"PAAD"
"DENND5A",0.5671168023071,5.78339017073296e-17,"PAAD"
"COL5A3",0.566204261329303,6.64864146502232e-17,"PAAD"
"ADAM12",0.565761698537495,7.11265033468997e-17,"PAAD"
"IKBIP",0.565734283143313,7.14241324519983e-17,"PAAD"
"ITGB3",0.565377883018937,7.5405914384355e-17,"PAAD"
"GAS1",0.562892873360513,1.09874444580667e-16,"PAAD"
"BMP1",0.562064536807705,1.24477372982873e-16,"PAAD"
"AMOTL1",0.558093221136088,2.25334227134084e-16,"PAAD"
"JPH2",0.557278592280371,2.54257017650458e-16,"PAAD"
"CALD1",0.556930025125762,2.67713322573757e-16,"PAAD"
"MRC2",0.556720493184508,2.76134574774674e-16,"PAAD"
"GLI3",0.556297512817117,2.93930778076191e-16,"PAAD"
"PDLIM3",0.5562779303927,2.9478127123816e-16,"PAAD"
"DCHS1",0.556242682028751,2.96318223741655e-16,"PAAD"
"RHOQ",0.556089939118304,3.03069340280284e-16,"PAAD"
"DNAJB5",0.554909118926004,3.60585700306007e-16,"PAAD"
"ADAMTSL1",0.554352978072582,3.9124467869149e-16,"PAAD"
"PRICKLE2",0.553916290008099,4.17090337650439e-16,"PAAD"
"EMILIN1",0.553356232669795,4.52690255494173e-16,"PAAD"
"PARD6G",0.553044872121576,4.7374852166325e-16,"PAAD"
"COL3A1",0.55259251811756,5.06057575349388e-16,"PAAD"
"VIM",0.552433900479789,5.17888791128833e-16,"PAAD"
"MYLK",0.551305952833412,6.10175393579089e-16,"PAAD"
"DYSF",0.550438451431772,6.9190479296856e-16,"PAAD"
"GLIPR1",0.550074218337629,7.29323831790214e-16,"PAAD"
"VGLL3",0.55006246888298,7.30563239862091e-16,"PAAD"
"FLNC",0.549179301541806,8.2985830868368e-16,"PAAD"
