"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.695291805813769,2.44088771090842e-28,"PCPG"
"COL4A1",0.660569022465134,8.18797136474407e-25,"PCPG"
"SH3GLB1",0.656281508760219,2.0717453355041e-24,"PCPG"
"FN1",0.647311433373711,1.37704121058614e-23,"PCPG"
"ANO1",0.637089912298848,1.10497107325588e-22,"PCPG"
"NOTCH3",0.635033636933067,1.6641993154904e-22,"PCPG"
"ITGB3",0.631542665185788,3.31209735640413e-22,"PCPG"
"CALCRL",0.630009437024558,4.46869204830185e-22,"PCPG"
"COL4A2",0.629187111049797,5.24381526851595e-22,"PCPG"
"PXDN",0.628602366375695,5.87378884152322e-22,"PCPG"
"NID2",0.626136309309165,9.45289322978082e-22,"PCPG"
"COL6A3",0.622258577304998,1.98063131803537e-21,"PCPG"
"PZP",0.615875191350859,6.54588988869757e-21,"PCPG"
"COL5A2",0.615549207705769,6.95287824667386e-21,"PCPG"
"JAG1",0.610698129055104,1.69211078020895e-20,"PCPG"
"CTTNBP2NL",0.608256014290191,2.63258294874135e-20,"PCPG"
"MICAL2",0.607454868043783,3.04083852778266e-20,"PCPG"
"CD93",0.605669324857823,4.18699963652729e-20,"PCPG"
"TRAM2",0.603597394910215,6.05344523993396e-20,"PCPG"
"DR1",0.603209713795574,6.48380422520474e-20,"PCPG"
"RASGRP3",0.600791541332278,9.93039194497272e-20,"PCPG"
"PDGFRB",0.600727081289464,1.00433840274243e-19,"PCPG"
"MYOF",0.599901071883684,1.16077337384813e-19,"PCPG"
"ERG",0.598757366552605,1.41741038852392e-19,"PCPG"
"GRAPL",0.598490317803802,1.48491296663969e-19,"PCPG"
"FILIP1",0.597986608612095,1.62091914630034e-19,"PCPG"
"ARHGAP29",0.597947011728652,1.63211391107474e-19,"PCPG"
"CDH5",0.594781102768708,2.82105655907621e-19,"PCPG"
"CDH13",0.594515895735414,2.95258278735755e-19,"PCPG"
"ABCA4",0.593160812313263,3.72423699044018e-19,"PCPG"
