"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.757377055022487,2.984033620518e-104,"PRAD"
"COL6A3",0.674494287358997,9.09770909994024e-75,"PRAD"
"OSMR",0.639822174704559,4.03812043152279e-65,"PRAD"
"NID2",0.63586779730216,4.24885675386724e-64,"PRAD"
"FBN1",0.634524715955712,9.3763326677278e-64,"PRAD"
"NID1",0.620411948966564,3.04599745092899e-60,"PRAD"
"GXYLT2",0.617175670037547,1.83635880589019e-59,"PRAD"
"COL15A1",0.613123341236031,1.69123033288884e-58,"PRAD"
"C1RL",0.606554173295334,5.78009969183119e-57,"PRAD"
"CNTNAP1",0.599837107566422,1.96620396136414e-55,"PRAD"
"ASAP1",0.59532470722037,2.00631430381503e-54,"PRAD"
"ARHGAP31",0.593264198058769,5.7246511210605e-54,"PRAD"
"PIEZO2",0.592736884202406,7.47743503850177e-54,"PRAD"
"MSN",0.591066345151595,1.73718177120923e-53,"PRAD"
"ITGB3",0.590737757917585,2.04928747204079e-53,"PRAD"
"ABCC9",0.589490368910958,3.83056428629833e-53,"PRAD"
"CEP295NL",0.589306679152037,4.19920908555415e-53,"PRAD"
"DDR2",0.589298066488476,4.21733292611945e-53,"PRAD"
"CLIC4",0.587647505993304,9.60398567390894e-53,"PRAD"
"FAT4",0.58607255338891,2.0969324337594e-52,"PRAD"
"COL4A4",0.585483538975554,2.80504718777817e-52,"PRAD"
"ADAM19",0.582105221693367,1.47127235843623e-51,"PRAD"
"SEC23A",0.578983554725766,6.68846846033654e-51,"PRAD"
"PDGFRB",0.578510564185886,8.40143222845631e-51,"PRAD"
"EPB41L2",0.578088261288937,1.02951208273144e-50,"PRAD"
"SACS",0.5759103163418,2.92330688205202e-50,"PRAD"
"LHFPL2",0.575511204100426,3.53642232063385e-50,"PRAD"
"SYNE1",0.574000387601328,7.25362903248252e-50,"PRAD"
"ABCB1",0.571709207307031,2.14100172856607e-49,"PRAD"
"COL4A1",0.571580335033815,2.27481993980512e-49,"PRAD"
"ZEB2",0.571520469962499,2.33977531890292e-49,"PRAD"
"FN1",0.571283939394758,2.61492812914849e-49,"PRAD"
"TGFBR2",0.571127605431987,2.81418378973503e-49,"PRAD"
"MAN1A1",0.571055845001571,2.91062413616964e-49,"PRAD"
"SERPINB9",0.570760155318544,3.34384688199125e-49,"PRAD"
"TCF4",0.569999734781184,4.77459681954707e-49,"PRAD"
"VCL",0.569669806230717,5.57093377167592e-49,"PRAD"
"ACTN1",0.569104476642157,7.25339358544457e-49,"PRAD"
"RGL1",0.56884973240885,8.16798480035821e-49,"PRAD"
"TEAD1",0.567241846955672,1.72425386771999e-48,"PRAD"
"CD93",0.566318880042481,2.64277853747906e-48,"PRAD"
"PEAK1",0.564936582838584,4.99720292800576e-48,"PRAD"
"SLC16A7",0.564895178517444,5.09323760936107e-48,"PRAD"
"CORO1C",0.564797685989746,5.32666119881218e-48,"PRAD"
"ARHGEF6",0.564112273280539,7.29612839199037e-48,"PRAD"
"THBS1",0.563726715394934,8.70589625296342e-48,"PRAD"
"AFAP1",0.562647167434362,1.42591716328978e-47,"PRAD"
"ATP2A2",0.562237818830557,1.71846501116399e-47,"PRAD"
"ECM2",0.562206968552061,1.74278625716593e-47,"PRAD"
"CDH11",0.562025926128252,1.89255595669036e-47,"PRAD"
"PZP",0.559606465848076,5.6680495005707e-47,"PRAD"
"METTL24",0.559416627665482,6.17513969189868e-47,"PRAD"
"DACT1",0.558538679830686,9.17139619208097e-47,"PRAD"
"ZNF423",0.558478179398943,9.42442304969846e-47,"PRAD"
"B4GALT5",0.557950653755772,1.19456292379241e-46,"PRAD"
"GFPT2",0.557549247157301,1.43029622608485e-46,"PRAD"
"PDGFRA",0.557331953891368,1.57660444817061e-46,"PRAD"
"FLRT2",0.556564473793712,2.22262299173704e-46,"PRAD"
"GNG2",0.556455862458547,2.33313964109112e-46,"PRAD"
"TLR4",0.556098860494342,2.73626861628265e-46,"PRAD"
"FGF10",0.555872380092641,3.02710110021322e-46,"PRAD"
"ZEB1",0.55518800072706,4.10566702198248e-46,"PRAD"
"CACNA1C",0.554799971995351,4.8785540332192e-46,"PRAD"
"LAMA4",0.554565135722081,5.41473936406738e-46,"PRAD"
"TLN1",0.554221723411448,6.30575825895104e-46,"PRAD"
"GAB2",0.553086016648715,1.04229152300242e-45,"PRAD"
"CCDC88A",0.553044718220979,1.06147520630772e-45,"PRAD"
"KLF12",0.551810424698703,1.828631233612e-45,"PRAD"
"SETBP1",0.551664856565385,1.94948431463758e-45,"PRAD"
"DENND5A",0.550247543942417,3.62925255551137e-45,"PRAD"
"ITGB1",0.549904943481218,4.21565163215014e-45,"PRAD"
"ENPEP",0.549712711654338,4.58489843040018e-45,"PRAD"
"HGF",0.549365593074549,5.33477079242549e-45,"PRAD"
"ALDH1L2",0.54928020769276,5.53714932141004e-45,"PRAD"
"ETS1",0.548919464161599,6.47967565968546e-45,"PRAD"
"SH2B3",0.548815653327436,6.77927150915555e-45,"PRAD"
"HEG1",0.547862577389579,1.02584335506247e-44,"PRAD"
"ELK3",0.547418319260107,1.24376934999638e-44,"PRAD"
"ERC1",0.546202521785808,2.10401672790926e-44,"PRAD"
"IGFBP5",0.546032068702444,2.26455673265071e-44,"PRAD"
"CPED1",0.545827306156038,2.47355067184894e-44,"PRAD"
"ZNF469",0.544466470015443,4.44057958118242e-44,"PRAD"
"SYT11",0.544068946175136,5.26566169503073e-44,"PRAD"
"PCDH18",0.543787552101709,5.93997720510868e-44,"PRAD"
"WWTR1",0.543484308689164,6.7627700051286e-44,"PRAD"
"EPHA3",0.543417701737764,6.95811958274991e-44,"PRAD"
"RAB31",0.543373261805697,7.09155947883861e-44,"PRAD"
"SH3PXD2B",0.543122647415164,7.89301507753935e-44,"PRAD"
"EGFLAM",0.543041462471752,8.17143444391155e-44,"PRAD"
"FCHSD2",0.542631337316314,9.73400039035817e-44,"PRAD"
"RBFOX2",0.542595298261,9.88471422922172e-44,"PRAD"
"DOC2B",0.542349660860476,1.09754730158731e-43,"PRAD"
"TRPC4",0.541854009132044,1.35530620619868e-43,"PRAD"
"BNC2",0.541713417988735,1.43878518595696e-43,"PRAD"
"DOCK11",0.541525457195835,1.55840959197782e-43,"PRAD"
"LRRK2",0.541117449908487,1.85309908969951e-43,"PRAD"
"IL33",0.540984165410085,1.96086465709209e-43,"PRAD"
"IRAK3",0.540682192718393,2.228567492926e-43,"PRAD"
"PLPP3",0.540632881689721,2.2756012034299e-43,"PRAD"
"ZNF365",0.539679841049665,3.40491157134183e-43,"PRAD"
"PLEKHG1",0.539262056271306,4.06114710063674e-43,"PRAD"
"TLL1",0.539248043044117,4.08520865929706e-43,"PRAD"
"RASGRF2",0.538992028089957,4.55055027476479e-43,"PRAD"
"PEAR1",0.538836364785415,4.85881099526257e-43,"PRAD"
"TTC28",0.537671996207878,7.92478198515913e-43,"PRAD"
"SULF1",0.537161660594029,9.81397980167875e-43,"PRAD"
"TGFBI",0.536497532459116,1.29553406789593e-42,"PRAD"
"RHOJ",0.536418465383793,1.33902697544458e-42,"PRAD"
"LEPR",0.536330891538312,1.38889133311203e-42,"PRAD"
"COL3A1",0.536024365430229,1.57837836209399e-42,"PRAD"
"MITF",0.535717768726543,1.79353472107865e-42,"PRAD"
"TRPA1",0.53473482573697,2.69931803209788e-42,"PRAD"
"SLC39A14",0.533981328680362,3.68943539720569e-42,"PRAD"
"PIK3CG",0.533325389635394,4.83968835571159e-42,"PRAD"
"DCHS1",0.533064680073636,5.39000690189845e-42,"PRAD"
"S1PR3",0.533019640078943,5.49117743843723e-42,"PRAD"
"COL4A2",0.532968246479983,5.60892223120288e-42,"PRAD"
"FERMT2",0.532755259545831,6.12417021536764e-42,"PRAD"
"PTGFRN",0.532701148016157,6.26238637114395e-42,"PRAD"
"STARD8",0.532700336166723,6.26448344938655e-42,"PRAD"
"AXL",0.53253394233053,6.70932962344702e-42,"PRAD"
"C5orf58",0.532395584342223,7.10297665519592e-42,"PRAD"
"GAS7",0.531954917194994,8.51585420536401e-42,"PRAD"
"KCTD10",0.53187535595045,8.79915136337198e-42,"PRAD"
"SNX29",0.531763356026343,9.21386201136773e-42,"PRAD"
"LTBP1",0.531735682549979,9.31928241640292e-42,"PRAD"
"PTGER2",0.531473349289354,1.03799741802451e-41,"PRAD"
"LOXL2",0.531232335900824,1.14595977969919e-41,"PRAD"
"ADAM22",0.531141479359806,1.18948858598868e-41,"PRAD"
"TLDC2",0.530657264119055,1.45066146929367e-41,"PRAD"
"QKI",0.530607141240948,1.48074950029134e-41,"PRAD"
"KLHL5",0.529997159933511,1.90047212115233e-41,"PRAD"
"ROR1",0.529486471341647,2.34115310527211e-41,"PRAD"
"LAMA2",0.529173026864473,2.66036607356733e-41,"PRAD"
"SPON1",0.528994702371379,2.86086323045649e-41,"PRAD"
"ADCY3",0.528287334429649,3.81492315213671e-41,"PRAD"
"MAPRE2",0.528254860452284,3.86559830673882e-41,"PRAD"
"ITGA4",0.528164286293677,4.01049288715533e-41,"PRAD"
"COL5A1",0.528121470060477,4.08084993824394e-41,"PRAD"
"TRPT1",-0.527862137112978,4.53392647211783e-41,"PRAD"
"PREX2",0.52784148789911,4.57207667282682e-41,"PRAD"
"NFASC",0.527778940194881,4.68958942751276e-41,"PRAD"
"JAK1",0.527738630105587,4.76690511402548e-41,"PRAD"
"SFRP1",0.52767968277711,4.88224889456369e-41,"PRAD"
"GLI2",0.527602874761081,5.03670336114908e-41,"PRAD"
"WIPF1",0.527402771524471,5.46222730007925e-41,"PRAD"
"ARSB",0.527127272183892,6.10697894610617e-41,"PRAD"
"KCNN3",0.527105528738178,6.16096739374916e-41,"PRAD"
"ZNF521",0.527100869428383,6.17259778678225e-41,"PRAD"
"PRKD3",0.526937793585529,6.59367235467961e-41,"PRAD"
"SAMHD1",0.526808886014511,6.94657779738912e-41,"PRAD"
"PAPPA",0.526656964276926,7.38659970978652e-41,"PRAD"
"ACSL4",0.526287360997591,8.5759315746116e-41,"PRAD"
"FYCO1",0.52619262169841,8.91020842014863e-41,"PRAD"
"CRTC3",0.526058701839581,9.40488125884796e-41,"PRAD"
"CCDC80",0.52600536686154,9.60938875702707e-41,"PRAD"
"COL14A1",0.525616879258412,1.12381629643844e-40,"PRAD"
"TGFBR3",0.525518045414258,1.16944777764941e-40,"PRAD"
"SPRED1",0.525353945935161,1.24930473184553e-40,"PRAD"
"GPRIN3",0.525212790027028,1.32230745397757e-40,"PRAD"
"RELL1",0.525107037813784,1.37975778159482e-40,"PRAD"
"TIMP2",0.524739728891546,1.59921025383138e-40,"PRAD"
"TNFAIP3",0.524719291464487,1.61238964857552e-40,"PRAD"
"SAMD4A",0.524710290525109,1.61822815698559e-40,"PRAD"
"SLC16A2",0.524358759720134,1.86341459652803e-40,"PRAD"
"HMCN1",0.524195577983876,1.98942121776335e-40,"PRAD"
"PPP1R12A",0.523677300364693,2.44838553977598e-40,"PRAD"
"GNG12",0.523258844928106,2.89438084413487e-40,"PRAD"
"MYH9",0.523214122613626,2.94657096703408e-40,"PRAD"
"CAP1",0.523088003568925,3.09882978671246e-40,"PRAD"
"ITGA1",0.52293583474673,3.29295489367957e-40,"PRAD"
"MACF1",0.522629943999073,3.72041020295789e-40,"PRAD"
"SPAG9",0.52262486111566,3.72795909277147e-40,"PRAD"
"REV3L",0.522512190533324,3.89924825665732e-40,"PRAD"
"ITSN1",0.522100300487813,4.59452389843862e-40,"PRAD"
"ADAMTS12",0.521644782359668,5.50724609830655e-40,"PRAD"
"ROCK2",0.521341927222939,6.21139155447108e-40,"PRAD"
"SWAP70",0.520912070596473,7.36657804269588e-40,"PRAD"
"C9",0.520347446963942,9.2131104115263e-40,"PRAD"
"KLF7",0.520335516307041,9.25671548416854e-40,"PRAD"
"VCAM1",0.519381063754926,1.3497238226975e-39,"PRAD"
"EPS8",0.519076726110535,1.52181330416202e-39,"PRAD"
"PGR",0.51888675334295,1.64008615233119e-39,"PRAD"
"MBNL1",0.518807933352238,1.69179264980702e-39,"PRAD"
"FGD5",0.518267029842304,2.09296487177946e-39,"PRAD"
"LPP",0.51793074768757,2.38854264236558e-39,"PRAD"
"PLXDC2",0.517621997817994,2.6961903792174e-39,"PRAD"
"PLEKHG2",0.517317166004382,3.03841781306908e-39,"PRAD"
"COL5A2",0.51726453698237,3.10171686478401e-39,"PRAD"
"ATP2B4",0.516928184232034,3.53829911815107e-39,"PRAD"
"RASA3",0.516845834461172,3.65415796781353e-39,"PRAD"
"DOCK2",0.516625611477717,3.98280050287892e-39,"PRAD"
"LCP2",0.516425896516923,4.30609103633898e-39,"PRAD"
"CSF2RB",0.516331051324337,4.46860539378744e-39,"PRAD"
"MXRA5",0.516057881638656,4.97143869342951e-39,"PRAD"
