"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.833865101017188,4.92729709269266e-47,"READ"
"COL6A3",0.754890670663553,6.9334669830763e-34,"READ"
"ANGPTL2",0.752817467366311,1.30999866473487e-33,"READ"
"ITGA5",0.749277323877026,3.82680426325121e-33,"READ"
"COL5A2",0.724245153308446,4.63348789122439e-30,"READ"
"COL12A1",0.723782877690732,5.24374031509569e-30,"READ"
"POSTN",0.716231654192944,3.82107173629471e-29,"READ"
"PRRX1",0.713627970678653,7.46655096271378e-29,"READ"
"COL3A1",0.711756133341352,1.20304933750496e-28,"READ"
"ADAM12",0.711433514760372,1.3056358918702e-28,"READ"
"RAB31",0.710353067297892,1.71587730177023e-28,"READ"
"COL15A1",0.710322754142632,1.72905032876029e-28,"READ"
"FBN1",0.708587326004001,2.67453495686145e-28,"READ"
"FSTL1",0.703151527698282,1.02739351121024e-27,"READ"
"ARSI",0.699199991387612,2.68148386390133e-27,"READ"
"COL1A2",0.6963040024476,5.3631907499885e-27,"READ"
"ANTXR1",0.694460313040183,8.30276375816223e-27,"READ"
"TNFAIP6",0.691289340477456,1.74716589206704e-26,"READ"
"PXDN",0.68517582662914,7.13972096472961e-26,"READ"
"LOX",0.684964717155009,7.49073604888157e-26,"READ"
"GPR176",0.678445223548747,3.23326588682639e-25,"READ"
"TIMP2",0.678038161178113,3.53797004559718e-25,"READ"
"MMP2",0.677279249683927,4.1831821158138e-25,"READ"
"PAPPA",0.676874352538669,4.57333486849958e-25,"READ"
"SPARC",0.676774752171387,4.6746572525024e-25,"READ"
"COL6A1",0.675434477663822,6.27263683010324e-25,"READ"
"VCAN",0.674868271228074,7.09898142746654e-25,"READ"
"LAMA4",0.674558643999348,7.5951479327577e-25,"READ"
"CERCAM",0.672557975752192,1.17290658462674e-24,"READ"
"SNAI2",0.671604193974192,1.44117701453398e-24,"READ"
"MRC2",0.670792234458301,1.71635900900516e-24,"READ"
"MXRA5",0.669969448815531,2.04770062699366e-24,"READ"
"SGIP1",0.66963167365692,2.20123181089498e-24,"READ"
"SULF1",0.669231106962414,2.39799783525465e-24,"READ"
"OSMR",0.669186719842212,2.42083677239788e-24,"READ"
"MEDAG",0.669129341369756,2.45067698126846e-24,"READ"
"ALPK2",0.668248094641842,2.95701351518764e-24,"READ"
"COL5A1",0.663984765877069,7.27045166613414e-24,"READ"
"CHN1",0.663650238556522,7.79736862132763e-24,"READ"
"ZNF469",0.662564378030604,9.77942449216337e-24,"READ"
"ST6GALNAC5",0.662432299282686,1.00519434423252e-23,"READ"
"CLMP",0.660950202513012,1.36704464465451e-23,"READ"
"NTM",0.658681046319269,2.18156244637668e-23,"READ"
"GLI3",0.655488421502785,4.18224243515497e-23,"READ"
"BCAT1",0.655240503197266,4.39758712721677e-23,"READ"
"CD109",0.65523833797189,4.39951498655991e-23,"READ"
"SPOCK1",0.654102677262331,5.53386106529488e-23,"READ"
"COL8A1",0.653955441936782,5.70049914349232e-23,"READ"
