"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.890138635420828,9.3690494402785e-92,"SARC"
"TRIM9",0.574719540613157,1.07615091237517e-24,"SARC"
"SPOCD1",0.573019405388895,1.58230874977558e-24,"SARC"
"ACTN1",0.565404747017682,8.65660807659757e-24,"SARC"
"PLOD2",0.55786263376793,4.46504779408091e-23,"SARC"
"SLC35D1",0.541214979295271,1.44522780374225e-21,"SARC"
"EXOSC7",-0.539636397452299,1.98982238353206e-21,"SARC"
"EOGT",0.531418486093301,1.02361415356603e-20,"SARC"
"CLEC3B",-0.526391270387499,2.72783046441907e-20,"SARC"
"FCGRT",-0.521735163280809,6.66518071101012e-20,"SARC"
"ADAM19",0.52138049824256,7.13054115401642e-20,"SARC"
"CYP21A2",-0.515829345548435,2.02977438370431e-19,"SARC"
"ORAI3",-0.515485965306857,2.16410964613779e-19,"SARC"
"ITGB1",0.514706991913757,2.50207169822327e-19,"SARC"
"SULT1A2",-0.514611877198954,2.54673441873324e-19,"SARC"
"MYH9",0.511969945086758,4.15389937615292e-19,"SARC"
"ABCA10",-0.511109226703673,4.86720828793149e-19,"SARC"
"SERPINB6",-0.507533730303784,9.35634060799377e-19,"SARC"
"NHLRC4",-0.507284175085961,9.7902053424937e-19,"SARC"
"SLC27A1",-0.506928542779426,1.04428119140703e-18,"SARC"
"ENAH",0.506403316100055,1.14854558000416e-18,"SARC"
"ZNF281",0.505836174461618,1.27261617191221e-18,"SARC"
"SCARA5",-0.503555940116317,1.91856514774349e-18,"SARC"
"DDAH2",-0.500604542724679,3.24907647118984e-18,"SARC"
"PALLD",0.497624389135099,5.5022258502875e-18,"SARC"
"SPECC1",0.492962155995931,1.24164655122361e-17,"SARC"
"FLNA",0.492416939105313,1.36452547671887e-17,"SARC"
"NCS1",0.489482569547943,2.2610277471997e-17,"SARC"
"ST6GAL2",0.4891619026288,2.38861560277925e-17,"SARC"
"GEM",0.484028143682431,5.70740787656026e-17,"SARC"
"BBIP1",-0.483926902935149,5.80544392926581e-17,"SARC"
"CALD1",0.483909814528761,5.82215350226802e-17,"SARC"
"FZD6",0.482368311303425,7.54042812265887e-17,"SARC"
"MLXIPL",-0.48229021348348,7.63960829550053e-17,"SARC"
"MICAL2",0.480540819088155,1.02285613447481e-16,"SARC"
"ALDH1B1",0.477533581986563,1.68268628396409e-16,"SARC"
"CTPS1",0.477428149743374,1.71215926132392e-16,"SARC"
"PDCD4",-0.476873905015419,1.87561477576338e-16,"SARC"
"DNAJC22",0.476492911476438,1.99674772187821e-16,"SARC"
"RPH3AL",-0.474107517717074,2.94935691600276e-16,"SARC"
"SPAG7",-0.473304040194059,3.36117892910484e-16,"SARC"
"FAM83D",0.472319361078774,3.94325351639924e-16,"SARC"
"SULT1A1",-0.47209173060877,4.09126676250083e-16,"SARC"
"INHBA",0.46978801997396,5.93127176986216e-16,"SARC"
"ARRB1",-0.465446275060265,1.18535355546207e-15,"SARC"
"EIF3K",-0.465186402314057,1.23512593835715e-15,"SARC"
"ZNF365",0.464893964868882,1.29358481838602e-15,"SARC"
"PALM",-0.463827390372038,1.53066957678719e-15,"SARC"
"PFDN5",-0.463078402295808,1.72208080240471e-15,"SARC"
"DYNLT3",0.462467088738971,1.89551289587475e-15,"SARC"
"CDC42EP2",-0.462182067017323,1.98211217175072e-15,"SARC"
"TSPAN4",-0.461843523117176,2.09001553640322e-15,"SARC"
"CNN3",0.461601706045642,2.17058953885571e-15,"SARC"
"BORCS7",-0.460656684930089,2.51567611405007e-15,"SARC"
"LRP12",0.460058590706496,2.76125354393908e-15,"SARC"
"FAM43B",-0.458861730882045,3.32519993496065e-15,"SARC"
"MED11",-0.458443897514176,3.54748456694594e-15,"SARC"
"GREM1",0.457479716342992,4.11740303169675e-15,"SARC"
"MACF1",0.456535477185632,4.76201372831331e-15,"SARC"
"MATN4",-0.456439552476322,4.83277819911624e-15,"SARC"
"PROSER2",-0.455766821320918,5.35880579524087e-15,"SARC"
"POTEJ",0.453401850361319,7.69184093008939e-15,"SARC"
"SHOX2",0.45326037983853,7.85925190561284e-15,"SARC"
"CCDC61",-0.453157131484927,7.98367748740022e-15,"SARC"
"DHRS3",-0.452914669567869,8.28349769415315e-15,"SARC"
"SLC36A4",0.452232423003382,9.18749785916488e-15,"SARC"
"IQCJ-SCHIP1",0.45209797271161,9.37670618235767e-15,"SARC"
"PDLIM3",0.451882271883802,9.68824870912184e-15,"SARC"
"PRR29",-0.451598862275964,1.01130195637819e-14,"SARC"
"PGM2",0.451355110667858,1.04928844234049e-14,"SARC"
"CFD",-0.451136830457954,1.0844877941251e-14,"SARC"
"AKAP5",0.450878569825556,1.12762809727745e-14,"SARC"
"CLSPN",0.450319811178933,1.22678941880412e-14,"SARC"
