"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.859646397308229,1.78878416912555e-139,"SKCM"
"SLC20A1",0.501197922845057,1.88684625032206e-31,"SKCM"
"CD109",0.489461930343739,7.272160614435e-30,"SKCM"
"OPRD1",0.48453899601047,3.22749867374363e-29,"SKCM"
"OSBPL3",0.470787760141151,1.82839670784328e-27,"SKCM"
"TNFRSF12A",0.470724031190132,1.86213876703861e-27,"SKCM"
"UCN2",0.468526724890116,3.48989901804125e-27,"SKCM"
"SERPINB8",0.465424435948342,8.40662445082251e-27,"SKCM"
"HMSD",0.452408761574689,3.05211216788654e-25,"SKCM"
"ITGB8",0.450982571153035,4.48224310007938e-25,"SKCM"
"FOSL1",0.446259598181588,1.57979190155505e-24,"SKCM"
"NT5E",0.443334756840592,3.4130945511414e-24,"SKCM"
"RNF182",0.440460540378954,7.2237634091214e-24,"SKCM"
"GPR39",0.440012119840919,8.11493682351947e-24,"SKCM"
"MMP8",0.43957320994534,9.09206523674011e-24,"SKCM"
"PLEKHS1",0.437669167063415,1.48606223545676e-23,"SKCM"
"PFKFB4",0.436041420643604,2.25622539714965e-23,"SKCM"
"DCBLD2",0.434863342223427,3.04804072150107e-23,"SKCM"
"PLAUR",0.433401545234834,4.41989031588574e-23,"SKCM"
"GLDC",0.429572024941467,1.16014078325578e-22,"SKCM"
"LYPD1",0.429149168609882,1.28961781924911e-22,"SKCM"
"UBASH3B",0.428540795260739,1.50126514039595e-22,"SKCM"
"LIF",0.425091720929418,3.53259109569133e-22,"SKCM"
"S100A16",0.42138194756181,8.77147669455284e-22,"SKCM"
"C16orf74",-0.421057973161344,9.49148829562624e-22,"SKCM"
"KCNN4",0.419387753019773,1.42357016171726e-21,"SKCM"
"LGALS1",0.418337019104925,1.83495356948795e-21,"SKCM"
"VDR",0.4125210152458,7.36009334722715e-21,"SKCM"
"IFNGR2",0.411131111771346,1.02167694457984e-20,"SKCM"
"SRPX",0.407932303978992,2.16068428702217e-20,"SKCM"
"ADAM19",0.407724674602985,2.26768989188113e-20,"SKCM"
"CATSPER1",0.407158825020091,2.58654057912051e-20,"SKCM"
"PKM",0.405219854675823,4.05208114319686e-20,"SKCM"
"S100A5",0.405105810099818,4.16011520179616e-20,"SKCM"
"MMP1",0.404121426572035,5.21864120713434e-20,"SKCM"
