"gene","spearman_correlation","p_value","cancer_type"
"MXRA8",0.383648082088121,0,"STAD"
"PDPN",0.514877619890631,0,"STAD"
"HSPG2",0.386870785410171,0,"STAD"
"ZNF436",0.40109302117238,0,"STAD"
"CLIC4",0.586171201257016,0,"STAD"
"SYNC",0.473334631106645,0,"STAD"
"CSMD2",0.423829699783208,0,"STAD"
"C1orf216",0.421869614574235,0,"STAD"
"FHL3",0.475101083029695,0,"STAD"
"MACF1",0.491624714939531,0,"STAD"
"KCNQ4",0.386291434618688,0,"STAD"
"C1orf210",-0.39819755810354,0,"STAD"
"TIE1",0.41947553262708,0,"STAD"
"BTBD19",0.406093278059206,0,"STAD"
"ZYG11B",0.401236567981678,0,"STAD"
"PDE4B",0.406301498386002,0,"STAD"
"SGIP1",0.532950834443283,0,"STAD"
"LRRC7",0.389664913726044,0,"STAD"
"ST6GALNAC5",0.535309804221257,0,"STAD"
"NEXN",0.413580431781573,0,"STAD"
"DNAJB4",0.49905003509926,0,"STAD"
"PTGFR",0.502102082951983,0,"STAD"
"ADGRL4",0.492833502999121,0,"STAD"
"SH3GLB1",0.430929845111444,0,"STAD"
"LRRC8C",0.488979684253819,0,"STAD"
"ARHGAP29",0.395310873076996,0,"STAD"
"CNN3",0.40914906948879,0,"STAD"
"PLPPR4",0.484148146503461,0,"STAD"
"PALMD",0.400209407944283,0,"STAD"
"WDR47",0.383039428126035,0,"STAD"
"TSPAN2",0.426961524549732,0,"STAD"
"PTGFRN",0.396682313096762,0,"STAD"
"NOTCH2",0.438606372187444,0,"STAD"
"LIX1L",0.408384992542537,0,"STAD"
"CTSK",0.409556990277802,0,"STAD"
"MLLT11",0.389691893297216,0,"STAD"
"S100A3",0.419625921145813,0,"STAD"
"THBS3",0.435377085333673,0,"STAD"
"SYT11",0.477768833354289,0,"STAD"
"ADAMTS4",0.423177801053933,0,"STAD"
"FCGR2A",0.415211598582191,0,"STAD"
"OLFML2B",0.429252851766491,0,"STAD"
"DDR2",0.535061695437561,0,"STAD"
"RGS4",0.449651472994224,0,"STAD"
"GPR161",0.380915141890599,0,"STAD"
"SELE",0.489502494125812,0,"STAD"
"PRRX1",0.594795498723182,0,"STAD"
"FMO1",0.423412484596472,0,"STAD"
"LAMC1",0.482266934586287,0,"STAD"
"HMCN1",0.451187501307025,0,"STAD"
"PTGS2",0.444716147802611,0,"STAD"
"KCNT2",0.393771488453905,0,"STAD"
"CFH",0.392932669059286,0,"STAD"
"CAMSAP2",0.389124676858318,0,"STAD"
"NAV1",0.412239456732126,0,"STAD"
