"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.84100529896911,6.26950574170496e-43,"TGCT"
"MAML2",0.828192527236786,1.45212494411572e-40,"TGCT"
"AMOTL1",0.824092313830217,7.54620518905303e-40,"TGCT"
"CDH11",0.820580103271468,2.99366880830707e-39,"TGCT"
"PCDH18",0.818948869564614,5.61997911536474e-39,"TGCT"
"ZFP36L1",0.81328064856386,4.77755840113554e-38,"TGCT"
"IGDCC4",0.802203433624293,2.5550448055108e-36,"TGCT"
"COL6A3",0.801267687156796,3.53474142853742e-36,"TGCT"
"RND3",0.798782900928914,8.2992799195742e-36,"TGCT"
"SULT1C4",0.792881369887191,6.01149511169999e-35,"TGCT"
"MMP14",0.786988069610557,4.07644492279752e-34,"TGCT"
"PDGFRB",0.785413739405105,6.72828184790173e-34,"TGCT"
"NOTCH1",0.785173480176964,7.26029969804477e-34,"TGCT"
"MXRA5",0.775765434611852,1.3265060636389e-32,"TGCT"
"ANTXR1",0.771516639840512,4.7058904617829e-32,"TGCT"
"DDR2",0.770878056102557,5.67896954782966e-32,"TGCT"
"EGFL6",0.769107724947832,9.53211140950816e-32,"TGCT"
"CLIC6",0.768857981802791,1.02507911759536e-31,"TGCT"
"MARCKS",0.768026558421197,1.30486754946616e-31,"TGCT"
"PLAGL1",0.767811589638123,1.38865449445038e-31,"TGCT"
"PDE4D",0.767561846493081,1.49264848657129e-31,"TGCT"
"KITLG",0.76721094156777,1.65180493287685e-31,"TGCT"
"NOTCH3",0.76691694014386,1.79789854160831e-31,"TGCT"
"EPHA3",0.766828423586124,1.8443191974947e-31,"TGCT"
"FOXF1",0.766057065011565,2.3019942030977e-31,"TGCT"
"SNCAIP",0.765766224893288,2.50210764038183e-31,"TGCT"
"GPC6",0.765133963766601,2.99795323533768e-31,"TGCT"
"COLEC12",0.764726155339887,3.36774148032993e-31,"TGCT"
"LEPROT",0.764090732907566,4.03499502166529e-31,"TGCT"
"COL3A1",0.763989571127296,4.15258373297439e-31,"TGCT"
"COL5A2",0.76257646750915,6.19346027680077e-31,"TGCT"
"CNN3",0.761229751309305,9.04212575488541e-31,"TGCT"
"LURAP1L",0.760733426324855,1.03887333356694e-30,"TGCT"
"KCNE4",0.760398327927711,1.14073961484107e-30,"TGCT"
"EMILIN1",0.760246585257306,1.19003672430022e-30,"TGCT"
"HGF",0.75956058193485,1.44030879566986e-30,"TGCT"
"CPED1",0.759510001044715,1.46068551394012e-30,"TGCT"
"EMP1",0.759427807098245,1.4944032906139e-30,"TGCT"
"TMEM200A",0.759304516178541,1.54641839926835e-30,"TGCT"
"LIMCH1",0.759234967454606,1.5765406680079e-30,"TGCT"
"ROR1",0.758545802826516,1.90797211222555e-30,"TGCT"
"MAML3",0.757727024667456,2.3914631916461e-30,"TGCT"
"WLS",0.756098952266235,3.73730397888049e-30,"TGCT"
"PEAR1",0.75432862111151,6.04887381400861e-30,"TGCT"
"CYTL1",0.753906890771897,6.77998392263624e-30,"TGCT"
"LIPG",0.753237970667974,8.12125396361597e-30,"TGCT"
"KIF26B",0.753231648056707,8.13509965154399e-30,"TGCT"
"ARHGAP6",0.753067260163768,8.50333825819677e-30,"TGCT"
"EPS8",0.752792226573659,9.15636834298653e-30,"TGCT"
"EDNRA",0.752586741707486,9.67617566515038e-30,"TGCT"
"ABCC9",0.751654156545622,1.24234876753862e-29,"TGCT"
"TBX15",0.751625321937189,1.25196388556087e-29,"TGCT"
"ETV6",0.751249509424542,1.38416896376653e-29,"TGCT"
"TNIK",0.751123057199204,1.43166397132829e-29,"TGCT"
"MOXD1",0.749608791800787,2.14100563125624e-29,"TGCT"
"LPAR2",-0.74916937031774,2.40492705752614e-29,"TGCT"
"TSPAN11",0.74808504248547,3.20059704946027e-29,"TGCT"
"CTTNBP2",0.746295743496945,5.11309193066172e-29,"TGCT"
"CLMP",0.746219872161742,5.21522338535637e-29,"TGCT"
"FMOD",0.745818386346295,5.7899392767542e-29,"TGCT"
"LUM",0.744926898157666,7.29763366204396e-29,"TGCT"
"SULF1",0.744873155961898,7.39993168380162e-29,"TGCT"
"GPX8",0.743437923204317,1.07182587479262e-28,"TGCT"
"SPATS2L",0.742780371632562,1.2690584293597e-28,"TGCT"
"TRIM62",0.742461079763584,1.37727852446428e-28,"TGCT"
"PLEKHG1",0.741901528666466,1.58920017233433e-28,"TGCT"
"FREM1",0.741591720714389,1.71998273204545e-28,"TGCT"
"CCND1",0.740178617096242,2.46354847480636e-28,"TGCT"
"CD248",0.739758163446995,2.74026669817009e-28,"TGCT"
"CD93",0.739619065999124,2.83836280530366e-28,"TGCT"
"SCARF2",0.73911009579214,3.22758599422729e-28,"TGCT"
"ZNF792",0.738765513478096,3.520370515207e-28,"TGCT"
"XPNPEP2",0.738316608078147,3.94118477600365e-28,"TGCT"
"COL6A2",0.738117445823241,4.14334482021739e-28,"TGCT"
"TCF4",0.737165892827576,5.25863189070416e-28,"TGCT"
"BDKRB2",0.7368750527093,5.65489417248801e-28,"TGCT"
"METTL24",0.736376216810706,6.4038837522963e-28,"TGCT"
"IRF2BP2",0.736359759891049,6.4301850825611e-28,"TGCT"
"SNAI2",0.7358729188235,7.25807820805785e-28,"TGCT"
"ETS2",0.735525175203822,7.91262675984e-28,"TGCT"
"SVIL",0.735038334136272,8.92730015646714e-28,"TGCT"
"COL18A1",0.734807558825031,9.45188687592571e-28,"TGCT"
"VASN",0.734519880012389,1.01483475984423e-27,"TGCT"
"FLRT2",0.734406073009585,1.04375665645886e-27,"TGCT"
"NPR2",0.734232201199746,1.08951202628e-27,"TGCT"
"AXL",0.734206910754678,1.09632932437747e-27,"TGCT"
"C1orf21",0.734134200725109,1.11616317219871e-27,"TGCT"
