"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.906062216948475,4.62425474828108e-215,"THCA"
"MICAL2",0.762295446166617,8.79561327262876e-110,"THCA"
"ACTN1",0.758445823544028,4.6157109237587e-108,"THCA"
"OSMR",0.755884667772461,6.17641320451232e-107,"THCA"
"ROR1",0.747467206000939,2.49324811173824e-103,"THCA"
"RUNX1",0.723336208232954,9.67495661708367e-94,"THCA"
"ADAMTS14",0.722215706112965,2.54737461090893e-93,"THCA"
"B4GALT5",0.721113700725283,6.57024544097811e-93,"THCA"
"FLNA",0.716667916054795,2.86854273481472e-91,"THCA"
"IL1RAP",0.706453052967476,1.28518363748079e-87,"THCA"
"PLAU",0.705871257815621,2.05203568154288e-87,"THCA"
"TNFRSF10A",0.698489687731632,7.04543819145652e-85,"THCA"
"SERPINB8",0.698121215330859,9.38536901841334e-85,"THCA"
"VCAN",0.696920745718107,2.38173084090412e-84,"THCA"
"CDH11",0.690745994901818,2.66606177581508e-82,"THCA"
"PELI1",0.689240677713632,8.27141415067279e-82,"THCA"
"TMOD3",0.689193536335987,8.56899372060241e-82,"THCA"
"RAB31",0.68855042532423,1.3868981650097e-81,"THCA"
"AHR",0.687092570203331,4.11212787160377e-81,"THCA"
"ARF6",0.687044851584328,4.26059049369998e-81,"THCA"
"TNFSF11",0.686976211750451,4.48353907143966e-81,"THCA"
"PMAIP1",0.685828604041099,1.04969445491342e-80,"THCA"
"FN1",0.685764594388188,1.10057267349812e-80,"THCA"
"ARSI",0.683523727017767,5.72677488815239e-80,"THCA"
"SYTL2",0.6803307007871,5.8544671274309e-79,"THCA"
"STK17B",0.678526629126711,2.14898401439097e-78,"THCA"
"ITPRIPL2",0.678328442926818,2.47757239630359e-78,"THCA"
"ACTBL2",0.677661748217148,3.99521806139494e-78,"THCA"
"IL4R",0.677109437452652,5.92974593507555e-78,"THCA"
"PHLDB2",0.676360562996356,1.01150177039424e-77,"THCA"
"SLFN5",0.676278915413034,1.07204193313861e-77,"THCA"
"ADCY7",0.67612658783221,1.19478311302105e-77,"THCA"
"COL1A1",0.675805834050441,1.5008118127449e-77,"THCA"
"PLAUR",0.674984098907064,2.68828821987911e-77,"THCA"
"CAP1",0.674048647215982,5.20786201685383e-77,"THCA"
"MYD88",0.67078126871075,5.14619587101607e-76,"THCA"
"STAC",0.670765875607846,5.20167181778419e-76,"THCA"
"DPY19L1",0.6701965873521,7.72972126039309e-76,"THCA"
"FAS",0.668899012915193,1.90029437616578e-75,"THCA"
"ARSJ",0.66846030948242,2.57307695327214e-75,"THCA"
"SEC23A",0.66672242816452,8.50537150181525e-75,"THCA"
"SLC6A6",0.666663485407982,8.85610106666486e-75,"THCA"
"DST",0.666430600588625,1.03882172978165e-74,"THCA"
"CNN3",0.665594819238848,1.83960662014981e-74,"THCA"
"KCTD12",0.665369887522659,2.14476972722215e-74,"THCA"
"ADAM12",0.664693039960369,3.40099222890736e-74,"THCA"
"ALOX5",0.662927707608957,1.12554743695996e-73,"THCA"
"SRGAP2",0.662614265551067,1.3908452828508e-73,"THCA"
"TNFRSF21",0.662369771766603,1.64020452826242e-73,"THCA"
"PARP9",0.66122144628994,3.5511856781079e-73,"THCA"
"CSGALNACT2",0.660683778033077,5.09260714325073e-73,"THCA"
"LDLR",0.659961905644792,8.25349605871648e-73,"THCA"
"CXCL5",0.658578088787033,2.07492930215448e-72,"THCA"
"CREB5",0.658108383641323,2.83410556068696e-72,"THCA"
"MEX3C",0.657420055389785,4.47112546591638e-72,"THCA"
"SEMA7A",0.657333276772161,4.73524156092952e-72,"THCA"
"EREG",0.656661150754684,7.38101397520351e-72,"THCA"
"INHBA",0.656080470609534,1.08209177502584e-71,"THCA"
"IFI16",0.655906849236359,1.21302662113092e-71,"THCA"
"ELF4",0.655081522368972,2.0855952121512e-71,"THCA"
"CLDN1",0.654976272027863,2.23455594749321e-71,"THCA"
"CCL13",0.654649602175,2.76762120412375e-71,"THCA"
"ERI1",0.653452739667907,6.04711081008441e-71,"THCA"
"TCN1",0.652867521074267,8.85034470459024e-71,"THCA"
"TNFSF18",0.651934089778945,1.6219443268194e-70,"THCA"
"CFH",0.651778419037416,1.79398690788006e-70,"THCA"
"MMP14",0.651559323872744,2.06727080239872e-70,"THCA"
"TREML2",0.651472211227923,2.18709046031978e-70,"THCA"
"TGM2",0.651414692843372,2.26996344421286e-70,"THCA"
"RAP2B",0.65131848595022,2.41561376462587e-70,"THCA"
"EHBP1L1",0.651176997679358,2.64685607459764e-70,"THCA"
"PPP1R18",0.65076035769408,3.46353621300791e-70,"THCA"
"MRC1",0.649355929467846,8.54764458876469e-70,"THCA"
"MYH10",0.649004902583698,1.07048662787179e-69,"THCA"
"KCNN4",0.648316317780444,1.66312701158991e-69,"THCA"
"TNFSF4",0.647997552274467,2.03861934839929e-69,"THCA"
"PEBP1",-0.647947845379671,2.10432571119949e-69,"THCA"
"RNF125",0.64657189439381,5.05187189942354e-69,"THCA"
"ZNF469",0.646242225439942,6.22712380278767e-69,"THCA"
"CDH6",0.646137937167765,6.65271803068434e-69,"THCA"
"LYN",0.64571546063097,8.69353262462966e-69,"THCA"
"SLC20A1",0.645022450310631,1.34710777551158e-68,"THCA"
"DCBLD2",0.643648487600561,3.19925208940544e-68,"THCA"
"STAT1",0.643641624842183,3.21306803575409e-68,"THCA"
"KCNQ3",0.643110306240268,4.48398077735704e-68,"THCA"
"CDC42EP3",0.643075158655303,4.58383156621077e-68,"THCA"
"HIF1A",0.643053800725023,4.64558371608268e-68,"THCA"
"HAPLN3",0.642948614521844,4.96198465911162e-68,"THCA"
"CD276",0.64244378488451,6.80509652774033e-68,"THCA"
"NFE2L3",0.641751672495174,1.04829764545008e-67,"THCA"
"TRIM46",0.641679132497737,1.09679165148361e-67,"THCA"
"FAP",0.640754648392474,1.94964383265733e-67,"THCA"
"SYT1",0.640671502578812,2.05296882810838e-67,"THCA"
"CDCP1",0.640055352555116,3.00858055462402e-67,"THCA"
"LAMB3",0.63988333463016,3.34681873000723e-67,"THCA"
"GPR87",0.6390393483315,5.6393019286671e-67,"THCA"
"IL2RA",0.638919533974562,6.07205284438249e-67,"THCA"
"TMEM236",0.638828014806963,6.42470250689839e-67,"THCA"
"GALNT5",0.638412327084025,8.30058597664659e-67,"THCA"
"CCL22",0.637868640109006,1.15974882328506e-66,"THCA"
"CD1E",0.637563139158962,1.39912128697171e-66,"THCA"
"PRICKLE1",0.637269521619075,1.67529032102231e-66,"THCA"
"COL8A2",0.637089743004738,1.87046819769392e-66,"THCA"
"SNX30",0.63688969680491,2.11431042115176e-66,"THCA"
"DCLK1",0.63685948784046,2.15378247123928e-66,"THCA"
"PLSCR1",0.636854485082016,2.16038956894829e-66,"THCA"
"BDH1",-0.635429725132362,5.15675243668451e-66,"THCA"
"RAP2A",0.635068821007184,6.42350830727923e-66,"THCA"
"CSF2RB",0.63503835549102,6.5436381526801e-66,"THCA"
"GPR37",0.635030750147618,6.57397376153452e-66,"THCA"
"CD1C",0.634937972363791,6.95548626012738e-66,"THCA"
"MCEMP1",0.634864766441815,7.27198260666049e-66,"THCA"
"LYST",0.634566813438717,8.71473972919067e-66,"THCA"
"IVL",0.634414092450195,9.56113760409221e-66,"THCA"
"TRAPPC6A",-0.633992971390029,1.23422392444876e-65,"THCA"
"C16orf89",-0.633769001742771,1.4135033307624e-65,"THCA"
"TUBB3",0.633562990715568,1.60115658410167e-65,"THCA"
"ITGA2",0.633495004511073,1.66836346105187e-65,"THCA"
"ST8SIA4",0.632810973500762,2.52177255620928e-65,"THCA"
"EPHA4",0.632240210072655,3.55686211232753e-65,"THCA"
"ITGB4",0.632016240425397,4.06997119447205e-65,"THCA"
"NABP1",0.631860770086063,4.46877153128464e-65,"THCA"
"CD1B",0.631675637098082,4.9945956008499e-65,"THCA"
"SFXN3",0.631532063201126,5.44433291908659e-65,"THCA"
"TMPRSS11E",0.631407608383969,5.86660384472188e-65,"THCA"
"THBS1",0.631222341143105,6.5562213291835e-65,"THCA"
"PTPRO",0.630979450806861,7.58373334220747e-65,"THCA"
"S100A10",0.630573457717759,9.67043231603737e-65,"THCA"
"STYK1",0.629261016192474,2.11652448102764e-64,"THCA"
"FLII",0.629103159838679,2.32503108160843e-64,"THCA"
"MAP4",0.628987006049681,2.49137543597587e-64,"THCA"
"MAP4K4",0.628915428121175,2.59971818439929e-64,"THCA"
"ADRB3",0.628465957044746,3.39550837471523e-64,"THCA"
"DRAM1",0.628431058483119,3.46658480979255e-64,"THCA"
"MNDA",0.627759855058561,5.16081651689303e-64,"THCA"
"ELK3",0.627593224719621,5.69581131592573e-64,"THCA"
"CLEC5A",0.626830949710554,8.93693823691077e-64,"THCA"
"DNMT1",0.626608579237174,1.01895817913568e-63,"THCA"
"CCNA1",0.625681463757694,1.75861613009601e-63,"THCA"
"NOD2",0.625418445856434,2.05241566273404e-63,"THCA"
"CTHRC1",0.625086586187508,2.49361340393509e-63,"THCA"
"CDKN2B",0.625059006878137,2.53426621064451e-63,"THCA"
"CXCL8",0.624921559296787,2.74690062337595e-63,"THCA"
"DSC2",0.624763331026516,3.01371552327459e-63,"THCA"
"PTGFRN",0.624673986891743,3.1755911361115e-63,"THCA"
"SAT2",-0.624618315169572,3.28079794630134e-63,"THCA"
"CCR4",0.62443181668566,3.65912369669823e-63,"THCA"
"TPM4",0.624138242772743,4.34432492148125e-63,"THCA"
"DTX3L",0.624074682085334,4.50870022013001e-63,"THCA"
"WASF1",0.623893941402065,5.01066639997525e-63,"THCA"
"RAB27B",0.623847056576136,5.1497093384746e-63,"THCA"
"IQGAP1",0.623623792446094,5.86626371893555e-63,"THCA"
"UNC5CL",0.623192015909627,7.54485640381746e-63,"THCA"
"LYZ",0.62315750970395,7.69799548302854e-63,"THCA"
"CARD11",0.621951011125894,1.55173483069111e-62,"THCA"
"P2RY6",0.621876098025093,1.62060333761713e-62,"THCA"
"BEND6",0.621699911134767,1.79478014758163e-62,"THCA"
"SFTPB",0.621372358732548,2.16949820643664e-62,"THCA"
"UGCG",0.620400925663427,3.80196807479514e-62,"THCA"
"LOX",0.620187153946843,4.30041776946478e-62,"THCA"
"KLHL13",0.620169387740574,4.34465467886658e-62,"THCA"
"DLGAP5",0.619857164303331,5.20018063691481e-62,"THCA"
"STK17A",0.618727310550153,9.94887528939253e-62,"THCA"
"LRRN4",0.618415449980192,1.18943766771819e-61,"THCA"
"MST1R",0.618021408506132,1.49013376823621e-61,"THCA"
