"gene","spearman_correlation","p_value","cancer_type"
"ITGB3",0.731189380380496,1.1529986033893e-21,"THYM"
"ARHGAP20",0.712566690808944,3.43801785825143e-20,"THYM"
"TEK",0.69543798869774,6.20758086474944e-19,"THYM"
"PZP",0.684404924408498,3.60398623460499e-18,"THYM"
"RAPGEF1",0.68282843363614,4.60461266617746e-18,"THYM"
"CD93",0.669704884006122,3.34040738755668e-17,"THYM"
"MYH9",0.669644806718904,3.37006779130559e-17,"THYM"
"BUD31",-0.66610692202719,5.65147592968713e-17,"THYM"
"SEC23A",0.664898701028699,6.73195214124522e-17,"THYM"
"CALCRL",0.662555686827206,9.42937903304626e-17,"THYM"
"CLEC4A",0.660479682791124,1.26782291588998e-16,"THYM"
"SOD2",0.65984553364827,1.38717713636938e-16,"THYM"
"STARD8",0.659231410267822,1.51314917638258e-16,"THYM"
"SMURF1",0.65909122993098,1.54342747079571e-16,"THYM"
"MZT2A",-0.658884297052785,1.58920425092174e-16,"THYM"
"DOCK7",0.657522545209182,1.92514427077488e-16,"THYM"
"DENND5A",0.657081978436252,2.0479351258053e-16,"THYM"
"ASAP1",0.656688138442269,2.16412951532128e-16,"THYM"
"NDUFA7",-0.655266309311448,2.63944414273707e-16,"THYM"
"TBC1D9",0.654845768300923,2.79852026627386e-16,"THYM"
"NUAK1",0.653530743236267,3.35849591235933e-16,"THYM"
"FBXW11",0.653530743236267,3.35849591235933e-16,"THYM"
"FITM2",0.653303784595667,3.4655894513505e-16,"THYM"
"MBOAT1",0.652476053082888,3.88504979754764e-16,"THYM"
"PHACTR2",0.651915331735522,4.19683982977202e-16,"THYM"
"ADAMTS1",0.651688373094922,4.32984506483585e-16,"THYM"
"TNC",0.65023984294756,5.28059034848805e-16,"THYM"
"HEATR5A",0.649772575158088,5.62850173750597e-16,"THYM"
"TBC1D9B",0.64797693179569,7.18507855100887e-16,"THYM"
"GLUD2",0.647936880270878,7.22418105548386e-16,"THYM"
"TEAD1",0.647015695200205,8.18286139417441e-16,"THYM"
"ELOB",-0.646988994183664,8.21241770176332e-16,"THYM"
"SUSD6",0.646628530460357,8.6217340550931e-16,"THYM"
"PYM1",-0.645874226743067,9.54347136138549e-16,"THYM"
"COPS9",-0.644806186081418,1.1014250329336e-15,"THYM"
"ZFYVE26",0.643471135254356,1.31649904261734e-15,"THYM"
"SH2B3",0.643177424072402,1.36902622873168e-15,"THYM"
"SNX9",0.642823635603231,1.43500703490438e-15,"THYM"
"CDH5",0.641622089858875,1.68299132707837e-15,"THYM"
"FILIP1L",0.641375105455869,1.73889808323267e-15,"THYM"
"POLR2J",-0.640801033600232,1.87590890585845e-15,"THYM"
"INO80B-WBP1",-0.640667528517526,1.90924515263416e-15,"THYM"
"PSENEN",-0.640620801738579,1.92104833843419e-15,"THYM"
"DDR2",0.640567399705496,1.93462456249467e-15,"THYM"
"SPTBN1",0.64020693598219,2.02873461439047e-15,"THYM"
"ITGB1",0.639879848529559,2.11797150273203e-15,"THYM"
"GNA12",0.639773044463394,2.14792790722742e-15,"THYM"
"UTS2B",0.639672026739786,2.17664012485876e-15,"THYM"
"DGUOK",-0.639299101419788,2.2859030313396e-15,"THYM"
"HEG1",0.638437993636333,2.55895883566765e-15,"THYM"
"HINT2",-0.63837124109498,2.58140247639928e-15,"THYM"
"NDUFA3",-0.638237736012273,2.62686520085913e-15,"THYM"
"MYLK",0.638137607200244,2.66147201804495e-15,"THYM"
"ROMO1",-0.637890622797237,2.74874102010897e-15,"THYM"
"SWAP70",0.636715778069423,3.20340683881735e-15,"THYM"
"UBL5",-0.636715778069423,3.20340683881735e-15,"THYM"
"LOX",0.636689077052882,3.21454606535621e-15,"THYM"
"ZNHIT1",-0.636195108246869,3.4275431699468e-15,"THYM"
"VPS13B",0.635934773335592,3.54525464175521e-15,"THYM"
"NCOA7",0.635627711645367,3.68914848581618e-15,"THYM"
"RPL18",-0.635160443855896,3.91906734863507e-15,"THYM"
"ZXDA",0.633438228288986,4.89296604968717e-15,"THYM"
"TGFBR2",0.63289085744989,5.24905876149267e-15,"THYM"
"HACD2",0.632770702875455,5.33053095887993e-15,"THYM"
"SETD6",-0.632323460848389,5.64472679075007e-15,"THYM"
"MFAP3",0.632116527970195,5.79612081583161e-15,"THYM"
"COL15A1",0.631942971362677,5.92613214681926e-15,"THYM"
"PET100",-0.631842842550647,6.00242296830754e-15,"THYM"
"RFXANK",-0.631589182893505,6.19998887531984e-15,"THYM"
"ZNF619",0.631535780860423,6.2423795579222e-15,"THYM"
"GOLGA4",0.631489054081475,6.27970230172355e-15,"THYM"
"PLXNC1",0.631382250015311,6.36582741216643e-15,"THYM"
"DDHD2",0.631375574761175,6.37124816909304e-15,"THYM"
"SPEN",0.631215368661928,6.50270007828563e-15,"THYM"
"PTCD1",-0.631215368661928,6.50270007828563e-15,"THYM"
"ARL6IP4",-0.631135265612304,6.56941042506268e-15,"THYM"
"TMA7",-0.631101889341628,6.59740222277895e-15,"THYM"
"SCNM1",-0.630888281209298,6.77931337655577e-15,"THYM"
"COX4I1",-0.63061459578975,7.01952058026829e-15,"THYM"
"RMND5B",-0.629993797155166,7.59543315964693e-15,"THYM"
"TSSK4",0.62964668394013,7.93719166567853e-15,"THYM"
"MITF",0.629553230382236,8.03172696718981e-15,"THYM"
"COX6B1",-0.629426400553665,8.1617762127103e-15,"THYM"
"RPL28",-0.629186091404794,8.41381826422945e-15,"THYM"
"ACVR1",0.629126014117576,8.47800069819646e-15,"THYM"
"HIVEP1",0.629119338863441,8.48516137055095e-15,"THYM"
"RNF181",-0.62910598835517,8.49950034573982e-15,"THYM"
"MRPS15",-0.628345009383745,9.35691259250683e-15,"THYM"
"SEC24D",0.628338334129609,9.36479336345789e-15,"THYM"
"KDR",0.627917793119085,9.87449598539206e-15,"THYM"
"TRIM3",0.627704184986755,1.01436119639998e-14,"THYM"
"NDUFB8",-0.626749623645406,1.14358298445164e-14,"THYM"
"TBC1D12",0.626422536192776,1.19143534429803e-14,"THYM"
"PATL1",0.626128825010822,1.23605794597483e-14,"THYM"
"APRT",-0.626128825010822,1.23605794597489e-14,"THYM"
"STAT3",0.626042046707063,1.24954968000402e-14,"THYM"
"CABP7",-0.625868490099545,1.27696358284779e-14,"THYM"
"DNAJC13",0.625795062304057,1.28873681945461e-14,"THYM"
"TACC1",0.624920604012331,1.43730819562741e-14,"THYM"
"SRRM2",0.624820475200301,1.45534600664068e-14,"THYM"
"RAD9A",-0.624713671134136,1.47482863686414e-14,"THYM"
