"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.792291716274858,3.35751778685148e-127,"UCEC"
"ITGB1",0.516387228801742,3.4767426987171e-41,"UCEC"
"LUZP1",0.493920469418229,2.62556749615227e-37,"UCEC"
"MYO1B",0.480863545002079,3.50076859680407e-35,"UCEC"
"MFAP3",0.477883607524737,1.03855157464835e-34,"UCEC"
"DYNC1I2",0.45545093729238,2.66850306376652e-31,"UCEC"
"LOXL2",0.452965157589321,6.14872203362983e-31,"UCEC"
"KCTD10",0.450901609650321,1.22311277875348e-30,"UCEC"
"CNN3",0.448314102163733,2.87814279935338e-30,"UCEC"
"VCL",0.448207397424097,2.98105567684932e-30,"UCEC"
"ACVR1",0.446786866217597,4.75311996094523e-30,"UCEC"
"ANKRD50",0.443909106248734,1.21482838938406e-29,"UCEC"
"LIMA1",0.44018193577731,4.04189577642098e-29,"UCEC"
"CTNND1",0.438921536634422,6.04884775140788e-29,"UCEC"
"EIF4G2",0.438222094411618,7.55995106893997e-29,"UCEC"
"CTTNBP2NL",0.436466578081221,1.32008247515219e-28,"UCEC"
"BLOC1S1",-0.433360537728098,3.51128010895308e-28,"UCEC"
"SPDYA",0.430782504447107,7.84837322995883e-28,"UCEC"
"SMAD1",0.430558151660737,8.41466336643602e-28,"UCEC"
"AFF4",0.428044429047495,1.83021388962572e-27,"UCEC"
"PALLD",0.426719089621929,2.74972654776188e-27,"UCEC"
"ADAM9",0.423528291106695,7.27294103374688e-27,"UCEC"
"MACF1",0.42235259016259,1.03806185630231e-26,"UCEC"
"BMPR2",0.417530279476311,4.40194616832443e-26,"UCEC"
"PTGFRN",0.417137849485558,4.9460367870346e-26,"UCEC"
"RBFOX2",0.417046075614239,5.08257742132722e-26,"UCEC"
"ZFP91-CNTF",0.416416250813586,6.12561216547906e-26,"UCEC"
"KLF10",0.41518781212376,8.80582327804996e-26,"UCEC"
"TANC1",0.415165535747939,8.86384651965321e-26,"UCEC"
"SEC24D",0.412873167754739,1.73778289869271e-25,"UCEC"
"PLEKHG1",0.412385605946379,2.003961794561e-25,"UCEC"
"HIF1A",0.412113252517087,2.16979793292984e-25,"UCEC"
"MAP4K4",0.412066690994004,2.19947656374154e-25,"UCEC"
"FSTL1",0.411464449323574,2.62149482490094e-25,"UCEC"
"CLTC",0.411370306900855,2.69433278629042e-25,"UCEC"
"TRIP12",0.411324674809333,2.73035455218231e-25,"UCEC"
"TCF12",0.408479504908463,6.22434780676803e-25,"UCEC"
"ZNF699",0.407862326835219,7.43483762079062e-25,"UCEC"
"RNF145",0.407790796121116,7.58937367235291e-25,"UCEC"
"UTP14C",0.407272413162897,8.80824349957105e-25,"UCEC"
"STAT3",0.407130629877217,9.17405121802531e-25,"UCEC"
"DCAF7",0.406298458831045,1.16442649659203e-24,"UCEC"
"OSMR",0.405896194854734,1.30636088270859e-24,"UCEC"
"SH3GLB1",0.40168119273998,4.31901981104879e-24,"UCEC"
"B3GALNT2",0.398703773722355,9.94884746927895e-24,"UCEC"
"ARRDC3",0.398490754004706,1.0557458535258e-23,"UCEC"
"PSD3",0.39748939643261,1.39484535455127e-23,"UCEC"
"KIF2A",0.396495594239663,1.83726831934358e-23,"UCEC"
"FLT1",0.395389660626025,2.49369324250878e-23,"UCEC"
"FAU",-0.395315575936044,2.54514496363363e-23,"UCEC"
"FNBP1L",0.395265776393326,2.58031849438895e-23,"UCEC"
"EMP1",0.393910875047759,3.74507754264855e-23,"UCEC"
"AFAP1",0.39319377362528,4.55812858294694e-23,"UCEC"
"APC",0.393148801130351,4.61456477994902e-23,"UCEC"
"SULF1",0.393027375394042,4.77041227699566e-23,"UCEC"
"ENTPD7",0.392831745041099,5.032500925436e-23,"UCEC"
"CALU",0.392792708915501,5.08647499519592e-23,"UCEC"
"PFDN5",-0.392631347603694,5.31571533652555e-23,"UCEC"
"CLIC4",0.392446060924586,5.59154885931786e-23,"UCEC"
"ZDHHC20",0.392071200188518,6.19353704475455e-23,"UCEC"
"NCKAP1",0.391696039635818,6.85999598258357e-23,"UCEC"
"FNDC1",0.390992639833461,8.30595053462409e-23,"UCEC"
"TAOK1",0.390669617393215,9.06710208291436e-23,"UCEC"
"CSGALNACT2",0.390636337746967,9.14932905880932e-23,"UCEC"
"MEX3C",0.390485440035648,9.53149887529076e-23,"UCEC"
"APP",0.390393696145992,9.77151336961939e-23,"UCEC"
"BCL10",0.389913929570086,1.11272404711084e-22,"UCEC"
"ANTXR1",0.38947047078842,1.25447046221986e-22,"UCEC"
"GCOM1",0.389160250518398,1.36408322095231e-22,"UCEC"
"COL4A1",0.388346128433524,1.69875722198936e-22,"UCEC"
"SESTD1",0.388256153462003,1.74038876419699e-22,"UCEC"
"KDM5B",0.387822228849261,1.95574134145473e-22,"UCEC"
"CSNK2A3",0.386424453725195,2.84448261198047e-22,"UCEC"
"DNPH1",-0.386349169768684,2.90230915118748e-22,"UCEC"
"G3BP2",0.38575811125866,3.3984926666565e-22,"UCEC"
"TMED7-TICAM2",0.385756911992128,3.39958003098816e-22,"UCEC"
"MYH9",0.384582830057841,4.64692088099473e-22,"UCEC"
"ITGAV",0.384529072935568,4.71375719072857e-22,"UCEC"
"PGM2L1",0.383413545189679,6.33586660041616e-22,"UCEC"
"DENND5A",0.38327514983195,6.57212881103494e-22,"UCEC"
"COL5A2",0.382967268131664,7.12936634049398e-22,"UCEC"
"ZFP91",0.382792475034705,7.46621515286606e-22,"UCEC"
"ARSB",0.382439111151214,8.19588833884514e-22,"UCEC"
"GTF2I",0.381667622991534,1.00423911930799e-21,"UCEC"
"IQGAP1",0.381302416351044,1.10541847267039e-21,"UCEC"
"EIF4EBP3",-0.380845046077613,1.24641575646126e-21,"UCEC"
"FBXO38",0.38083443256881,1.24989001678291e-21,"UCEC"
"KCTD20",0.380775998307065,1.26918991596435e-21,"UCEC"
"MED13",0.380736332566538,1.28245813990723e-21,"UCEC"
"RPL18",-0.379748946449533,1.6606326956406e-21,"UCEC"
"YME1L1",0.378399141986725,2.36090548083293e-21,"UCEC"
"CHSY1",0.377934126389156,2.66413075974285e-21,"UCEC"
"CHAMP1",0.377704167031751,2.82797238837378e-21,"UCEC"
"TGFBR2",0.377389059750613,3.06872941497343e-21,"UCEC"
"ELOB",-0.377084056290003,3.32098823242995e-21,"UCEC"
"ARCN1",0.376949048860225,3.43907973981708e-21,"UCEC"
"PPP1R35",-0.376880360869636,3.50074183563921e-21,"UCEC"
"LAMTOR4",-0.376729463158317,3.64006060857458e-21,"UCEC"
"PRSS23",0.37630570232943,4.06122576698997e-21,"UCEC"
"RSPRY1",0.375813343454944,4.61121046692312e-21,"UCEC"
"AMOTL1",0.37575619840472,4.67962079543961e-21,"UCEC"
"DOCK7",0.375422742345651,5.09924638382415e-21,"UCEC"
"COL1A2",0.375309291731776,5.25031074309573e-21,"UCEC"
"CAP1",0.37516891758427,5.44334698429218e-21,"UCEC"
"PGAM4",0.374341453659234,6.73202181548859e-21,"UCEC"
"TRIM5",0.374226174163899,6.93394692578033e-21,"UCEC"
"PCYT2",-0.374144324223128,7.08093166581417e-21,"UCEC"
"MBD5",0.374089637669294,7.18084520730689e-21,"UCEC"
"CAPRIN1",0.374082921776717,7.1932107681012e-21,"UCEC"
"ALG11",0.373910347322842,7.51826619547535e-21,"UCEC"
"JMJD1C",0.373885912267264,7.56544713351158e-21,"UCEC"
"RIC1",0.373418228301662,8.52690150577065e-21,"UCEC"
"RPLP2",-0.372901464353261,9.72975735228498e-21,"UCEC"
"FTO",0.372537726814273,1.06752931487184e-20,"UCEC"
"SUSD6",0.372510083720723,1.07507491542152e-20,"UCEC"
"MYOF",0.372412103645104,1.1022461639123e-20,"UCEC"
"BOD1L1",0.372308546980114,1.1317002072264e-20,"UCEC"
"RPP21",-0.371894350301815,1.25747088797693e-20,"UCEC"
"SRFBP1",0.371747709986682,1.3052240724979e-20,"UCEC"
"MRPL53",-0.371331834335239,1.45059831392197e-20,"UCEC"
"ARHGEF12",0.371302482286882,1.46144188537739e-20,"UCEC"
"LRCH1",0.371202913183108,1.49882480252802e-20,"UCEC"
"LAMC1",0.371046258992438,1.5595576003595e-20,"UCEC"
"RAB23",0.37095796299406,1.59485167315281e-20,"UCEC"
"QTRT1",-0.37089035434335,1.62240793877995e-20,"UCEC"
"IGF2R",0.370606817753652,1.74317808353707e-20,"UCEC"
