"gene","spearman_correlation","p_value","cancer_type"
"TNC",0.800038890329272,0,"UCS"
"ROR1",0.664765361680062,4.96001410523686e-08,"UCS"
"NDUFC1",-0.63261602281566,2.81897526129206e-07,"UCS"
"MYH10",0.609670728545502,8.83969268197065e-07,"UCS"
"USP50",-0.608050298159191,9.56263171007301e-07,"UCS"
"ADGRL2",0.593142338605134,1.9452408170608e-06,"UCS"
"FRAS1",0.590614467202489,2.18890294060552e-06,"UCS"
"C9",0.568900700025927,5.85563148931226e-06,"UCS"
"HMGXB4",0.566502463054187,6.50625972775799e-06,"UCS"
"SERGEF",-0.566502463054187,6.50625972775803e-06,"UCS"
"LARGE1",0.563261602281566,7.4938663370079e-06,"UCS"
"RBFOX2",0.558724397199896,9.11467488453589e-06,"UCS"
"COX17",-0.557881773399015,9.44972681291539e-06,"UCS"
"FOXRED2",0.544010889292196,1.69192870122436e-05,"UCS"
"ST20-MTHFS",-0.542973813844957,1.76566810045271e-05,"UCS"
"SLFN11",0.533834586466166,2.55788663388833e-05,"UCS"
"C15orf61",-0.533769769250713,2.56453299530392e-05,"UCS"
"MROH8",0.532991962665284,2.64555186562878e-05,"UCS"
"SLC13A3",0.532408607726212,2.70787064258639e-05,"UCS"
"MTHFS",-0.531436349494426,2.81477588272408e-05,"UCS"
"PLPPR1",0.520534187251841,3.31510069599107e-05,"UCS"
"COL5A1",0.513676432460462,5.60569610100163e-05,"UCS"
"POTEJ",0.513352346383199,5.67479999025334e-05,"UCS"
"AP2B1",0.513287529167747,5.68871496785575e-05,"UCS"
"PCDH9",0.512768991444128,5.80117613498283e-05,"UCS"
"PCGF1",-0.512768991444128,5.80117613498283e-05,"UCS"
"HIGD2A",-0.507648431423386,7.02754077014083e-05,"UCS"
"TMEM184B",0.507000259268862,7.19879751559936e-05,"UCS"
"FLRT2",0.505509463313456,7.60741551105825e-05,"UCS"
"CLSPN",0.50427793621986,7.96100493612561e-05,"UCS"
"ZBED4",0.50239823697174,8.53002700554281e-05,"UCS"
"ZFYVE19",-0.501944516463573,8.67288508933495e-05,"UCS"
"PPP1R35",-0.500777806585429,9.0504279569591e-05,"UCS"
"SERF2",-0.499805548353643,9.37656051895288e-05,"UCS"
"DNAJC17",-0.499027741768214,9.64522918687357e-05,"UCS"
"CTNNB1",0.493064557946591,0.000119530480380997,"UCS"
"MIS18BP1",0.492416385792066,0.000122323681816058,"UCS"
"CSNK2A3",0.492351568576614,0.000122606279999558,"UCS"
"COX5B",-0.490601503759399,0.000130467286590802,"UCS"
"MTRR",0.48930515945035,0.000136586255429002,"UCS"
"ARSJ",0.488527352864921,0.000140383170073244,"UCS"
"RAD21L1",0.481664626042157,0.000148614119814876,"UCS"
"LLGL1",0.4852864920923,0.000157271266141737,"UCS"
"MICALL1",0.484573502722323,0.000161228592309165,"UCS"
"ZC3H7B",0.484443868291418,0.000161957855603563,"UCS"
"FBXO7",0.484314233860513,0.000162690146908456,"UCS"
"NDUFB4",-0.484314233860513,0.000162690146908456,"UCS"
"PTRHD1",-0.483666061705989,0.00016639742221072,"UCS"
"RPLP2",-0.482434534612393,0.000173655738229472,"UCS"
"DAB2",0.481527093596059,0.000179188685607554,"UCS"
"TNRC6B",0.480554835364273,0.000185296001765195,"UCS"
"EDNRA",0.479971480425201,0.000189051460503816,"UCS"
"LIFR",0.479582577132486,0.00019159375090959,"UCS"
"DOCK7",0.479517759917034,0.000192020501832866,"UCS"
"HTR2A",0.474117538883658,0.000194864754642927,"UCS"
"COMMD4",-0.478415867254343,0.00019940994795025,"UCS"
"FLRT3",0.477897329530723,0.000202976773910917,"UCS"
"MSL1",0.477508426238009,0.000205690174824285,"UCS"
"GSTCD",0.476925071298937,0.000209822668518765,"UCS"
"PRH2",-0.476536168006223,0.000212619794076329,"UCS"
"KDELR3",0.476147264713508,0.000215451055991333,"UCS"
"SETSIP",0.474462017111745,0.000228123538324077,"UCS"
"NOTCH1",0.473684210526316,0.000234199590722199,"UCS"
