"gene","spearman_correlation","p_value","cancer_type"
"GJA5",0.608829085063891,2.07684470794299e-09,"UVM"
"ADAMTS12",0.592403119399741,7.10271730592631e-09,"UVM"
"COL4A1",0.571596896225151,3.06484264504006e-08,"UVM"
"FN1",0.554797006139379,9.2883267610861e-08,"UVM"
"THBS1",0.553514979550957,1.00832821007881e-07,"UVM"
"HECW2",0.550737255276044,1.20327172478038e-07,"UVM"
"ADAMTS9",0.537970407166347,2.65693044614964e-07,"UVM"
"COL4A2",0.531453438675205,3.93170513584104e-07,"UVM"
"TNC",0.518018868384039,8.59802037316323e-07,"UVM"
"ACAN",0.515748612967042,9.78125668311532e-07,"UVM"
"PRR16",0.512229661887253,1.19232205860853e-06,"UVM"
"LOXL2",0.511234811020308,1.26046975538524e-06,"UVM"
"PCSK5",0.509074374484896,1.42131609641857e-06,"UVM"
"COL6A3",0.504156955896732,1.86244742554876e-06,"UVM"
"COL12A1",0.500391002793244,2.28433422440219e-06,"UVM"
"PXDN",0.496865429675085,2.75945442293932e-06,"UVM"
"COL5A1",0.495957327508286,2.89609750717187e-06,"UVM"
"ITGB3",0.492431754390127,3.489279863597e-06,"UVM"
"PRDM16",0.490965642800701,3.76810965851167e-06,"UVM"
"ADAMTS4",0.490428587845719,3.87538914526164e-06,"UVM"
"CD93",0.487891243556135,4.42219564605969e-06,"UVM"
"EGFLAM",0.487650863570806,4.47759497073009e-06,"UVM"
"EFNB2",0.487196812487406,4.58402097502e-06,"UVM"
"SLC8A1",0.486208583658832,4.82392074777452e-06,"UVM"
"HMCN2",0.481883275623809,6.01944398660802e-06,"UVM"
"TOX2",0.479531361844137,6.78103369697185e-06,"UVM"
"ROR1",0.479261327663095,6.87403811576585e-06,"UVM"
"CDH13",0.477127561990846,7.6521501754079e-06,"UVM"
"TRIL",0.476940599780035,7.72412471640837e-06,"UVM"
"SHISA2",0.475981276128652,8.10352225605668e-06,"UVM"
"GJC3",-0.474403255490451,8.76582352524812e-06,"UVM"
"ARSJ",0.472363440995316,9.69720894264332e-06,"UVM"
"GLIS2",0.467165147043321,1.25067822756201e-05,"UVM"
"IBSP",0.461231983674376,1.6637443764411e-05,"UVM"
"NOG",0.460356860994073,1.73449688930008e-05,"UVM"
"ADAM19",0.460087291919745,1.75685118396994e-05,"UVM"
"XIRP1",0.460014917197811,1.76289859731783e-05,"UVM"
"SPARC",0.459820203047157,1.77926499074303e-05,"UVM"
"SLC51B",0.458933725819488,1.85558633890837e-05,"UVM"
"AFAP1L2",0.457710200953713,1.96595692616072e-05,"UVM"
"UNC5C",0.456000832169151,2.13044550858661e-05,"UVM"
"MMP9",0.455466654423976,2.1844261408187e-05,"UVM"
"MGAT3",0.455066021115094,2.22574631014339e-05,"UVM"
"INHBB",0.454905767791541,2.2424776707493e-05,"UVM"
"AQP1",0.453970956737484,2.34243955901845e-05,"UVM"
"TMEM132E",0.453180313317681,2.43021398749021e-05,"UVM"
"POTEF",0.452795765698098,2.47400519653366e-05,"UVM"
"SEL1L3",0.452688930149063,2.48630132158491e-05,"UVM"
"MXRA5",0.452047916854852,2.5612831313361e-05,"UVM"
"SPOCK1",0.451914372418558,2.57716742643304e-05,"UVM"
"DDAH1",0.451113105800795,2.67441857746486e-05,"UVM"
"SLC26A11",0.450498801393843,2.7512831812257e-05,"UVM"
"CDH5",0.45012487697222,2.799073401025e-05,"UVM"
"AMZ1",0.449059153106745,2.93955983543067e-05,"UVM"
"ITGA7",0.448655888172987,2.99441206834159e-05,"UVM"
"NID2",0.448522343736693,3.01278602753619e-05,"UVM"
"CA12",0.447667659344412,3.1328895726323e-05,"UVM"
"NPR3",0.447624734537102,3.13903759684536e-05,"UVM"
"APLNR",0.447480697133601,3.15974998299963e-05,"UVM"
"COL5A3",0.447480697133601,3.15974998299963e-05,"UVM"
"ADAMTS18",0.447239239121664,3.19475714548362e-05,"UVM"
"S1PR5",0.446063992691658,3.37036529031868e-05,"UVM"
"COL14A1",0.445157023942087,3.51198741347018e-05,"UVM"
"SDC2",0.444783099520464,3.57197249177079e-05,"UVM"
"RSPO3",0.444688389462755,3.58731657445058e-05,"UVM"
"VCAN",0.443634617368336,3.76222933378469e-05,"UVM"
"PTPRD",0.443452333619721,3.79327967846292e-05,"UVM"
"ANO1",0.442833350750573,3.90050665329024e-05,"UVM"
"CA4",-0.441994611026406,4.05030653307019e-05,"UVM"
"PGAM1",0.44179170414748,4.08734130348645e-05,"UVM"
"SOX17",0.441631450823928,4.11681329722233e-05,"UVM"
"DKK2",0.44063451554271,4.30464437745711e-05,"UVM"
"SPHK1",0.439628284279519,4.50228443865568e-05,"UVM"
"ADCY4",0.439227650970637,4.58329821091172e-05,"UVM"
"FRMPD3",0.439064813736127,4.61661195452297e-05,"UVM"
"ASCC1",0.438613346563686,4.71015550387904e-05,"UVM"
"PDGFRB",0.438266131029321,4.78329357519923e-05,"UVM"
"MICAL2",0.43807916881851,4.82311149319794e-05,"UVM"
"LIX1L",0.436797142230088,5.10455899342663e-05,"UVM"
"ACKR1",0.436793261056097,5.10543374497666e-05,"UVM"
"C1orf87",0.436053911650913,5.27463485054893e-05,"UVM"
"CENPA",0.435942457837807,5.30058845193534e-05,"UVM"
"RFTN1",0.435274735656338,5.45857798870327e-05,"UVM"
"FNDC1",0.435141191220044,5.49069616862835e-05,"UVM"
"SLC4A8",0.435114482332785,5.49714083132618e-05,"UVM"
"KLF4",0.434099544616952,5.74730845549691e-05,"UVM"
"AZGP1",-0.433191442450153,5.98006279839929e-05,"UVM"
"ZFPM2",0.430309404371782,6.77799111989144e-05,"UVM"
"HOXB2",0.430208893669708,6.80752412198892e-05,"UVM"
"ZSWIM1",0.429425489346665,7.0418357209254e-05,"UVM"
"MAP1B",0.429211818248595,7.10702955067605e-05,"UVM"
"EDIL3",0.428410551630832,7.35652452334504e-05,"UVM"
"GREM1",0.427615890318972,7.61196305031557e-05,"UVM"
"CLEC14A",0.426808018395305,7.88005696385225e-05,"UVM"
"MTCL1",0.426167005101094,8.09897702379566e-05,"UVM"
"CDH6",0.425659536243177,8.27627141617915e-05,"UVM"
"PGAM4",0.425659536243177,8.27627141617915e-05,"UVM"
"BMP2",0.425392447370589,8.37102223888917e-05,"UVM"
"EGR3",0.425392447370589,8.37102223888917e-05,"UVM"
"OPCML",0.424364093493438,8.74529799971512e-05,"UVM"
"PECAM1",0.423015356404558,9.2596899390685e-05,"UVM"
"HS3ST3B1",0.422216564105836,9.57740556810993e-05,"UVM"
"ANKRD33B",0.422080545350501,9.63250144276932e-05,"UVM"
"ADCYAP1R1",0.421681011587121,9.79603822362074e-05,"UVM"
"EIF4E2",0.421065607634667,0.000100529693392201,"UVM"
"CDC25C",0.420291049904162,0.000103852111883019,"UVM"
"NLGN4X",0.420167354794627,0.000104392007483281,"UVM"
"PTPRA",0.419329529962846,0.000108117804879926,"UVM"
"BCAT1",0.418608390006859,0.000111422812811445,"UVM"
"CHST7",0.418047503374425,0.00011405770506263,"UVM"
"ADGRL2",0.417486616741991,0.000116750114152327,"UVM"
"G0S2",0.417382227181294,0.000117257652644461,"UVM"
"GCNT4",0.415859695854737,0.000124895802186763,"UVM"
"UBE2Z",0.415723830182911,0.000125599285487306,"UVM"
"NRP1",0.414682183579819,0.000131115599984384,"UVM"
"NPHS1",0.41445964212698,0.000132322775176358,"UVM"
"CSN3",0.41441949202282,0.00013254165952109,"UVM"
"CDH24",0.413453574765915,0.000137909393611952,"UVM"
"CAPN11",0.412944666475433,0.00014081754776471,"UVM"
"TRHDE",0.412528558372926,0.000143237364537972,"UVM"
"RESP18",0.412044423938182,0.000146101074805153,"UVM"
"DOK6",0.411851041530388,0.000147259655096316,"UVM"
"FOXF1",0.411530534883283,0.000149198546969818,"UVM"
"ID3",0.411023066025366,0.0001523167057042,"UVM"
"PROS1",0.410515597167449,0.000155494912981251,"UVM"
"PGM5",0.410328634956637,0.000156681176626952,"UVM"
"TNFRSF21",0.410114963858567,0.000158047129083644,"UVM"
"KCNMB1",0.410088254971308,0.000158218643561723,"UVM"
"STC2",0.409500659451615,0.000162035686057436,"UVM"
"KCNK12",0.409457752714209,0.000162317711282437,"UVM"
"BARHL1",0.409456235676687,0.000162327691026603,"UVM"
"VASH1",0.409340406128063,0.000163091342745217,"UVM"
"TMEM200A",0.408325468412229,0.000169925861718465,"UVM"
"NRG1",0.407972654672717,0.000172362890389434,"UVM"
"ST8SIA2",0.407864545067081,0.000173116073607405,"UVM"
"ACE",0.407791290667053,0.000173628149516673,"UVM"
"GABRQ",0.407631037343501,0.000174753254166027,"UVM"
"NID1",0.407550910681724,0.000175318323777993,"UVM"
"PCDH17",0.407524201794466,0.000175507054367653,"UVM"
"BARX2",0.407113284685742,0.000178434391502851,"UVM"
"SPRED3",0.406722935176702,0.000181256832386691,"UVM"
"NCAPH",0.406535972965891,0.000182623196170661,"UVM"
"GEM",0.406295592980562,0.000184393900031402,"UVM"
"CHN1",0.405788124122645,0.000188184133881129,"UVM"
"A4GALT",0.404773186406811,0.000195980870074421,"UVM"
"CHST15",0.404265717548894,0.000199989845269367,"UVM"
"NMNAT2",0.404232972118262,0.000200251108917183,"UVM"
"FRZB",0.404185590887118,0.000200629702789597,"UVM"
"SEMA5B",0.403945210901789,0.000202560606711877,"UVM"
"BMX",0.403360230493625,0.000207331316755212,"UVM"
"DPYSL3",0.403170653171284,0.000208899444163578,"UVM"
"GATA6",0.403046556725632,0.000209931839760385,"UVM"
"HMSD",0.402378818891428,0.000215568057015927,"UVM"
"ADORA2B",0.402289259891745,0.000216334508650636,"UVM"
"SMAD9",0.401621537710275,0.000222128478781957,"UVM"
"NR5A2",0.401356652952925,0.000224466249735222,"UVM"
"SLC38A3",0.401274322175911,0.000225197469150526,"UVM"
"GPC4",0.401247613288652,0.000225435154211904,"UVM"
"DOCK4",0.401140777739617,0.000226388205000841,"UVM"
"GLIS3",0.400953815528806,0.000228064970796054,"UVM"
"TENM1",0.4008990585921,0.00022855821625347,"UVM"
"GABRE",0.400523236959094,0.000231970161487792,"UVM"
"SLIT3",0.400152548911042,0.000235381351939411,"UVM"
"PRTFDC1",0.400074766810559,0.000236102959958261,"UVM"
"MUCL1",0.399526823297954,0.000241244348332513,"UVM"
"PLXDC1",0.399217737856985,0.000244189748276408,"UVM"
"SDHA",0.398149382366634,0.000254627146886914,"UVM"
"PRND",0.398108938320719,0.000255030209687051,"UVM"
"RAB31",0.397241280199835,0.000263819777320868,"UVM"
"XKR4",0.396776307958792,0.000268643823871633,"UVM"
"OR51E1",0.396356406351183,0.000273069791922229,"UVM"
"TSC22D1",0.395852418062379,0.000278470514918768,"UVM"
"TUBB3",0.395799000287861,0.000279048653269067,"UVM"
"MTUS2",0.395795367822561,0.00027908800730646,"UVM"
"SOCS3",0.395531911415273,0.000281955921924937,"UVM"
"F2R",0.395211404768168,0.00028548136528933,"UVM"
"SOCS2",0.395184695880909,0.000285776972404461,"UVM"
"ITGA2",0.39494431589558,0.000288450117137491,"UVM"
"SQLE",0.394810771459286,0.000289945102700343,"UVM"
"UNC5B",0.394570391473957,0.000292654023523132,"UVM"
"SLCO3A1",0.394356720375887,0.000295081446353394,"UVM"
"PLN",0.394257049124758,0.000296220079670528,"UVM"
"CCDC177",0.393815285002282,0.000301315478682483,"UVM"
"NPTX1",0.393448618209088,0.000305605674317799,"UVM"
"COL1A1",0.393154820449242,0.000309083655974874,"UVM"
"COL3A1",0.392406971605996,0.000318101304034027,"UVM"
"SETBP1",0.391578996100974,0.000328366352034011,"UVM"
"VEGFA",0.390724311708693,0.000339280577988038,"UVM"
"S1PR1",0.390670893934175,0.000339973642731102,"UVM"
"ANGPT2",0.390617476159658,0.000340668005891908,"UVM"
"CKS2",0.39035038728707,0.000344159374737725,"UVM"
"DLG4",0.389816209541894,0.00035124076058682,"UVM"
"OIT3",0.389687579462271,0.000352965801709258,"UVM"
"CKS1B",0.389442285120271,0.000356276962885207,"UVM"
"FBN2",0.388854689600578,0.000364324908809937,"UVM"
"NTNG2",0.388801271826061,0.000365064742779089,"UVM"
"TM4SF1",0.387839751884745,0.000378619473296839,"UVM"
"CA8",0.387555038972096,0.000382720736306701,"UVM"
"IGDCC3",0.387541956988295,0.000382910155646683,"UVM"
"GAD1",0.387060100401588,0.00038994729938397,"UVM"
"PFKP",0.386664560845358,0.000395812187489145,"UVM"
"FOXD1",0.386506572569304,0.000398177268776557,"UVM"
"ABCC9",0.386397471972771,0.00039981805129565,"UVM"
"RNF152",0.386263927536477,0.000401834878207695,"UVM"
"ROPN1B",-0.3861838008747,0.000403049442906245,"UVM"
"KDR",0.3861838008747,0.000403049442906245,"UVM"
"MECOM",0.385943420889371,0.000406713340073367,"UVM"
"DENND3",0.385783167565819,0.00040917285788654,"UVM"
"GYG2",-0.385409243144196,0.000414964794362918,"UVM"
"FMO4",-0.385382534256937,0.000415381363174814,"UVM"
"CSPG5",0.385222280933384,0.000417888827789707,"UVM"
"HES7",0.385213283131643,0.000418030025403355,"UVM"
"FUT11",0.385035318722573,0.000420831715927841,"UVM"
"MYRFL",0.384573222037722,0.000428186962080566,"UVM"
"HEG1",0.384501140977397,0.000429344836842438,"UVM"
"KLC3",-0.384287469879327,0.00043279400628249,"UVM"
"GTSF1L",0.384091942954418,0.000435972489960059,"UVM"
"TGFBI",0.384047089893998,0.000436704627098495,"UVM"
"FAM131B",0.384020381006739,0.000437141131035267,"UVM"
"AMIGO2",0.383889086278668,0.000439292695876301,"UVM"
"DOC2B",0.383138987727199,0.000451771742094896,"UVM"
"ESM1",0.383007687833862,0.000453989185783392,"UVM"
"CBFA2T3",0.382845189967353,0.000456747300381499,"UVM"
"NEURL1B",0.382845189967353,0.000456747300381499,"UVM"
"USP5",0.382150758898625,0.000468707639048505,"UVM"
"ADAMTSL1",0.382017214462331,0.000471040287026811,"UVM"
"KCNK1",0.381992744170146,0.00047146886394532,"UVM"
"PRDM8",0.381697688064122,0.000476664679893453,"UVM"
"OLFML2B",0.381322783393602,0.000483342129295699,"UVM"
"MCCC2",0.381269365619085,0.000484300487667107,"UVM"
"OXGR1",0.381196054209029,0.000485618582888302,"UVM"
"ITGA5",0.381109112295532,0.000487185997820263,"UVM"
"TSPAN2",0.380866603719855,0.000491582493906131,"UVM"
"CORO1C",0.38049480788858,0.00049839334560092,"UVM"
"PAPSS2",0.380120883466957,0.000505330096716019,"UVM"
"AK5",0.379666832383558,0.000513871890942209,"UVM"
"CTF1",-0.379292907961935,0.000521005167083812,"UVM"
"SURF4",0.379266199074676,0.000521518133013231,"UVM"
"MEDAG",0.378892274653053,0.000528748279878599,"UVM"
"PTPRE",0.378785439104018,0.000530830792331005,"UVM"
"RRM2",0.378678603554983,0.000532920795991379,"UVM"
"LMNB1",0.378491641344172,0.000536596400677648,"UVM"
"SERPINE1",0.378438223569654,0.000537650818956263,"UVM"
"RASL12",0.378358096907878,0.000539235995673344,"UVM"
"PRSS35",0.378340256860078,0.000539589512827744,"UVM"
"RGL1",0.378171134697066,0.000542951357992856,"UVM"
"ARPC2",0.377930754711737,0.000547762609295337,"UVM"
"WDR55",0.377289741417527,0.000560783606368712,"UVM"
"UNC5A",0.377289741417527,0.000560783606368712,"UVM"
"CHST1",0.376969234770421,0.000567399540597038,"UVM"
"RRAD",0.37656860146154,0.000575769654194882,"UVM"
"PLCH2",0.376488474799763,0.000577457143215007,"UVM"
"GADD45G",0.376087841490881,0.000585962512106255,"UVM"
"TNFRSF1A",0.375713917069259,0.000594003864293014,"UVM"
"SERPINB8",0.375553663745706,0.000597480887062387,"UVM"
"CERKL",0.37547353708393,0.000599226354626643,"UVM"
"AR",0.375446828196671,0.00059980921041998,"UVM"
"RUNX1",0.375072903775048,0.000608023697043118,"UVM"
"HEPH",0.374752397127943,0.000615146244786436,"UVM"
"TACSTD2",0.374547505961799,0.000619739294535887,"UVM"
"ECE1",0.374164801608249,0.000628402272948272,"UVM"
"TIMM23",0.373951130510179,0.000633286889963737,"UVM"
"SLC39A8",0.373951130510179,0.000633286889963737,"UVM"
"PCDH1",0.373951130510179,0.000633286889963737,"UVM"
"VAV2",0.373176572779674,0.000651285335050552,"UVM"
"DDIT4",0.372856066132569,0.000658868453594319,"UVM"
"PDLIM4",0.372802648358052,0.000660140104411265,"UVM"
"DUOX1",-0.372695812809016,0.000662690121323838,"UVM"
"ACLY",0.37261568614724,0.00066460852371302,"UVM"
"PIK3C2B",0.372562268372722,0.000665890269861208,"UVM"
"SV2C",0.372350900013156,0.00067098413093278,"UVM"
"KRT5",0.372333092074452,0.000671414910644968,"UVM"
"MSN",0.372241761725617,0.000673628185486991,"UVM"
"VCP",0.372081508402064,0.000677527799226384,"UVM"
"CCRL2",0.371974672853029,0.000680138961049516,"UVM"
"METTL2A",0.371947963965771,0.000680793183017573,"UVM"
"COL9A3",0.371841128416736,0.000683415810377725,"UVM"
"TTBK1",0.371835619329832,0.000683551298219704,"UVM"
"NPR1",0.371761001754959,0.0006853888199284,"UVM"
"EIF4A3",0.371547330656889,0.000690675584159596,"UVM"
"FUT9",0.371364230929452,0.000695235472977484,"UVM"
"ARHGAP19",0.371173406235266,0.000700016920973162,"UVM"
"DERL1",0.37109327957349,0.000702033552269722,"UVM"
"LAYN",0.370986444024455,0.000704730628067044,"UVM"
"ANPEP",0.370906317362678,0.000706759626511582,"UVM"
"ITGA6",0.370879608475419,0.000707437141127614,"UVM"
"TRIM65",0.370772772926384,0.000710153120869518,"UVM"
"LRRC55",0.370717199319649,0.000711569669191425,"UVM"
"LPCAT1",0.37063922849009,0.000713561453011499,"UVM"
"BCL6B",0.370585810715573,0.00071492895338498,"UVM"
"NUAK2",0.370532392941055,0.000716298840754017,"UVM"
"CCDC134",0.370478975166538,0.000717671118830368,"UVM"
"FDPS",0.370398848504761,0.000719734026652773,"UVM"
"SLIT2",0.370372139617503,0.000720422861976814,"UVM"
"KCNA2",0.37014641729538,0.000726268378780878,"UVM"
"LFNG",0.369971506308621,0.000730827709687796,"UVM"
"CCDC184",0.369953469662474,0.000731299342911573,"UVM"
"RGS16",0.369784544097809,0.000735729986070724,"UVM"
"DUSP5",0.369757835210551,0.000736432750682365,"UVM"
"WNT1",0.369579346471753,0.000741144863801479,"UVM"
"KCNJ8",0.369570872999739,0.000741369245105105,"UVM"
"LRP8",0.369357201901669,0.000747047838167353,"UVM"
"NKX3-2",0.36913936990001,0.000752877756131339,"UVM"
"PHOSPHO1",0.36899135575703,0.000756862716754097,"UVM"
"CEMIP",0.368769606381976,0.000762868782766274,"UVM"
"FAM124B",0.368769606381976,0.000762868782766274,"UVM"
"TBX20",0.368636257895108,0.000766501375235813,"UVM"
"SYT11",0.368395681960353,0.000773094841334599,"UVM"
"FSD1",0.368086639298418,0.000781640521865093,"UVM"
"ZEB1",0.367941630876954,0.000785679868266328,"UVM"
"ECSCR",0.367487579793554,0.000798451068982984,"UVM"
"MRPS7",0.367273908695484,0.000804526161728656,"UVM"
"EPHA3",0.367123935715961,0.000808815276761606,"UVM"
"SNCAIP",0.366981399496014,0.000812910977235489,"UVM"
"UNC5D",0.366935699399506,0.000814228133597995,"UVM"
"HOXD9",0.366929611754644,0.000814403736587416,"UVM"
"SEMA3F",0.366846566499344,0.000816802686682719,"UVM"
"KRTAP7-1",0.366801539416071,0.00081810608181188,"UVM"
"BCL11B",0.366795298258189,0.00081828689329968,"UVM"
"ARHGAP19-SLIT1",0.366793148724826,0.00081834917546852,"UVM"
"PMEPA1",0.36671302206305,0.000820673903292684,"UVM"
"GABBR2",0.366632895401273,0.000823004636926418,"UVM"
